case_id,customer_message,system_intent,historical_customer_message,historical_response,system_reply,system_decision,system_escalation_reason,human_intent,intent_correct,correctness_1_5,groundedness_1_5,relevance_1_5,completeness_1_5,tone_1_5,unsupported_claims_1_5,escalation_appropriateness_1_5,evidence_supported,overall_comment
case_11,Is anyone else’s iPhone making a high pitched alarm noise? It sounds like a smoke detector but from the speaker of my phone? @AppleSupport,audio_speaker,Historical case for audio_speaker,"@150201 We'd love to help with this. First, we need some details: does the speaker work when listening to music or watching a video? What about while using speakerphone? Let us know more in DM, including which version of the operating system, and we'll get started. https://t.co/GDrqU22YpT","Could you tell us whether the issue is with the speaker, microphone, or overall audio?",AUTO_HANDLE,,The iPhone speaker is producing a high-pitched alarm-like noise.,Yes,4,5,5,4,5,5,5,Yes,"The reply correctly identifies the relevant audio components and asks which part is affected; because the customer already specifies the speaker, the question is slightly broader than necessary."
case_12,@AppleSupport I have not touched my phone to summon Siri nor anybody spoke hey Siri around.,other_unclear,Historical case for other_unclear,@467963 Let's check out the steps here: https://t.co/xOrdgHyyiA under 'If Hey Siri doesn't work'. Let us know how it goes.,"Based on a similar Apple Support case, Great question! Check out this article to help with using ""Hey Siri"" on your iPhone X: If you have any further questions, feel free to reach out to us and we'll be happy to help!",AUTO_HANDLE,,Siri appears to activate even though the customer did not summon it or say 'Hey Siri'.,No,2,3,2,1,4,2,2,No,"The reply discusses how to use 'Hey Siri' rather than investigating why Siri activated unexpectedly, and its reference to an article does not support the specific symptom."
case_13,"@116333 @AppleSupport @144811 Every time I️ connect my phone via USB this song starts, this is getting really old! Why can’t iOS remember what I was listening to last and start there? Any car, any iPhone, any iOS, Please fix this, it’s killing me! https://t.co/yxtLKBdYpn",apple_music_itunes,Historical case for apple_music_itunes,"@258640 We'd love to help you with making a backup. So that we're sure to be on the right path, please tell us which device you're trying to back up, and which iOS version is installed on it currently. Also, is this device connected via Wi-Fi, or via USB?","Based on a similar Apple Support case, We’re investigating and will update our System Status page as more info becomes available:",AUTO_HANDLE,,Connecting the iPhone by USB causes a song to start automatically and the customer wants iOS to remember the previous playback state.,No,1,1,1,1,4,1,1,No,"The system-status message does not address automatic music playback over USB, so it is neither grounded in nor relevant to the customer's problem."
case_14,@AppleSupport It pops up every time I look at my phone after I come out of the subway. Global setting? I just installed iOS and haven’t looked at new features yet but I wish default wasn’t to bother me repeatedly,ios_update,Historical case for ios_update,@482983 We are here to help. Let's try the steps listed in this article. https://t.co/xU1AGHStV6,"Based on a similar Apple Support case, We are here to help. Let's try the steps listed in this article.",AUTO_HANDLE,,"A pop-up repeatedly appears after coming out of the subway, after installing iOS, and the customer dislikes the repeated default behavior.",Yes,2,2,2,1,4,2,2,No,The reply only points to an unspecified article and does not identify or troubleshoot the recurring pop-up described by the customer.
case_15,"So @115858 when are yall gunna fix this update, because if my phone freezes for 2 mins while im in traffic ONE MORE TIME !!!!!!",device_hardware,Historical case for device_hardware,@564630 We'd like to see how we can help. Let us know which iOS version you're on and we'll go from there.,"Could you provide more details about the hardware issue, including what happens when you use the device?",AUTO_HANDLE,,"The phone freezes for about two minutes, especially while the customer is driving, and the customer blames an update.",No,2,5,2,1,4,5,2,Yes,"The reply asks about a hardware issue even though the customer describes freezing after an update, so the response is poorly matched to the actual software/performance complaint."
case_16,@AppleSupport secured #iPhoneX at launch but ONLY w/a select carrier. Yet was told by Apple #Retail I could buy SIM-free like iPhone8. How? https://t.co/l4TpVlz0dE,calls_cellular,Historical case for calls_cellular,"@481404 Great question. What country are you in? Meet up with us in a DM, we'll continue there. https://t.co/GDrqU22YpT","Could you tell us whether the issue is with making calls, cellular data, or getting a signal?",AUTO_HANDLE,,The customer wants to know how to buy an iPhone X SIM-free despite carrier restrictions at launch.,No,2,5,2,1,5,5,2,Yes,"The response treats the message as a cellular service problem involving calls, data, or signal, but the customer is asking about purchasing a SIM-free phone."
case_17,@115858 when are you going to fix this bug because am getting really annoyed. About to leave apple and return to droid.,app_problems,Historical case for app_problems,@679751 We want to help. Use the link below to reach out via DM. Let us know if this happens when you receive notifications for other apps or just this one. We'll also want to verify the version of iOS you currently have installed. https://t.co/GDrqU22YpT,"Based on a similar Apple Support case, We want to help. Use the link below to reach out via DM. Let us know if this happens when you receive notifications for other apps or just this one. We'll also want to verify the version of iOS you currently have installed.",AUTO_HANDLE,,The customer reports an unspecified bug and is frustrated enough to consider leaving Apple.,No,2,2,2,1,5,2,2,No,"The reply assumes the bug concerns notifications even though the customer gives no such detail, so both the intent and troubleshooting direction are unsupported."
case_18,@AppleSupport I think I found the answer: I can't pre-order iPhone X SIM-free at this time. I'm not sure when Apple will allow it. Thanks tho https://t.co/SICYUgzEPL,calls_cellular,Historical case for calls_cellular,"@141075 Thanks for reaching out. You may need to try another appropriately sized  SIM card. Your carrier may be able to help. Check out this article for more details: 

https://t.co/Mhw9pFAK08",You're welcome! Glad to hear that helped. Let us know if you need anything else.,AUTO_HANDLE,,The customer says they found the answer that iPhone X cannot currently be pre-ordered SIM-free and thanks support.,No,5,5,5,5,5,5,5,Yes,"The reply is an appropriate polite acknowledgment of the customer's thanks, but the predicted cellular intent does not match the customer's purpose in this message."
case_19,@167325 @AppleSupport It’s the worst....wish I could downgrade 😂,ios_update,Historical case for ios_update,"@606530 We can help. Check out this article on the Accessibility feature called Reachability: https://t.co/MWyrI4JKD1

Let us know if you need any further assistance.","Could you tell us what is happening with the iOS update, such as downloading, installing, or failing?",AUTO_HANDLE,,The customer wishes they could downgrade after a poor iOS experience.,Yes,3,5,4,2,5,5,3,Yes,The reply recognizes the iOS-update context but asks about downloading or installing an update rather than the customer's stated desire to downgrade.
case_20,@AppleSupport hi so I got an email my account was locked. But I’m pretty sure it was a fake.,apple_id_icloud,Historical case for apple_id_icloud,@271163 Thanks for reaching out. This email is not from us. You can learn more about these and other suspicious messages here: https://t.co/LNMCdqt6fD,This may involve account security or sensitive information. Please contact official Apple Support directly so a specialist can assist you.,ESCALATE,account_security,The customer received an email saying the account was locked and suspects it is fake.,Yes,5,5,5,5,5,5,5,Yes,The reply appropriately treats a suspected account-security/phishing issue cautiously and directs the customer to official support without claiming the email is genuine or fake.
case_21,Is anybody looking into the mail and messages apps syncing issues with @133941 accounts or are we doomed? @115858,app_problems,,,Could you tell us which app is affected and what happens when you try to use it?,AUTO_HANDLE,,Mail and Messages are having syncing issues with accounts.,Yes,4,5,5,4,5,5,4,Yes,"The response asks which app is affected and what happens, which is a sensible first troubleshooting step for the reported syncing problem."
case_22,"@AppleSupport Well, hum, after a day with the latest version, there is not much progress. Unplugged the phone at 9 AM, it is now 4:30 PM https://t.co/YpURUCwaQZ",battery_charging,Historical case for battery_charging,We'd love to partner together and get to the bottom of what you're experiencing on your iPhone. Which iOS version is installed? You'll find that in Settings &gt; General &gt; About.,"Based on a similar Apple Support case, We'd love to partner together and get to the bottom of what you're experiencing on your iPhone. Which iOS version is installed? You'll find that in Settings &gt; General &gt; About.",AUTO_HANDLE,,Battery performance is poor: the phone was unplugged at 9 AM and is still being used at 4:30 PM with little progress.,Yes,3,5,4,2,5,5,3,Yes,"The reply correctly asks for the iOS version, but it does not directly discuss the battery-drain complaint or gather details such as usage and battery behavior."
case_23,@115858 what should I do now that your shitty headphones broke in my phone ? https://t.co/iF0pvfveRp,audio_speaker,Historical case for audio_speaker,@821249 We're happy to help. Let's take a look at this further for you. Reach out to us in DM. https://t.co/GDrqU22YpT,"Based on a similar Apple Support case, We want to help. Let's force re-start it. This article explains how:",AUTO_HANDLE,,A headphone plug broke off inside the phone.,No,1,2,1,1,4,1,1,No,"The customer describes a physical obstruction in the phone, but the reply recommends a force restart, which does not address the broken headphone piece and could be irrelevant."
case_24,@115858 can u plz help me my phone keep saying it has headphones in but there’s no headphones in!!!!,audio_speaker,Historical case for audio_speaker,We're here to help. We have steps to resolve this. Check out this article and let us know if it works.,"Based on a similar Apple Support case, We're here to help. We have steps to resolve this. Check out this article and let us know if it works.",AUTO_HANDLE,,The iPhone incorrectly reports that headphones are connected when none are plugged in.,Yes,4,5,5,4,5,5,5,Yes,"The reply is directly relevant to the false headphone-detection problem and offers troubleshooting steps, although the actual steps are hidden behind an unspecified article."
case_25,@717638 @115858 My phone doesn't even ring anymore. It just pops up that I've missed a call,calls_cellular,,,"To narrow this down, Okay. Let's work together to get that resolved. Have you tried to clear your call list completely?",AUTO_HANDLE,,The phone no longer rings and only shows missed calls.,Yes,2,5,2,1,4,5,2,Yes,"The response asks whether the call list was cleared, which is not a logical troubleshooting step for a phone that fails to ring, so it is poorly relevant despite staying in the call domain."
case_26,@AppleSupport why do you keep taking my money!!!! Apple hold keeps taking $1 every other week from me!!!!!!,other_unclear,Historical case for other_unclear,Here’s what you can do to work around the issue until it’s fixed in a future software update:,"Based on a similar Apple Support case, Here’s what you can do to work around the issue until it’s fixed in a future software update:",AUTO_HANDLE,,The customer reports recurring $1 charges and asks why Apple keeps taking money.,No,1,1,1,1,4,1,1,No,"The reply gives a generic software workaround without addressing billing, recurring $1 authorization charges, or any evidence that a software update will fix the issue."
case_27,@AppleSupport It’s the only WiFi I connect to so I can’t really answer that,wifi_connectivity,Historical case for wifi_connectivity,"We're here for you. Let us know what happens when you try, when the issue first began, and the device you're trying to connect to Wi-Fi with. We'll work together to investigate so we can get you connected again.","Based on a similar Apple Support case, We're here for you. Let us know what happens when you try, when the issue first began, and the device you're trying to connect to Wi-Fi with. We'll work together to investigate so we can get you connected again.",AUTO_HANDLE,,The customer cannot answer a Wi-Fi troubleshooting question because this is the only Wi-Fi network they use.,Yes,4,5,5,4,5,5,5,Yes,"The response appropriately continues Wi-Fi troubleshooting by asking what happens, when it started, and which device is affected, without requiring another network."
case_28,iPhone 6s is officially one year old today... and my Touch ID just randomly stopped working @115858 #helpme #forgotallmypasswords,device_hardware,Historical case for device_hardware,"We're here to help. What specifically is going on with your phone? Additionally, if you can access it, what version of iOS are you running under Settings &gt; General &gt; About?","Based on a similar Apple Support case, We're here to help. What specifically is going on with your phone? Additionally, if you can access it, what version of iOS are you running under Settings &gt; General &gt; About?",AUTO_HANDLE,,Touch ID stopped working randomly on an iPhone 6s.,Yes,4,5,5,4,5,5,5,Yes,The response correctly focuses on the device and iOS version and is a reasonable initial troubleshooting request for a Touch ID failure.
case_29,The act of trying to get data from one @115858 iPhone to another (my new one) must be one of the most complicated and frustrating technological processes I have encountered in a long time. There must be a simpler way.,other_unclear,,,Could you provide a little more detail about the issue you're experiencing?,AUTO_HANDLE,,The customer finds transferring data from an old iPhone to a new one unnecessarily complicated and wants a simpler process.,No,3,5,3,2,5,5,3,Yes,"The response asks for more detail, which is safe, but it does not acknowledge the specific data-transfer complaint and the predicted 'other_unclear' intent is too vague."
case_30,"Since #ios11, my alarm is silent, calls don’t work and apps keep freezing. @AppleSupport @115858 great job",ios_update,Historical case for ios_update,"We'd love to team up to take a look at what's going on. Is it all apps that freeze or just a few? When you restart the iPhone, does that help until the next time you open an app, or does it freeze immediately? Let us know more in DM and we'll get started.","Based on a similar Apple Support case, We'd love to team up to take a look at what's going on. Is it all apps that freeze or just a few? When you restart the iPhone, does that help until the next time you open an app, or does it freeze immediately? Let us know more in DM and we'll get started.",AUTO_HANDLE,,"Since iOS 11, the alarm is silent, calls do not work, and apps freeze.",Yes,4,5,4,3,5,5,5,Yes,"The reply meaningfully investigates the freezing problem and restart behavior, but it does not address the other important symptoms: silent alarms and calls not working."
case_31,"@AppleSupport ""Connections to host https://t.co/UE9wL6EXSQ on the default ports failed.""",wifi_connectivity,,,"Could you tell us what is happening with Wi-Fi, such as not connecting or frequently disconnecting?",AUTO_HANDLE,,The customer reports that connections to a host on default ports failed.,No,2,2,2,1,5,5,2,No,"The error does not clearly establish a Wi-Fi problem, so asking about Wi-Fi connectivity is an unsupported interpretation of the technical message."
case_32,@115858 the new 11 download has screwed my phone up completely!!!!please fix this problem.its basically a frozen mess!!,ios_update,Historical case for ios_update,"Thanks for contacting us, this issue was resolved with the software update. Please visit:","Based on a similar Apple Support case, Thanks for contacting us, this issue was resolved with the software update. Please visit:",AUTO_HANDLE,,The iOS 11 download/update left the phone frozen and unusable.,Yes,1,1,1,1,4,1,1,No,The reply claims the issue was resolved by a software update without evidence from the customer and does not provide relevant help for a phone that is frozen after an update.
case_33,"@AppleSupport Both. 

Quit and relaunched Maps in between switching from Wi-Fi to cellular just to be sure.",wifi_connectivity,Historical case for wifi_connectivity,We're happy to help. Do you have the option to check on a computer? Are you able to connect on your iPhone by using cellular data?,"Based on a similar Apple Support case, We're happy to help. Do you have the option to check on a computer? Are you able to connect on your iPhone by using cellular data?",AUTO_HANDLE,,"Maps cannot connect over either Wi-Fi or cellular data, and the customer tested both.",No,4,5,5,4,5,5,4,Yes,"The response asks about computer and cellular access, which partly follows the connectivity issue, but the customer already explicitly said both Wi-Fi and cellular were tested, so the follow-up is redundant and the Wi-Fi intent is too narrow."
case_34,@115858 I’m not listening to music wtf https://t.co/7a1GuyPBQR,apple_music_itunes,Historical case for apple_music_itunes,You can. Check out how to use Control Center and Music here:,"Based on a similar Apple Support case, You can. Check out how to use Control Center and Music here:",AUTO_HANDLE,,The customer says they are not listening to music even though music appears to be playing.,Yes,2,2,2,1,4,2,2,No,The reply explains how to use Control Center and Music but does not investigate why music is playing unexpectedly when the customer says they are not listening.
case_35,Everytime i refresh my tl my music stops and its really making me mad. @115858 fix this shit Deadass ya blowing my shit with all these damn issues. Before i get a samsung.,apple_music_itunes,Historical case for apple_music_itunes,Let's look into this for you. How often does your music get deleted? Are you an Apple Music subscriber? Let us know in DM.,"Based on a similar Apple Support case, Let's look into this for you. How often does your music get deleted? Are you an Apple Music subscriber? Let us know in DM.",AUTO_HANDLE,,Refreshing the timeline stops music playback and the customer wants the issue fixed.,Yes,2,5,3,1,4,5,2,Yes,"The response stays on the music topic but asks how often music is deleted and whether the customer subscribes, neither of which addresses playback stopping during timeline refresh."
case_36,all the pictures on my phone magically deleted. what the fuck @115858,apple_id_icloud,Historical case for apple_id_icloud,What happened before they were deleted? Are you able to see those photos at if you log in there?,"Based on a similar Apple Support case, What happened before they were deleted? Are you able to see those photos at if you log in there?",AUTO_HANDLE,,Photos unexpectedly disappeared from the phone.,Yes,3,5,4,3,5,5,4,Yes,"The reply asks what happened before deletion and whether the photos are visible after logging in, which is relevant recovery troubleshooting, although the Apple ID/iCloud intent is not certain from the message alone."
case_37,How buggy is iOS 11 on iPhoneX? Mails are literally unreadable with such huge fonts. @115858 https://t.co/JfyrcoodDT,ios_update,Historical case for ios_update,We can help! Which version of iOS 11 are you running? Find that in Settings &gt; General &gt; About and join us in DM.,"Based on a similar Apple Support case, We can help! Which version of iOS 11 are you running? Find that in Settings &gt; General &gt; About and join us in DM.",AUTO_HANDLE,,"On iPhone X with iOS 11, Mail fonts are so large that messages are unreadable.",Yes,4,5,5,4,5,5,5,Yes,"The response correctly focuses on the iOS version and asks the customer to continue in DM, but it does not directly address the specific Mail font problem."
case_38,@115858 as if I waited ten days to recover my password finally got 2 &amp; your website has an error and I have to wait again! Samsung convert.,apple_id_icloud,Historical case for apple_id_icloud,Thanks for reaching out. You can attempt to shorten the wait. Check out the steps outlined here:,"Based on a similar Apple Support case, Thanks for reaching out. You can attempt to shorten the wait. Check out the steps outlined here:",AUTO_HANDLE,,"Password recovery has already taken ten days, and the website error forces another wait.",Yes,4,5,5,4,5,5,5,Yes,"The response is directly relevant to account recovery and offers a way to shorten the wait, although it does not address the website error itself."
case_39,"@AppleSupport The iPhone just shows the Apple logo, nothing else. It won’t even connect to iTunes because my phone won’t even open to my home screen so I can’t access anything. It’s been like that for about 9 hours (on and off the charge)",battery_charging,,,"Could you tell us what is happening with the battery or charging, such as fast draining or not charging?",AUTO_HANDLE,,The iPhone is stuck on the Apple logo for hours and cannot reach the home screen or connect to iTunes.,No,1,5,1,1,5,5,1,Yes,The response misclassifies a boot/stuck-logo problem as a battery or charging issue and asks about charging symptoms that do not address the main failure.
case_40,Dear @115858 what the shit? My account gets hacked and you give me a run around? #bullshit,apple_id_icloud,,,This may involve account security or sensitive information. Please contact official Apple Support directly so a specialist can assist you.,ESCALATE,account_security,The customer's Apple account was hacked and they are frustrated with support.,Yes,5,5,5,5,5,5,5,Yes,"Escalating a hacked-account report to official support is appropriate because it may involve sensitive account security, and the reply avoids unsupported claims."
case_41,"This might sound like an ignorant question, but how does one sign up for an iTunes account in Uganda without a credit card? Help! #uot #uganda @115858",apple_id_icloud,,,This may involve account security or sensitive information. Please contact official Apple Support directly so a specialist can assist you.,ESCALATE,payment_billing,The customer asks how to create an iTunes account in Uganda without a credit card.,No,1,5,1,1,5,5,1,Yes,"The customer is asking about account creation and payment requirements, not account security, so the security escalation does not match the stated issue."
case_42,@115858 what the fuck are y’all doin where i️ can’t even type the letter i️ ??? get your shit together,ios_update,Historical case for ios_update,"Thanks for contacting us, this issue was resolved with the software update. Please visit:","Based on a similar Apple Support case, Thanks for contacting us, this issue was resolved with the software update. Please visit:",AUTO_HANDLE,,The customer cannot type the letter 'i' correctly.,Yes,1,1,1,1,4,1,1,No,The reply claims the problem was resolved by a software update without evidence and gives no troubleshooting relevant to the customer's typing problem.
case_43,Hey @115858 why do I only get text alerts/notifications part of the time on my 8?  Didn’t have this issue with my 7...,other_unclear,Historical case for other_unclear,Looks like your Time and Date disappeared unexpectedly. Let's help. Which iOS version are you currently running under Settings &gt; General &gt; About?,"Based on a similar Apple Support case, Looks like your Time and Date disappeared unexpectedly. Let's help. Which iOS version are you currently running under Settings &gt; General &gt; About?",AUTO_HANDLE,,The customer only receives text alerts or notifications part of the time on an iPhone 8.,No,1,5,1,1,4,5,1,Yes,"The reply discusses Time and Date settings, which is unrelated to intermittent text notifications, so the response does not address the customer's actual problem."
case_44,"I-Phone &amp; Mac Book chargers have packed in today, both less than 6 months old.....Any chance @115858 😞😤",device_hardware,Historical case for device_hardware,"You've reached the right place for support. To start, please DM us with the country where you're located.","Based on a similar Apple Support case, You've reached the right place for support. To start, please DM us with the country where you're located.",AUTO_HANDLE,,Both an iPhone and MacBook charger stopped working within six months.,Yes,4,5,4,3,5,5,4,Yes,"The response appropriately starts support for a hardware/accessory issue and asks for the country, although it does not yet address charger troubleshooting or warranty options."
case_45,FIX SPOTIFY IN THE MUSIC PLAYER #mygod @115858,apple_music_itunes,,,Could you tell us what is happening with Apple Music or iTunes?,AUTO_HANDLE,,Spotify is not working in the Music player.,No,2,5,2,1,5,5,3,Yes,"The response asks about Apple Music or iTunes even though the customer explicitly identifies Spotify, so it does not correctly target the reported service."
case_46,"@115858 
Y’all don’t have an undo button in Cupertino or what? I’m real tired of this “ I️ “ shit already",ios_update,Historical case for ios_update,Let's try the steps listed in this article. Let us know if you need any further help.,"Based on a similar Apple Support case, Let's try the steps listed in this article. Let us know if you need any further help.",AUTO_HANDLE,,The customer is frustrated by an unwanted 'I' character behavior and asks for an undo/fix.,Yes,3,5,4,2,5,5,4,Yes,"The reply offers a generic article-based troubleshooting path, but it does not explain or directly address the specific unwanted 'I' behavior described."
case_47,@115858 May you please fix this I️ issue with my phone I’m trying to type the letter I!!!!,ios_update,Historical case for ios_update,We'd like to take a closer look. Please DM us your current country and exact iOS version found at Settings &gt; General &gt; About.,"Based on a similar Apple Support case, We'd like to take a closer look. Please DM us your current country and exact iOS version found at Settings &gt; General &gt; About.",AUTO_HANDLE,,The customer asks Apple to fix the phone's 'I' typing problem.,Yes,3,5,4,3,5,5,4,Yes,"The response asks for country and exact iOS version, which is relevant to an iOS-specific bug, but it provides no immediate troubleshooting for the typing issue."
case_48,"@115858 before I updated my phone to i011 it held a charge almost all day, now it can’t go 1 hour worth of using.... can you explain this?😡😤",battery_charging,Historical case for battery_charging,We'd like to take a closer look to see why it's taking longer to charge. Is iOS 11.0.3 installed? Which model do you have?,"Based on a similar Apple Support case, We'd like to take a closer look to see why it's taking longer to charge. Is iOS 11.0.3 installed? Which model do you have?",AUTO_HANDLE,,"After updating to iOS 11, battery life dropped from nearly all day to about one hour.",Yes,4,5,5,4,5,5,5,Yes,"The response correctly identifies a battery/charging context and asks for the iOS version and device model, though it frames the issue around charging time rather than battery drain."
case_49,Anyone else’s iPhone been doing this weird thing?! @AppleSupport @115858 https://t.co/EpJGELn42E,app_problems,Historical case for app_problems,Here’s what you can do to work around the issue until it’s fixed in a future software update:,"Based on a similar Apple Support case, Here’s what you can do to work around the issue until it’s fixed in a future software update:",AUTO_HANDLE,,The customer only says the iPhone is doing a strange thing and provides no description of the symptom.,Yes,2,1,2,1,4,1,2,No,"The message is too vague to establish an app-problem intent, and the reply claims a future software-update workaround without enough evidence to support that diagnosis."
case_50,i️ also hate my phone for not working &amp; changing i’s to boxes @115858 needs to get it together,screen_display,Historical case for screen_display,Here’s what you can do to work around the issue until it’s fixed in a future software update:,"Based on a similar Apple Support case, Here’s what you can do to work around the issue until it’s fixed in a future software update:",AUTO_HANDLE,,The phone is not working correctly and changes typed 'i' characters into boxes.,No,2,1,2,1,4,1,1,No,The response gives a generic software-update workaround without addressing the specific character-to-box symptom or establishing that a future update will fix it.
