case_id,customer_message,system_intent,historical_customer_message,historical_response,system_reply,system_decision,system_escalation_reason,human_intent,intent_correct,correctness_1_5,groundedness_1_5,relevance_1_5,completeness_1_5,tone_1_5,unsupported_claims_1_5,escalation_appropriateness_1_5,evidence_supported,overall_comment
case_30,"Since #ios11, my alarm is silent, calls don’t work and apps keep freezing. @AppleSupport @115858 great job",ios_update,Historical case for ios_update,"We'd love to team up to take a look at what's going on. Is it all apps that freeze or just a few? When you restart the iPhone, does that help until the next time you open an app, or does it freeze immediately? Let us know more in DM and we'll get started.","Based on a similar Apple Support case, We'd love to team up to take a look at what's going on. Is it all apps that freeze or just a few? When you restart the iPhone, does that help until the next time you open an app, or does it freeze immediately? Let us know more in DM and we'll get started.",AUTO_HANDLE,,,,,,,,,,,,
case_31,"@AppleSupport ""Connections to host https://t.co/UE9wL6EXSQ on the default ports failed.""",wifi_connectivity,,,"Could you tell us what is happening with Wi-Fi, such as not connecting or frequently disconnecting?",AUTO_HANDLE,,,,,,,,,,,,
case_32,@115858 the new 11 download has screwed my phone up completely!!!!please fix this problem.its basically a frozen mess!!,ios_update,Historical case for ios_update,"Thanks for contacting us, this issue was resolved with the software update. Please visit:","Based on a similar Apple Support case, Thanks for contacting us, this issue was resolved with the software update. Please visit:",AUTO_HANDLE,,,,,,,,,,,,
case_33,"@AppleSupport Both. 

Quit and relaunched Maps in between switching from Wi-Fi to cellular just to be sure.",wifi_connectivity,Historical case for wifi_connectivity,We're happy to help. Do you have the option to check on a computer? Are you able to connect on your iPhone by using cellular data?,"Based on a similar Apple Support case, We're happy to help. Do you have the option to check on a computer? Are you able to connect on your iPhone by using cellular data?",AUTO_HANDLE,,,,,,,,,,,,
case_34,@115858 I’m not listening to music wtf https://t.co/7a1GuyPBQR,apple_music_itunes,Historical case for apple_music_itunes,You can. Check out how to use Control Center and Music here:,"Based on a similar Apple Support case, You can. Check out how to use Control Center and Music here:",AUTO_HANDLE,,,,,,,,,,,,
case_35,Everytime i refresh my tl my music stops and its really making me mad. @115858 fix this shit Deadass ya blowing my shit with all these damn issues. Before i get a samsung.,apple_music_itunes,Historical case for apple_music_itunes,Let's look into this for you. How often does your music get deleted? Are you an Apple Music subscriber? Let us know in DM.,"Based on a similar Apple Support case, Let's look into this for you. How often does your music get deleted? Are you an Apple Music subscriber? Let us know in DM.",AUTO_HANDLE,,,,,,,,,,,,
case_36,all the pictures on my phone magically deleted. what the fuck @115858,apple_id_icloud,Historical case for apple_id_icloud,What happened before they were deleted? Are you able to see those photos at if you log in there?,"Based on a similar Apple Support case, What happened before they were deleted? Are you able to see those photos at if you log in there?",AUTO_HANDLE,,,,,,,,,,,,
case_37,How buggy is iOS 11 on iPhoneX? Mails are literally unreadable with such huge fonts. @115858 https://t.co/JfyrcoodDT,ios_update,Historical case for ios_update,We can help! Which version of iOS 11 are you running? Find that in Settings &gt; General &gt; About and join us in DM.,"Based on a similar Apple Support case, We can help! Which version of iOS 11 are you running? Find that in Settings &gt; General &gt; About and join us in DM.",AUTO_HANDLE,,,,,,,,,,,,
case_38,@115858 as if I waited ten days to recover my password finally got 2 &amp; your website has an error and I have to wait again! Samsung convert.,apple_id_icloud,Historical case for apple_id_icloud,Thanks for reaching out. You can attempt to shorten the wait. Check out the steps outlined here:,"Based on a similar Apple Support case, Thanks for reaching out. You can attempt to shorten the wait. Check out the steps outlined here:",AUTO_HANDLE,,,,,,,,,,,,
case_39,"@AppleSupport The iPhone just shows the Apple logo, nothing else. It won’t even connect to iTunes because my phone won’t even open to my home screen so I can’t access anything. It’s been like that for about 9 hours (on and off the charge)",battery_charging,,,"Could you tell us what is happening with the battery or charging, such as fast draining or not charging?",AUTO_HANDLE,,,,,,,,,,,,
case_40,Dear @115858 what the shit? My account gets hacked and you give me a run around? #bullshit,apple_id_icloud,,,This may involve account security or sensitive information. Please contact official Apple Support directly so a specialist can assist you.,ESCALATE,account_security,,,,,,,,,,,
case_41,"This might sound like an ignorant question, but how does one sign up for an iTunes account in Uganda without a credit card? Help! #uot #uganda @115858",apple_id_icloud,,,This may involve account security or sensitive information. Please contact official Apple Support directly so a specialist can assist you.,ESCALATE,payment_billing,,,,,,,,,,,
case_42,@115858 what the fuck are y’all doin where i️ can’t even type the letter i️ ??? get your shit together,ios_update,Historical case for ios_update,"Thanks for contacting us, this issue was resolved with the software update. Please visit:","Based on a similar Apple Support case, Thanks for contacting us, this issue was resolved with the software update. Please visit:",AUTO_HANDLE,,,,,,,,,,,,
case_43,Hey @115858 why do I only get text alerts/notifications part of the time on my 8?  Didn’t have this issue with my 7...,other_unclear,Historical case for other_unclear,Looks like your Time and Date disappeared unexpectedly. Let's help. Which iOS version are you currently running under Settings &gt; General &gt; About?,"Based on a similar Apple Support case, Looks like your Time and Date disappeared unexpectedly. Let's help. Which iOS version are you currently running under Settings &gt; General &gt; About?",AUTO_HANDLE,,,,,,,,,,,,
case_44,"I-Phone &amp; Mac Book chargers have packed in today, both less than 6 months old.....Any chance @115858 😞😤",device_hardware,Historical case for device_hardware,"You've reached the right place for support. To start, please DM us with the country where you're located.","Based on a similar Apple Support case, You've reached the right place for support. To start, please DM us with the country where you're located.",AUTO_HANDLE,,,,,,,,,,,,
case_45,FIX SPOTIFY IN THE MUSIC PLAYER #mygod @115858,apple_music_itunes,,,Could you tell us what is happening with Apple Music or iTunes?,AUTO_HANDLE,,,,,,,,,,,,
case_46,"@115858 
Y’all don’t have an undo button in Cupertino or what? I’m real tired of this “ I️ “ shit already",ios_update,Historical case for ios_update,Let's try the steps listed in this article. Let us know if you need any further help.,"Based on a similar Apple Support case, Let's try the steps listed in this article. Let us know if you need any further help.",AUTO_HANDLE,,,,,,,,,,,,
case_47,@115858 May you please fix this I️ issue with my phone I’m trying to type the letter I!!!!,ios_update,Historical case for ios_update,We'd like to take a closer look. Please DM us your current country and exact iOS version found at Settings &gt; General &gt; About.,"Based on a similar Apple Support case, We'd like to take a closer look. Please DM us your current country and exact iOS version found at Settings &gt; General &gt; About.",AUTO_HANDLE,,,,,,,,,,,,
case_48,"@115858 before I updated my phone to i011 it held a charge almost all day, now it can’t go 1 hour worth of using.... can you explain this?😡😤",battery_charging,Historical case for battery_charging,We'd like to take a closer look to see why it's taking longer to charge. Is iOS 11.0.3 installed? Which model do you have?,"Based on a similar Apple Support case, We'd like to take a closer look to see why it's taking longer to charge. Is iOS 11.0.3 installed? Which model do you have?",AUTO_HANDLE,,,,,,,,,,,,
case_49,Anyone else’s iPhone been doing this weird thing?! @AppleSupport @115858 https://t.co/EpJGELn42E,app_problems,Historical case for app_problems,Here’s what you can do to work around the issue until it’s fixed in a future software update:,"Based on a similar Apple Support case, Here’s what you can do to work around the issue until it’s fixed in a future software update:",AUTO_HANDLE,,,,,,,,,,,,
case_50,i️ also hate my phone for not working &amp; changing i’s to boxes @115858 needs to get it together,screen_display,Historical case for screen_display,Here’s what you can do to work around the issue until it’s fixed in a future software update:,"Based on a similar Apple Support case, Here’s what you can do to work around the issue until it’s fixed in a future software update:",AUTO_HANDLE,,,,,,,,,,,,
