review_number,tweet_id,created_at,conversation_id,text,candidate_group,human_intent,human_notes,label_status
15,1919559,Thu Oct 26 12:02:07 +0000 2017,apple_043041,.@AppleSupport Since updating to 11.0.3 I can only send an MMS by first turning Wi-Fi off. Is this going to be fixed?,wifi_connectivity,wifi_connectivity,,human_reviewed
16,2303144,Sun Nov 12 16:27:51 +0000 2017,apple_055483,Download 11.1 they said.  I️t will be fun and correct your issues they said. No @115858 I️t hasn’t and only slowed my phone down more.  Time to switch because I️t has gotten worse over the last year.,app_store_downloads,ios_software_update,,human_reviewed
17,1202042,Wed Oct 25 06:52:00 +0000 2017,apple_025800,@115858 can u plz help me my phone keep saying it has headphones in but there’s no headphones in!!!!,audio_speaker,audio_speaker,,human_reviewed
18,336583,Sat Oct 07 16:25:23 +0000 2017,apple_023822,"Bought the new @34587 album on @118721 , songs were out of order. Deleted and re-downloaded now 2 songs are missing. #help @115858",app_store_downloads,apple_music_itunes,,human_reviewed
19,1475391,Thu Nov 02 19:43:57 +0000 2017,apple_039751,Hola @115858 me ha llegado un correo para resetear mi cuenta iCloud... es de ustedes o es un virus?,apple_id_icloud,apple_id_icloud,,human_reviewed
20,2519374,Thu Nov 16 01:35:16 +0000 2017,apple_048124,@717638 @115858 My phone doesn't even ring anymore. It just pops up that I've missed a call,calls_cellular,calls_cellular,,human_reviewed
21,1925111,Fri Oct 27 07:14:11 +0000 2017,apple_021419,@AppleSupport why do you keep taking my money!!!! Apple hold keeps taking $1 every other week from me!!!!!!,app_problems,other_unclear,,human_reviewed
22,2077723,Mon Oct 09 09:09:03 +0000 2017,apple_039593,"Hey @115858, you need me to have access to a device to access any form of help for my broken device. Catch 22, my friends.",device_hardware,device_hardware,,human_reviewed
23,148233,Fri Nov 24 17:09:45 +0000 2017,apple_031780,@AppleSupport It’s the only WiFi I connect to so I can’t really answer that,wifi_connectivity,wifi_connectivity,,human_reviewed
24,652789,Sun Oct 15 20:21:15 +0000 2017,apple_008925,@AppleSupport I already did that. I also did the force restart and the same thing happened,app_problems,other_unclear,,human_reviewed
25,1620561,Sun Nov 05 06:18:39 +0000 2017,apple_074730,@AppleSupport @115858 I’m not entirely sure what’s going on? I managed to go through the reservation now it’s reverted back to this?? https://t.co/DcBhDI2Y2q,app_problems,other_unclear,,human_reviewed
26,2440888,Tue Nov 14 22:36:34 +0000 2017,apple_042657,@115858 the camera on the brand new iPhone 8 I bought on Sunday doesn’t work as I discovered today at the airport while trying to take a picture of my parking location .  Very inconvenienced and pissed as I’m on travel for work!  Was up at 6am Sunday to wait in line to get it!,device_hardware,device_hardware,,human_reviewed
27,333624,Sat Oct 07 17:54:35 +0000 2017,apple_036322,Aye @115858 y’all better fix this Do Not Disturn button.,device_hardware,other_unclear,,human_reviewed
28,2482434,Sun Oct 29 23:15:57 +0000 2017,apple_016952,"Wow @115858 ever since my update my #iphone has gotten slower and dumber, I guess I’ll take the #smart out of it and just toss it #good #job",ios_software_update,ios_software_update,,human_reviewed
29,199307,Wed Oct 04 12:17:53 +0000 2017,apple_012401,iPhone 6s is officially one year old today... and my Touch ID just randomly stopped working @115858 #helpme #forgotallmypasswords,apple_id_icloud,device_hardware,,human_reviewed
30,1725665,Tue Nov 07 03:12:33 +0000 2017,apple_035485,@115858 stop waiting around &amp; fix the “I️” big issue because to programmers who don’t work for you- it’s aggravating &amp; insulting.,app_store_downloads,ios_software_update,,human_reviewed
31,1192069,Sun Oct 15 23:30:28 +0000 2017,apple_026786,"@AppleSupport This is what movies anywhere settings look like, I dont have those settings, that is why I can't connect or disconnect my itunes account https://t.co/ylONULiI1L",wifi_connectivity,apple_id_icloud,,human_reviewed
32,417281,Tue Oct 10 02:52:11 +0000 2017,apple_033971,I need to rethink life. My iPhone camera sucks @115858,device_hardware,device_hardware,,human_reviewed
33,1628497,Sun Nov 05 04:14:31 +0000 2017,apple_001975,@AppleSupport When can we expect a bug fix for the whole “I️” keyboard issue,app_problems,ios_software_update,,human_reviewed
34,126398,Fri Nov 24 02:59:30 +0000 2017,apple_012909,The act of trying to get data from one @115858 iPhone to another (my new one) must be one of the most complicated and frustrating technological processes I have encountered in a long time. There must be a simpler way.,calls_cellular,other_unclear,,human_reviewed
35,2410164,Sun Nov 26 17:38:58 +0000 2017,apple_069773,@115858 releases overpriced @797 and suddenly my iPhone camera stops working. GTFOH!! @136958 please stop this bull shiitake!,device_hardware,device_hardware,,human_reviewed
36,2283119,Sat Nov 11 19:23:10 +0000 2017,apple_029392,@115858 what’s the point of having do not disturb on if I keep getting disturbed? Broken ass setting lmao,device_hardware,other_unclear,,human_reviewed
37,2276939,Sat Nov 11 13:56:24 +0000 2017,apple_049238,"Hey @115858, please fix this. Kind of insane that one of the most commonly used words in the English language autocorrects into “A?”. Thanks. https://t.co/170APxpWqa",other_unclear,ios_software_update,,human_reviewed
38,1976581,Wed Nov 01 18:09:06 +0000 2017,apple_017759,Wtf @115858??? https://t.co/UOdELVJ60d,other_unclear,other_unclear,,human_reviewed
39,1557170,Sat Nov 11 13:33:07 +0000 2017,apple_019283,Why does this do this?! It’s so weird. @115858 anything?? It’s not my keyboard shortcuts so please help always replaces my I’s https://t.co/Nst53eNuMm,screen_display,ios_software_update,,human_reviewed
40,1740800,Sat Oct 28 23:28:15 +0000 2017,apple_039340,"Since #ios11, my alarm is silent, calls don’t work and apps keep freezing. @AppleSupport @115858 great job",ios_software_update,ios_software_update,,human_reviewed
41,1655492,Wed Oct 18 13:22:12 +0000 2017,apple_073949,"@AppleSupport ""Connections to host https://t.co/UE9wL6EXSQ on the default ports failed.""",wifi_connectivity,wifi_connectivity,,human_reviewed
42,1645496,Mon Nov 06 00:13:00 +0000 2017,apple_057669,@115858 Heartbroken 💔 Think I may have lost all the photos of my pregnancy and newborn baby girl. Surely there is something that can be done!,device_hardware,apple_id_icloud,,human_reviewed
43,411144,Mon Oct 09 23:55:31 +0000 2017,apple_052455,@115858 the new 11 download has screwed my phone up completely!!!!please fix this problem.its basically a frozen mess!!,app_store_downloads,ios_software_update,,human_reviewed
44,2441813,Tue Nov 14 23:09:18 +0000 2017,apple_034502,Alright guys anyone have an old unlocked phone laying around I'm sick of having no storage,apple_id_icloud,other_unclear,,human_reviewed
45,851766,Fri Oct 20 13:29:25 +0000 2017,apple_050272,"@AppleSupport Hi, I had my 6S+ battery replaced @ my local Apple Store over the weekend. Now, my front camera doesn't work. Suggestions?",battery_charging,device_hardware,,human_reviewed
46,724937,Wed Oct 11 03:06:33 +0000 2017,apple_042703,"my iPhone has died a total of FOUR times today even though every time it was on ""100%""... @115858, you're going to get a very angry call soon",calls_cellular,battery_charging,,human_reviewed
47,1003738,Sun Oct 22 12:38:47 +0000 2017,apple_014087,@AppleSupport impossible d’installer ios 11.0.3   Décidément ios 11 c’est vraiment de la merde,ios_software_update,ios_software_update,,human_reviewed
48,84175,Thu Nov 30 06:49:13 +0000 2017,apple_058914,My phones speaker just broke down on me thanks @115858 do better,audio_speaker,audio_speaker,,human_reviewed
49,2728172,Mon Nov 20 07:38:33 +0000 2017,apple_064240,"@AppleSupport 

leave us back to ios 10🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼
Ios 11 is terrible 🤮

if I do not switch to android",ios_software_update,ios_software_update,,human_reviewed
50,1707652,Mon Nov 06 22:15:37 +0000 2017,apple_015390,These damn check boxes @115858 is annoying and I️ can’t fix it because y’all won’t fix my damn iCloud account,apple_id_icloud,apple_id_icloud,,human_reviewed
51,2565712,Thu Nov 16 18:05:43 +0000 2017,apple_040891,"@115858 @AppleSupport worst service ever! 3000+ pictures/videoes of my son from a baby, Christmas, birthday GONE!! No answer as to why or anything. Will definitely be getting rid of my phone now and won’t be using Apple products again🙂 #ios1111",ios_software_update,ios_software_update,,human_reviewed
52,1099713,Mon Oct 23 22:51:36 +0000 2017,apple_012596,"@AppleSupport Both. 

Quit and relaunched Maps in between switching from Wi-Fi to cellular just to be sure.",wifi_connectivity,wifi_connectivity,,human_reviewed
53,1795222,Thu Oct 12 06:44:26 +0000 2017,apple_040791,This thing is the bane of my life. @115858 when will you make things that don't break after a couple of months? This is the second one starts to pause and skip songs. 🙄 https://t.co/eJDJuuI7fo,apple_music_itunes,audio_speaker,,human_reviewed
54,2065144,Sat Oct 07 20:38:52 +0000 2017,apple_002876,@115858 I’m not listening to music wtf https://t.co/7a1GuyPBQR,apple_music_itunes,apple_music_itunes,,human_reviewed
55,247118,Thu Oct 05 08:54:58 +0000 2017,apple_014094,@AppleSupport you real screwed the pooch on iOS 11! Siri is a mess. Battery life is a mess. iPhone keeps crashing.,battery_charging,ios_software_update,,human_reviewed
56,1709996,Tue Nov 07 00:43:58 +0000 2017,apple_024583,@115858 you need to get this under control it’s annoying https://t.co/v7ZwhDu6S2,other_unclear,other_unclear,,human_reviewed
57,1153446,Sun Oct 15 17:21:58 +0000 2017,apple_025882,@391389 @AppleSupport It made my phone SUPER slow and glitchy,app_problems,ios_software_update,,human_reviewed
58,2355070,Mon Nov 13 18:19:30 +0000 2017,apple_004342,Everytime i refresh my tl my music stops and its really making me mad. @115858 fix this shit Deadass ya blowing my shit with all these damn issues. Before i get a samsung.,apple_music_itunes,apple_music_itunes,,human_reviewed
59,2525509,Thu Nov 16 02:37:32 +0000 2017,apple_028680,all the pictures on my phone magically deleted. what the fuck @115858,calls_cellular,apple_id_icloud,,human_reviewed
60,2282663,Sat Nov 11 19:13:29 +0000 2017,apple_014699,"Are there major @118936 issues at @115858 ?? Techs overwhelmed, chats spinning waiting.... what’s going on??",app_store_downloads,other_unclear,,human_reviewed
61,568847,Sat Dec 02 14:13:33 +0000 2017,apple_043878,How buggy is iOS 11 on iPhoneX? Mails are literally unreadable with such huge fonts. @115858 https://t.co/JfyrcoodDT,ios_software_update,screen_display,,human_reviewed
62,1234121,Wed Oct 25 17:52:10 +0000 2017,apple_074333,just witnessed my phone go from 37% to 23% lol fuck y’all @115858,other_unclear,battery_charging,,human_reviewed
63,2552290,Mon Oct 30 15:33:58 +0000 2017,apple_018135,@AppleSupport Thanks! I don’t connect to anything else so just my car. Did it with my previous car too.,wifi_connectivity,audio_speaker,,human_reviewed
64,1698630,Tue Nov 07 00:38:15 +0000 2017,apple_011696,@AppleSupport No it's been fine before but the last two updates it just comes up error. I don't have an iPad to use iTunes to update.,ios_software_update,ios_software_update,,human_reviewed
65,701597,Thu Nov 23 16:19:23 +0000 2017,apple_037091,"Dear Apple, pls fix this problem. What’s the point of having a shortcut when it doesn’t even work? @115858 #OffWifi #Offbluetooth https://t.co/o7Yj8G8DDh",wifi_connectivity,wifi_connectivity,,human_reviewed
66,2914634,Tue Nov 28 22:40:48 +0000 2017,apple_037245,"@115858 @AppleSupport For some reason I can’t send out iMessages. I restarted, turned off/on iMessages, logged in/out of iCloud with no resolve. Is this a issue with the iOS or is it my phone ?",ios_software_update,apple_id_icloud,,human_reviewed
67,440797,Tue Oct 10 17:12:16 +0000 2017,apple_049130,@115858 as if I waited ten days to recover my password finally got 2 &amp; your website has an error and I have to wait again! Samsung convert.,apple_id_icloud,apple_id_icloud,,human_reviewed
68,1908496,Wed Oct 25 18:06:21 +0000 2017,apple_004980,"These popped up as NEW notifications today. Something from yesterday &amp; SUNDAY?! I’m missing calls, missing emails WHY R U DOING THIS @115858 https://t.co/TVJMzWDL59",calls_cellular,calls_cellular,,human_reviewed
69,1684426,Mon Nov 06 12:49:11 +0000 2017,apple_044457,Unused space on the iPhone X keyboard could be used for frequently used emojis like Touch bar on Mac. 🤷‍♀️ https://t.co/OZx48cSVWl,screen_display,screen_display,,human_reviewed
70,2353664,Mon Nov 13 18:43:54 +0000 2017,apple_074414,"@AppleSupport The iPhone just shows the Apple logo, nothing else. It won’t even connect to iTunes because my phone won’t even open to my home screen so I can’t access anything. It’s been like that for about 9 hours (on and off the charge)",battery_charging,device_hardware,,human_reviewed
71,2752724,Tue Nov 21 00:55:22 +0000 2017,apple_065153,@115858 it won’t let me re install macOS i bought a mac off a friend and reset so all info would be gone saying item isn’tavailable try again,app_store_downloads,other_unclear,,human_reviewed
72,1078402,Sun Oct 15 00:51:30 +0000 2017,apple_062105,"This new keyboard thing isn’t working on my iPad, @AppleSupport. Random numbers pop up in my words. And then I correct. Make it go away.",app_problems,ios_software_update,,human_reviewed
73,1773234,Wed Nov 08 00:03:01 +0000 2017,apple_009616,This iPhone bug whenever I️ type the letter i (as in abcdefgh-i-jk...) is driving me nuts! @115858 please fix this!,app_problems,ios_software_update,,human_reviewed
74,2804326,Wed Nov 22 02:22:59 +0000 2017,apple_020374,Dear @115858 what the shit? My account gets hacked and you give me a run around? #bullshit,apple_id_icloud,apple_id_icloud,,human_reviewed
75,2002700,Fri Nov 03 18:33:57 +0000 2017,apple_053386,"@AppleSupport turned back on again.
It was connected to a power supply too. Now the battery is completely drained and i cant even get it to charge",battery_charging,battery_charging,,human_reviewed
76,249333,Sat Nov 25 02:12:26 +0000 2017,apple_015216,"This might sound like an ignorant question, but how does one sign up for an iTunes account in Uganda without a credit card? Help! #uot #uganda @115858",apple_music_itunes,apple_id_icloud,,human_reviewed
77,2547281,Thu Nov 16 06:14:36 +0000 2017,apple_058713,@115858 what the fuck are y’all doin where i️ can’t even type the letter i️ ??? get your shit together,screen_display,ios_software_update,,human_reviewed
78,743477,Wed Oct 11 11:36:06 +0000 2017,apple_056930,Hey @115858 why do I only get text alerts/notifications part of the time on my 8?  Didn’t have this issue with my 7...,other_unclear,other_unclear,,human_reviewed
79,2105214,Wed Nov 08 03:44:54 +0000 2017,,@115858 Throwing away the whole phone,other_unclear,other_unclear,,human_reviewed
80,856160,Fri Oct 20 11:46:19 +0000 2017,apple_026299,"wtf is wrong w/ itunes, I’ve been waiting for a song to download for over two weeks now 🤦🏼‍♀️ @115858",app_store_downloads,apple_music_itunes,,human_reviewed
81,2740754,Mon Nov 20 17:34:12 +0000 2017,apple_001329,"I-Phone &amp; Mac Book chargers have packed in today, both less than 6 months old.....Any chance @115858 😞😤",battery_charging,device_hardware,,human_reviewed
82,2169837,Thu Nov 09 03:35:04 +0000 2017,apple_021326,Man @115858 need to fix this shit!!! I’m so sick the letter “I️” messing up!,screen_display,ios_software_update,,human_reviewed
83,2070482,Sun Oct 08 22:07:10 +0000 2017,apple_075064,"Hey @115858 11.0.2 sucks and glitched my clock away, and screwed up locked screen #fixit",apple_id_icloud,screen_display,,human_reviewed
84,1814499,Sun Oct 15 22:19:04 +0000 2017,apple_013173,@115858 I can never catch a 🤬 break with y’all! I just bought a new headphone adapter listened to a whole song &amp; now it not being recognized,apple_music_itunes,audio_speaker,,human_reviewed
85,2518304,Wed Nov 15 23:24:13 +0000 2017,apple_056660,Hey @115858 why can’t I make any phone calls? It’s been nearly an hour of my iPhone not working.  #sos 📱,calls_cellular,calls_cellular,,human_reviewed
86,1557118,Sat Nov 11 13:39:09 +0000 2017,apple_050127,Hey @115858 can u fix the ‘eye’ issue so EYE can stop sounding ridiculous in my emails to my profs,audio_speaker,ios_software_update,,human_reviewed
87,2408473,Tue Nov 14 15:19:54 +0000 2017,apple_021786,You know.. this whole “I️” problem is getting on my nerves. I️ have to rearrange my tweets cause they look stupid. @115858 what are y’all waiting for to fix this problem? Got yourselves an iPhone X but can’t fax an emoji problem? Good job. What would Steve Jobs say! Psh.,app_store_downloads,ios_software_update,,human_reviewed
88,2001552,Fri Nov 03 16:06:12 +0000 2017,apple_041854,@115858 what’s up with the 8S Plus not autolocking? Pretty annoying... sounds like a common problem.,audio_speaker,other_unclear,,human_reviewed
89,1772937,Wed Nov 08 01:58:44 +0000 2017,,@532860 @115858 Yep. It’s still messed up for me.,other_unclear,other_unclear,,human_reviewed
90,1119366,Mon Oct 16 13:04:50 +0000 2017,apple_049820,@AppleSupport WiFi and streaming.,wifi_connectivity,wifi_connectivity,,human_reviewed
91,1747438,Tue Nov 07 10:31:06 +0000 2017,apple_076392,FIX SPOTIFY IN THE MUSIC PLAYER #mygod @115858,apple_music_itunes,apple_music_itunes,,human_reviewed
92,1002250,Sun Oct 22 15:00:45 +0000 2017,apple_037959,"@AppleSupport No I’ve had it over a year, just randomly stopped sending iMessages and when I went to settings I saw that message",app_problems,apple_id_icloud,,human_reviewed
93,756454,Tue Oct 10 06:23:01 +0000 2017,,@115858 Only available on @118101 and every single one has/had a problem with cellular. My cellular hasn’t been working for 3 weeks and no resolution 😑,calls_cellular,calls_cellular,,human_reviewed
94,162872,Fri Nov 24 18:38:12 +0000 2017,apple_005902,Checking snapchat stops my music now &amp; that is not ok ☹️ @917 @115858,apple_music_itunes,apple_music_itunes,,human_reviewed
95,682004,Wed Nov 08 04:02:41 +0000 2017,apple_050869,"@115858 
Y’all don’t have an undo button in Cupertino or what? I’m real tired of this “ I️ “ shit already",device_hardware,ios_software_update,,human_reviewed
96,2816411,Mon Nov 27 03:15:28 +0000 2017,apple_066407,"i hate @115858 ! Can’t type i, can’t log in to my own account because of the two-factor authentication, can not wait to witch to a @728029",apple_id_icloud,apple_id_icloud,,human_reviewed
97,2548137,Mon Oct 30 10:38:15 +0000 2017,apple_073559,I need headphones @115858 mines came on the pack broke,audio_speaker,audio_speaker,,human_reviewed
98,2202134,Thu Oct 19 12:10:40 +0000 2017,,@643972 @643973 @119459 @119460 @13100 @115858 La guinda! Me ha desaparecido la hora de la pantalla bloqueada! #IOS @115858 @AppleSupport https://t.co/hd53g1kSAA,ios_software_update,screen_display,,human_reviewed
99,1477617,Thu Nov 02 21:08:36 +0000 2017,apple_033202,@115858 what the fuck is this? I️,other_unclear,ios_software_update,,human_reviewed
100,1773194,Wed Nov 08 00:09:53 +0000 2017,apple_062940,@115858 May you please fix this I️ issue with my phone I’m trying to type the letter I!!!!,screen_display,ios_software_update,,human_reviewed
