evaluation_id,tweet_id,conversation_id,customer_message,expected_intent,generated_reply,escalation_decision,escalation_reason,evidence_used,evidence_text,human_correctness,human_groundedness,human_relevance,human_completeness,human_tone,human_unsupported_claims
eval_11,1651994,apple_041365,"@AppleSupport 2 weeks have passed and no update to fix the lag yet . Please allow old phones to revert back to iOS 10.3.3
#returntoiOS10.3.3",ios_update,"Could you tell us what is happening with the software update, such as downloading, installing, or failing?",AUTO_HANDLE,,True,"@821954 We'll be happy to help with what you're experiencing with the current iOS software you're using. Send us a DM, we'll continue there. https://t.co/GDrqU22YpT",,,,,,
eval_12,1804005,apple_053579,I wish @AppleSupport would let me download the previous iOS so that my phone can actually work normal again #SteveJobsWouldntAllowThis,ios_update,"Could you tell us what is happening with the software update, such as downloading, installing, or failing?",AUTO_HANDLE,,True,@470289 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,,,,,
eval_13,2802437,apple_008359,@AppleSupport Other applications are the same. Horizontal position is problematic.,screen_display,"Could you provide a little more detail about the issue you're experiencing, including your device model and iOS version?",AUTO_HANDLE,,False,@216491 We'd love to assist you with the WhatsApp. DM us letting us know if it shows an update for the app in the App Store. https://t.co/GDrqU22YpT,,,,,,
eval_14,2914628,apple_037245,@AppleSupport It’s saying can’t connect to iMessage server. Try again,apple_id_icloud,"Based on a similar Apple Support case, We've checked out server status here, and everything looks good on our end. Send us a DM.",AUTO_HANDLE,,True,"@578961 We're happy to help, do you get any sort of error message or alert when attempting to activate on your iPhone?",,,,,,
eval_15,2299407,apple_021948,@AppleSupport my son is being exposed to inappropriate ads in ad supported kid's games we download from the Apple Store. How can I prevent this?,app_store_downloads,Could you tell us whether the issue is with downloading or installing an app?,AUTO_HANDLE,,False,@742751 Let's help get you back to downloading those applications in your App Store. Is this issue happening over cellular data as well as Wi-Fi? Do you ever get any error message after a certain amount of time waiting? Have you tried restarting your device yet?,,,,,,
eval_16,1745514,apple_006090,Yo @AppleSupport what the hell is this box on my screen https://t.co/WcHl8uyBaT,screen_display,"Could you tell us what is happening with the screen, such as a black display, touch issue, or flickering?",AUTO_HANDLE,,False,"@820842 Wow! That is quite an issue you shared with us. Thank you for the video. We would love to work with you and get this resolved today, for sure. Which iOS version are you running on that iPhone? Does restarting help stop this false touch behavior at all? DM us. https://t.co/GDrqU22YpT",,,,,,
eval_17,1636580,apple_015117,@AppleSupport I think that did it- thank you!,other_unclear,You're welcome! Glad to hear that helped.,AUTO_HANDLE,,False,@530789 We want to help. Have you had the chance to restart your device? To restart your iOS device: https://t.co/JWOTqcWcbG,,,,,,
eval_18,2237178,apple_019826,"My phone isn't downloading apps its always says ""waiting"" ben that way for days anyone know what I can do? @AppleSupport",app_problems,"Based on a similar Apple Support case, We want to make sure you're able to downloads apps for your iPhone. What happens when you try to install an app? Are you getting an error message? Along with that, which version of iOS is currently installed? Let us know the answers via DM.",AUTO_HANDLE,,True,"@246320 We're here to help. We released an update overnight that may address this issue. Follow these steps to update your iPhone and let us know how it goes: https://t.co/osZOKKTalm
Be sure to create a backup before upating.",,,,,,
eval_19,747792,apple_071137,@AppleSupport Done!,other_unclear,"Based on a similar Apple Support case, We've released an update to fix this. We do recommend creating a current backup of the data on your device before updating. Here's more about the new update: Let us know if this helps.",AUTO_HANDLE,,True,@139258 We've released an update to fix this. We do recommend creating a current backup of the data on your device before updating. Here's more about the new update: https://t.co/xU1AGHStV6 Let us know if this helps. https://t.co/GDrqU22YpT,,,,,,
eval_20,2296245,apple_053343,"Hi @AppleSupport, for a month now my camera settings keep resetting to whatever they want, even though my ‘Preserve Settings’ are all on. 🙄 https://t.co/oRa4rLmYuN",app_problems,"Based on a similar Apple Support case, We'd like to hear more about this so we can help determine the best way to get this addressed on your iPhone X. Can you provide us more details, perhaps an example of what you are experiencing with the camera settings. Also, let us know your iOS version in DM.",AUTO_HANDLE,,True,"@259791 We're happy to help To start, what version of iOS are you running? Find that in Settings &gt; General &gt; About.",,,,,,
eval_21,944328,apple_004476,@AppleSupport @115850 7/n the person asked me to deposit my device for 4-5days to service the device on heating issue. This is 2017 AD and not BC.,device_hardware,"Could you provide a little more detail about the issue you're experiencing, including your device model and iOS version?",AUTO_HANDLE,,False,@430158 That's not expected. We'll make things right. What happened before this screen? Did you set up as new or restore a backup?,,,,,,
eval_22,1977405,apple_029919,@AppleSupport after updating to iOS 11.1 battery indicator for Bluetooth speakers or headphones are not shown!,ios_update,"Could you tell us what is happening with the battery or charging, such as fast draining or not charging?",AUTO_HANDLE,,False,"@715993 Does the same issue happen when you connect other Bluetooth devices to your device? What happens when you try to install or update apps? If you're not connected to Wi-Fi, please connect and try again. Let us know.",,,,,,
eval_23,585903,apple_023412,@115858 I didn't buy a damn iPhone for it to respring everytime I tap on the screen. Get your shit together. #iPhone #Respring #SoftReboot,ios_update,"Based on a similar Apple Support case, We're here for you. Have you tried restarting your iPhone since this issue started?",AUTO_HANDLE,,True,@748067 Which iOS version is your device running? You can find it by navigating to: Settings &gt; General &gt; About. Let's work on this together in DM. Follow us there using the link below: https://t.co/GDrqU22YpT,,,,,,
eval_24,1583811,apple_011121,Hey @AppleSupport. When are you going to update the software so my iPhone doesn’t do this - I️ every time I try to type an I?,ios_update,"Based on a similar Apple Support case, We'd like to help you with that update. Let us know which iPhone you're attempting to update via DM. We'll go from there.",AUTO_HANDLE,,True,@603446 We'd like to help you with that update. Let us know which iPhone you're attempting to update via DM. We'll go from there. https://t.co/GDrqU22YpT,,,,,,
eval_25,1773204,apple_063425,@AppleSupport @532936 Yeah that work around doesn’t work anymore!!,other_unclear,"Based on a similar Apple Support case, Here’s what you can do to work around the issue until it’s fixed in a future software update:",AUTO_HANDLE,,True,@533398 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,,,,,
eval_26,2343831,apple_004208,Got my new Three SIM card yay... and now the sim drawer won’t open on my phone... so O2 still have me! @AppleSupport can you help me with this? Looks like the sim isn’t fitting in the slot preventing it from opening! Do I come to your store to get it sorted?,device_hardware,"Based on a similar Apple Support case, We'll help out. Let's start with the instructions here to try to resolve that No SIM message.",AUTO_HANDLE,,True,@208757 We'll do what we can to get that working so you can go back to enjoying your iPhone. Are you not getting cellular data in just that specific location?,,,,,,
eval_27,1027597,apple_050218,"So @115858 when are yall gunna fix this update, because if my phone freezes for 2 mins while im in traffic ONE MORE TIME !!!!!!",device_hardware,Could you tell us which app is affected and what happens when you try to use it?,AUTO_HANDLE,,False,@564630 We'd like to see how we can help. Let us know which iOS version you're on and we'll go from there.,,,,,,
eval_28,2500862,apple_001335,@118845 hey my headphones are really quiet. I turn it all the way up and they still are quiet. Please help me!!!!!,audio_speaker,"Could you provide a little more detail about the issue you're experiencing, including your device model and iOS version?",AUTO_HANDLE,,False,"@251098  Let's verify that Do Not Disturb isn’t enabled.  That setting doesn't generally affect alarms, but it would affect phone calls. Also, let's ensure that your side volume hasn’t been muted. After verifying these settings, let's set a test alarm or have a friend call you.",,,,,,
eval_29,1978681,apple_027819,"@115858 @applesupport There is no damn way, my storage is full. I barely have anything on my phone.",other_unclear,"To narrow this down, Having the storage space you need is our goal. So we can get started looking into this, could you join us in DM and let us know which device you're seeing this with?",AUTO_HANDLE,,True,"@586988 We’d love to help with your storage. To start, send us a DM letting us know which iPhone and software version you’re using. https://t.co/GDrqU22YpT",,,,,,
eval_30,152892,apple_008217,@AppleSupport (2) recall to be the thing that caused it. I also downloaded the Anomal Crossing app but i dont think that was it. After the video my phone's message app has been acting up and nothing seems to fix it. I have not tried with wifi yet as I dont have wifi today. Tomorrow I will.,app_problems,"Based on a similar Apple Support case, We know updating is important, we're happy to help. To clarify, are you attempting to install the public beta or iOS 11.1.2? Also, are you using a home, business, or public Wi-Fi network?",AUTO_HANDLE,,True,@339643 We'll be glad to help get those apps installed. Is this happening with all apps or any particular ones?,,,,,,
eval_31,1861583,apple_002936,@115858 what should I do now that your shitty headphones broke in my phone ? https://t.co/iF0pvfveRp,audio_speaker,"Based on a similar Apple Support case, We want to help. Let's force re-start it. This article explains how:",AUTO_HANDLE,,True,@821249 We're happy to help. Let's take a look at this further for you. Reach out to us in DM. https://t.co/GDrqU22YpT,,,,,,
eval_32,2261521,apple_008053,"@116333 @AppleSupport @144811 Every time I️ connect my phone via USB this song starts, this is getting really old! Why can’t iOS remember what I was listening to last and start there? Any car, any iPhone, any iOS, Please fix this, it’s killing me! https://t.co/yxtLKBdYpn",apple_music_itunes,"Based on a similar Apple Support case, We're glad to help! First, have you restarted your iPhone since noticing this? Here's a guide:",AUTO_HANDLE,,True,"@258640 We'd love to help you with making a backup. So that we're sure to be on the right path, please tell us which device you're trying to back up, and which iOS version is installed on it currently. Also, is this device connected via Wi-Fi, or via USB?",,,,,,
eval_33,293819,apple_047435,"@AppleSupport why I can’t download my videos from the links, I don’t need download from YouTube 
I stop watching my movie and drama ☹️💔",app_problems,"Based on a similar Apple Support case, We want to help you with this. What exactly happens when you're using the YouTube app? Which iOS version are you running on your iPhone? You can check here: Settings &gt; General &gt; About &gt; Version.",AUTO_HANDLE,,True,@200233 We want to help you with this. What exactly happens when you're using the YouTube app? Which iOS version are you running on your iPhone? You can check here: Settings &gt; General &gt; About &gt; Version.,,,,,,
eval_34,2958698,apple_045892,@AppleSupport I have restarted my phone and it is working now. Must be a bug?,other_unclear,You're welcome! Glad to hear that helped.,AUTO_HANDLE,,False,@451763 Let's help troubleshoot the account itself.  Please check out the steps here: https://t.co/Jpr0POLgCg and keep us posted.,,,,,,
eval_35,1160540,apple_075874,@AppleSupport can you help me figure out the battery health of my iPhone 6s? It typically lasts only for a few hrs ):,battery_charging,"Based on a similar Apple Support case, You've come to the right place! We know how important it is to have your iPhone battery performing its best. Tell us, what's happening with the battery performance? Please, follow the steps in this article and send us a DM with the results:",AUTO_HANDLE,,True,@592401 There can be many factors which affect the performance of your iPhone battery. We're happy to look into this with you. DM us. https://t.co/GDrqU22YpT,,,,,,
eval_36,2837178,apple_072786,"@AppleSupport Hi, I have an issue where I have set my Calendar app on Mac to start week on Monday but it randomly changes to start week on Sunday and I have to keep changing it back, can you please advise a fix?",app_problems,"To narrow this down, We’d like to help with your Calendar app. When did this start? Which device are you using?",AUTO_HANDLE,,True,@776021 Thanks for bringing this to our attention. Have you tried restarting your computer to see if the issue persists? https://t.co/GDrqU22YpT,,,,,,
eval_37,1216323,apple_013394,@AppleSupport It pops up every time I look at my phone after I come out of the subway. Global setting? I just installed iOS and haven’t looked at new features yet but I wish default wasn’t to bother me repeatedly,ios_update,"Based on a similar Apple Support case, We are here to help. Let's try the steps listed in this article.",AUTO_HANDLE,,True,@482983 We are here to help. Let's try the steps listed in this article. https://t.co/xU1AGHStV6,,,,,,
eval_38,2593234,apple_064137,@AppleSupport I don’t understand why my phones keeps freezing EVERY 20 minutes and I’m not exaggerating 😕😕,app_problems,Could you tell us which app is affected and what happens when you try to use it?,AUTO_HANDLE,,False,@566656 Let's help take a closer look and get this resolved. DM us the version of iOS you're using and we can go from there together. https://t.co/GDrqU22YpT,,,,,,
eval_39,500083,apple_008659,@O2 after 11 year as a loyal customer I get treated like this. All I want is my iPhone unlocking so I can use a @122326 sim. @115858 they have blamed you for the hold up as they need to get a code from you is this true?,calls_cellular,"Based on a similar Apple Support case, Thanks for reaching out. You may need to try another appropriately sized SIM card. Your carrier may be able to help. Check out this article for more details:",AUTO_HANDLE,,True,"@141075 Thanks for reaching out. You may need to try another appropriately sized  SIM card. Your carrier may be able to help. Check out this article for more details: 

https://t.co/Mhw9pFAK08",,,,,,
eval_40,2350767,apple_013694,@679441 @115858 @AppleSupport can you help with this guys ?,other_unclear,"Based on a similar Apple Support case, We have a great article to help with what you're seeing. Check out the steps here:",AUTO_HANDLE,,True,@223543 We'd like to help find the best solution for issues you are having. DM us what iOS 11 version you're on. https://t.co/GDrqU22YpT,,,,,,
eval_41,1123670,apple_036636,Is anyone else’s iPhone making a high pitched alarm noise? It sounds like a smoke detector but from the speaker of my phone? @AppleSupport,audio_speaker,"Could you tell us whether the issue is with the speaker, microphone, or overall audio?",AUTO_HANDLE,,True,"@150201 We'd love to help with this. First, we need some details: does the speaker work when listening to music or watching a video? What about while using speakerphone? Let us know more in DM, including which version of the operating system, and we'll get started. https://t.co/GDrqU22YpT",,,,,,
eval_42,689396,apple_026709,@AppleSupport since the last 2 updates the battery on my 6s drains within an hour .current update 11.1.2 has not fixed either any ideas,ios_update,"Based on a similar Apple Support case, We'd like to help you with that battery drain. Let us know which device you're using and the version of iOS 11 installed via DM.",AUTO_HANDLE,,True,@605787 We'd like to help you with that battery drain. Let us know which device you're using and the version of iOS 11 installed via DM. https://t.co/GDrqU22YpT,,,,,,
eval_43,1340829,apple_040015,@AppleSupport secured #iPhoneX at launch but ONLY w/a select carrier. Yet was told by Apple #Retail I could buy SIM-free like iPhone8. How? https://t.co/l4TpVlz0dE,calls_cellular,Are you trying to use an iPhone with a SIM from another carrier?,AUTO_HANDLE,,False,"@481404 Great question. What country are you in? Meet up with us in a DM, we'll continue there. https://t.co/GDrqU22YpT",,,,,,
eval_44,40519,apple_063145,@AppleSupport hi so I got an email my account was locked. But I’m pretty sure it was a fake.,apple_id_icloud,"Based on a similar Apple Support case, We know how important it's to keep your children's game data. This article provides information about how to update the birth date associated with your Apple ID, as well as what to do if they're below the age of 13: Let us know if this helps.",AUTO_HANDLE,,True,@271163 Thanks for reaching out. This email is not from us. You can learn more about these and other suspicious messages here: https://t.co/LNMCdqt6fD,,,,,,
eval_45,2863559,apple_001131,@AppleSupport my iPhone 6s Plus keeps crashing since new IOS. Tried re installing etc but no luck...,ios_update,Could you tell us which app is affected and what happens when you try to use it?,AUTO_HANDLE,,True,"@450137 We're here for you. Please DM us and let us know exactly what occurs, and if it's happening only in specific apps. https://t.co/GDrqU22YpT",,,,,,
eval_46,1795402,apple_028365,Hi @AppleSupport - why does my phone no longer charge since updating to #iOS11 ? Presume you will fund a new device for me?!,battery_charging,"Based on a similar Apple Support case, We can help with battery life. Do you know what version of the iOS is on the device? If not, you can check under Settings &gt; General &gt; About &gt; Version.",AUTO_HANDLE,,True,@671521 We're here for you. Which iPhone are you using and what version of the iOS? You can check from Settings &gt; General &gt; About.,,,,,,
eval_47,188375,apple_039400,@AppleSupport I have not touched my phone to summon Siri nor anybody spoke hey Siri around.,other_unclear,"Based on a similar Apple Support case, Let's check out the steps here: under 'If Hey Siri doesn't work'. Let us know how it goes.",AUTO_HANDLE,,True,@467963 Let's check out the steps here: https://t.co/xOrdgHyyiA under 'If Hey Siri doesn't work'. Let us know how it goes.,,,,,,
eval_48,810174,apple_004192,@AppleSupport unable to download music/install apps on iPad for months. Asks for me to use verification code from iPhone but doesn't work?,apple_id_icloud,"Based on a similar Apple Support case, You’ve come to the right place. To begin, we'll need to go to the settings for Touch ID. Please go to Settings &gt; Touch ID &amp; Passcodes. Turn off iTunes &amp; App Store, if you do not want to use Touch ID to make purchases. Here's more information:",AUTO_HANDLE,,True,@462507 Have you tried any troubleshooting steps so far? Which country are you located within? Please DM us here: https://t.co/GDrqU22YpT,,,,,,
eval_49,400861,apple_007442,@AppleSupport 11.0.2 battery life has gone from 9 hours to max 6 hours now,battery_charging,"Could you tell us what is happening with the battery or charging, such as fast draining or not charging?",AUTO_HANDLE,,True,@700484 We know how important it is to have your battery last. DM us using the link below. We'll look into things from there. https://t.co/GDrqU22YpT,,,,,,
eval_50,2123938,apple_077977,Mi iPhone 7 Plus presenta algunos problemas con App que se cierran u demoran para responder abrir la app que presiono. @119459 @119460 @624212 @AppleSupport @115858,app_problems,Could you tell us which app is affected and what happens when you try to use it?,AUTO_HANDLE,,True,@530038 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,,,,,,
