query_number,query_tweet_id,query_conversation_id,query_text,true_intent,predicted_intent,prediction_confidence,rank,final_score,similarity,semantic_similarity,retrieval_score,evidence_quality_score,evidence_quality_reason,actionable,generic_response,evidence_relevance_score,problem_match_score,problem_match_reason,entity_overlap,entity_mismatch,issue_overlap,issue_mismatch,relevance_accepted,relevance_reason,historical_conversation_id,historical_intent,intent_match,historical_customer,historical_response,diagnostic_relevance
3,2837178,apple_072786,"@AppleSupport Hi, I have an issue where I have set my Calendar app on Mac to start week on Monday but it randomly changes to start week on Sunday and I have to keep changing it back, can you please advise a fix?",app_problems,app_problems,0.19949343355020493,1,0.38017416866718057,0.10460512636333519,0.10460512636333519,0.38017416866718057,0.75,support resource link,False,False,0.5737,0.7,intent and entity alignment (calendar),['calendar'],False,['calendar'],False,True,intent agreement + entity overlap (calendar) + problem: intent and entity alignment (calendar) + ACCEPTED: grounded evidence,apple_041768,app_problems,True,@AppleSupport Anyone else’s got a problem with calendar app?,"@552908 What issue are you having with the Calendar app? Let us know what's going on, and we'll see how we can help. https://t.co/GDrqU22YpT",1
3,2837178,apple_072786,"@AppleSupport Hi, I have an issue where I have set my Calendar app on Mac to start week on Monday but it randomly changes to start week on Sunday and I have to keep changing it back, can you please advise a fix?",app_problems,app_problems,0.19949343355020493,2,0.3792654712865329,0.12671722642657782,0.12671722642657782,0.3792654712865329,0.68,link provided,False,False,0.5722,0.7,intent and entity alignment (calendar),['calendar'],False,['calendar'],False,True,intent agreement + entity overlap (calendar) + problem: intent and entity alignment (calendar) + ACCEPTED: grounded evidence,apple_017279,app_problems,True,"@AppleSupport Hello! After I updated my iPhone 6 to iOS 11, my calendar app stopped working properly. What can I do?",@341869 Thank you. We suggest force closing the Calendar app and then testing it again: https://t.co/RqqIctrDWV,1
3,2837178,apple_072786,"@AppleSupport Hi, I have an issue where I have set my Calendar app on Mac to start week on Monday but it randomly changes to start week on Sunday and I have to keep changing it back, can you please advise a fix?",app_problems,app_problems,0.19949343355020493,3,0.34568403083163346,0.046532780495534116,0.046532780495534116,0.34568403083163346,0.68,link provided,False,False,0.5521,0.7,intent and entity alignment (calendar),['calendar'],False,['calendar'],False,True,intent agreement + entity overlap (calendar) + problem: intent and entity alignment (calendar) + ACCEPTED: grounded evidence,apple_004802,app_problems,True,"@AppleSupport hello, please, fix bug at calendar... every change month between october and november the app crash! iOS 11 iphone 5s",@574053  We'd love to look into this calendar issue with you. Is this happening only in the months Oct and Nov? Send us a DM. https://t.co/GDrqU22YpT,1
3,2837178,apple_072786,"@AppleSupport Hi, I have an issue where I have set my Calendar app on Mac to start week on Monday but it randomly changes to start week on Sunday and I have to keep changing it back, can you please advise a fix?",app_problems,app_problems,0.19949343355020493,4,0.33213147422172773,0.13937359376044817,0.13937359376044817,0.33213147422172773,0.75,support resource link,False,False,0.4498,0.5,intent alignment without specific issue keywords,[],False,[],False,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold,apple_052569,app_problems,True,@757370 @AppleSupport @AppleSupport 🗣 WE ABOUT TO START SUING!!!,@757370 Help is here. Let's get your iPhone working again. Please check the steps found here: https://t.co/8MvHMFZ83h and let us know what happens. Need more room? Tap here to DM us: https://t.co/GDrqU22YpT,1
3,2837178,apple_072786,"@AppleSupport Hi, I have an issue where I have set my Calendar app on Mac to start week on Monday but it randomly changes to start week on Sunday and I have to keep changing it back, can you please advise a fix?",app_problems,app_problems,0.19949343355020493,5,0.32040716770071737,0.10428812974090636,0.10428812974090636,0.32040716770071737,0.75,support resource link,False,False,0.4411,0.5,intent alignment without specific issue keywords,[],False,[],False,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold,,app_problems,True,"@614107 @115858 Literally! My phone keeps freezing and I have to keep hard resetting it, proper annoying",@223543 We'd like to help find the best solution for issues you are having. DM us what iOS 11 version you're on. https://t.co/GDrqU22YpT,1
4,2299407,apple_021948,@AppleSupport my son is being exposed to inappropriate ads in ad supported kid's games we download from the Apple Store. How can I prevent this?,app_store_downloads,app_store_downloads,0.5552975756774815,1,0.38373413996330563,0.06145143778858031,0.06145143778858031,0.38373413996330563,1.0,troubleshooting guidance + diagnostic questions,True,False,0.5554,0.5,intent alignment without specific issue keywords,[],False,[],False,True,intent agreement + problem: intent alignment without specific issue keywords + ACCEPTED: grounded evidence,apple_017098,app_store_downloads,True,@AppleSupport Hey. I’ve an issue that I can’t download any application in my app store. How can I fix it? https://t.co/3NubqNVTRZ,@742751 Let's help get you back to downloading those applications in your App Store. Is this issue happening over cellular data as well as Wi-Fi? Do you ever get any error message after a certain amount of time waiting? Have you tried restarting your device yet?,1
4,2299407,apple_021948,@AppleSupport my son is being exposed to inappropriate ads in ad supported kid's games we download from the Apple Store. How can I prevent this?,app_store_downloads,app_store_downloads,0.5552975756774815,2,0.3775163807140401,0.07176921801973883,0.07176921801973883,0.3775163807140401,0.85,troubleshooting guidance,True,False,0.5679,0.5,intent alignment without specific issue keywords,[],False,[],False,True,intent agreement + problem: intent alignment without specific issue keywords + ACCEPTED: grounded evidence,apple_071674,app_store_downloads,True,"@AppleSupport No when I restart, it tries to install it. It gets stuck on 36 minutes and then that picture pops up. I am connected to WiFi. And this is the download from the App Store. I’ve never had issues before",@652355 Let's work together on this. Have you been able to restart the computer to try updating again? Are you connected to Wi-Fi? Is this download from the App Store?,1
4,2299407,apple_021948,@AppleSupport my son is being exposed to inappropriate ads in ad supported kid's games we download from the Apple Store. How can I prevent this?,app_store_downloads,app_store_downloads,0.5552975756774815,3,0.3740778787354983,0.06347345991992909,0.06347345991992909,0.3740778787354983,0.85,troubleshooting guidance,True,False,0.5659,0.5,intent alignment without specific issue keywords,[],False,[],False,True,intent agreement + problem: intent alignment without specific issue keywords + ACCEPTED: grounded evidence,apple_023772,app_store_downloads,True,"@AppleSupport 

add back the MB size of updates in the App Store. It’s a bit crazy that you took this option off. I don’t know if I’m updating a 500MB app or 20MB. 
Bandwidth costs money! Need to know the size since it makes a difference if we download on LTE or wait for Wifi.","@734397 Thanks for reaching out. To view the size of an app update, please open the App Store app and go to ""Updates"". Once there, tap on the name of the app and go to ""Information"". Here you can see the size of the update. Let us know if this helps.",1
4,2299407,apple_021948,@AppleSupport my son is being exposed to inappropriate ads in ad supported kid's games we download from the Apple Store. How can I prevent this?,app_store_downloads,app_store_downloads,0.5552975756774815,4,0.3693760573174459,0.05222567750799282,0.05222567750799282,0.3693760573174459,0.85,troubleshooting guidance,True,False,0.5631,0.5,intent alignment without specific issue keywords,[],False,[],False,True,intent agreement + problem: intent alignment without specific issue keywords + ACCEPTED: grounded evidence,apple_047361,app_store_downloads,True,@AppleSupport I was trying to run the update from the App Store,@665535 We want to help. Are you trying to update through downloading from the App Store or inside Recovery Mode?,1
4,2299407,apple_021948,@AppleSupport my son is being exposed to inappropriate ads in ad supported kid's games we download from the Apple Store. How can I prevent this?,app_store_downloads,app_store_downloads,0.5552975756774815,5,0.36693750788063517,0.11631538523083378,0.11631538523083378,0.36693750788063517,0.85,troubleshooting guidance,True,False,0.5141,0.5,intent alignment without specific issue keywords,[],False,[],False,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold,apple_068868,app_store_downloads,True,@AppleSupport nothing seems to want to download from the app store even after entering my password 😐,"@814255 We can help get you back up and going with downloading apps. 

Since you noticed this issue, have you powered your device off fully, and then back on? Let us know if that resolves the issue. 

If not, let us know what device you're using and the OS version.",1
5,1804005,apple_053579,I wish @AppleSupport would let me download the previous iOS so that my phone can actually work normal again #SteveJobsWouldntAllowThis,ios_software_update,ios_software_update,1.0,1,0.43531406216766194,0.2483124988339013,0.2483124988339013,0.43531406216766194,0.93,troubleshooting guidance + link provided,True,False,0.5701,0.5,intent alignment without specific issue keywords,[],False,[],False,True,intent agreement + problem: intent alignment without specific issue keywords + ACCEPTED: grounded evidence,apple_034533,ios_software_update,True,I️ wish @115858 would fix this.,@470289 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,1
5,1804005,apple_053579,I wish @AppleSupport would let me download the previous iOS so that my phone can actually work normal again #SteveJobsWouldntAllowThis,ios_software_update,ios_software_update,1.0,2,0.4284784954997415,0.23111752806926827,0.23111752806926827,0.4284784954997415,0.93,troubleshooting guidance + link provided,True,False,0.5658,0.5,intent alignment without specific issue keywords,[],False,[],False,True,intent agreement + problem: intent alignment without specific issue keywords + ACCEPTED: grounded evidence,apple_008658,ios_software_update,True,So annoying!!! I️ wish @115858 would fix this! https://t.co/y3fCel89sb,@603630 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9 https://t.co/GDrqU22YpT,1
5,1804005,apple_053579,I wish @AppleSupport would let me download the previous iOS so that my phone can actually work normal again #SteveJobsWouldntAllowThis,ios_software_update,ios_software_update,1.0,3,0.4269257684630456,0.22724831039665108,0.22724831039665108,0.4269257684630456,0.93,troubleshooting guidance + link provided,True,False,0.5648,0.5,intent alignment without specific issue keywords,[],False,[],False,True,intent agreement + problem: intent alignment without specific issue keywords + ACCEPTED: grounded evidence,apple_054567,ios_software_update,True,I wish @115858 would fix this shit. https://t.co/RBNwSH6ChI,"@790128 Thanks for reaching out to us for support. iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwT5to6",1
5,1804005,apple_053579,I wish @AppleSupport would let me download the previous iOS so that my phone can actually work normal again #SteveJobsWouldntAllowThis,ios_software_update,ios_software_update,1.0,4,0.4200143146007239,0.17501410000236567,0.17501410000236567,0.4200143146007239,1.0,troubleshooting guidance + diagnostic questions,True,False,0.5588,0.5,intent alignment without specific issue keywords,[],False,[],False,True,intent agreement + problem: intent alignment without specific issue keywords + ACCEPTED: grounded evidence,apple_042340,ios_software_update,True,"@AppleSupport Updated, thanks. Is this a known issue of the previous iOS?",@165442  We'd like to look into this with you. Which version of iOS are you using? Find that by going to Settings &gt; General &gt; About.,1
5,1804005,apple_053579,I wish @AppleSupport would let me download the previous iOS so that my phone can actually work normal again #SteveJobsWouldntAllowThis,ios_software_update,ios_software_update,1.0,5,0.4188868442582243,0.2252696289762256,0.2252696289762256,0.4188868442582243,0.88,diagnostic questions + link provided,True,False,0.5593,0.5,intent alignment without specific issue keywords,[],False,[],False,True,intent agreement + problem: intent alignment without specific issue keywords + ACCEPTED: grounded evidence,apple_077492,ios_software_update,True,Wish @115858 would fix this problem 🙄 https://t.co/RHXLeHoJXW,@588515 We’re glad you reached out! Let us know which version of iOS you’re running in DM so we can better assist. https://t.co/GDrqU22YpT,1
6,1651994,apple_041365,"@AppleSupport 2 weeks have passed and no update to fix the lag yet . Please allow old phones to revert back to iOS 10.3.3
#returntoiOS10.3.3",ios_software_update,ios_software_update,1.0,1,0.4721668343446998,0.26538181158398616,0.26538181158398616,0.4721668343446998,0.75,support resource link,False,False,0.6688,0.95,exact problem match (update:rollback),[],False,['update:rollback'],False,True,intent agreement + problem: exact problem match (update:rollback) + ACCEPTED: grounded evidence,apple_020039,ios_software_update,True,@AppleSupport tell me how to revert back to IOS 10. IOS 11 has made me want to get an android,"@821954 We'll be happy to help with what you're experiencing with the current iOS software you're using. Send us a DM, we'll continue there. https://t.co/GDrqU22YpT",2
6,1651994,apple_041365,"@AppleSupport 2 weeks have passed and no update to fix the lag yet . Please allow old phones to revert back to iOS 10.3.3
#returntoiOS10.3.3",ios_software_update,ios_software_update,1.0,2,0.4673163115947037,0.20866441697615581,0.20866441697615581,0.4673163115947037,0.88,diagnostic questions + link provided,True,False,0.6677,0.95,exact problem match (update:rollback),[],False,['update:rollback'],False,True,intent agreement + problem: exact problem match (update:rollback) + ACCEPTED: grounded evidence,apple_048061,ios_software_update,True,@AppleSupport i hope you release an update to fix this or if there’s a way to revert to iOS 10.3.3 it would be better.,@541828 We rely on our iPhones too and we know how important having a good battery life is! Which version of iOS 11 do you have? https://t.co/GDrqU22YpT,1
6,1651994,apple_041365,"@AppleSupport 2 weeks have passed and no update to fix the lag yet . Please allow old phones to revert back to iOS 10.3.3
#returntoiOS10.3.3",ios_software_update,ios_software_update,1.0,3,0.4601044433854544,0.14985112217468757,0.14985112217468757,0.4601044433854544,1.0,troubleshooting guidance + support resource link,True,False,0.665,0.95,exact problem match (update:rollback),[],False,['update:rollback'],False,True,intent agreement + problem: exact problem match (update:rollback) + ACCEPTED: grounded evidence,apple_030166,ios_software_update,True,@AppleSupport LET US REVERT BACK TO PREVIOUS IOS. HARD REBOOTS ETC NOT WORKING. Phone keeps freezing. FIX IT!!!!,@348203 We can help. Follow these steps and let us know what happens: https://t.co/fUZ0NRJxcn Questions? DM us. https://t.co/GDrqU22YpT,1
6,1651994,apple_041365,"@AppleSupport 2 weeks have passed and no update to fix the lag yet . Please allow old phones to revert back to iOS 10.3.3
#returntoiOS10.3.3",ios_software_update,ios_software_update,1.0,4,0.458642653026099,0.25729625171927784,0.25729625171927784,0.458642653026099,0.68,link provided,False,False,0.6598,0.95,exact problem match (update:rollback),[],False,['update:rollback'],False,True,intent agreement + problem: exact problem match (update:rollback) + ACCEPTED: grounded evidence,apple_031874,ios_software_update,True,@AppleSupport since upgrading to iOS 11 my iPhone is useless... How do I revert back to iOS 10?,@292030 We want to make sure your iPhone works the way you expect it to. Let's get paired up in DM to get started. https://t.co/GDrqU22YpT,1
6,1651994,apple_041365,"@AppleSupport 2 weeks have passed and no update to fix the lag yet . Please allow old phones to revert back to iOS 10.3.3
#returntoiOS10.3.3",ios_software_update,ios_software_update,1.0,5,0.45498660489061676,0.16188432970789757,0.16188432970789757,0.45498660489061676,0.93,troubleshooting guidance + link provided,True,False,0.661,0.95,exact problem match (update:rollback),[],False,['update:rollback'],False,True,intent agreement + problem: exact problem match (update:rollback) + ACCEPTED: grounded evidence,apple_075141,ios_software_update,True,"@115858 after new update, my iPhone 6splus is getting hanged and it slow down, how to revert back new update",@691127 We don't want to see your iPhone slow down after updating to iOS 11. Let's pair up in DM to take a closer look into what's happening here. https://t.co/GDrqU22YpT,1
7,152892,apple_008217,@AppleSupport (2) recall to be the thing that caused it. I also downloaded the Anomal Crossing app but i dont think that was it. After the video my phone's message app has been acting up and nothing seems to fix it. I have not tried with wifi yet as I dont have wifi today. Tomorrow I will.,app_problems,wifi_connectivity,1.0,1,0.4652770206975921,0.26358603753541077,0.26358603753541077,0.4652770206975921,0.8,diagnostic questions,True,False,0.6559,0.7,intent and entity alignment (wifi),['wifi'],False,['wifi'],False,True,intent agreement + entity overlap (wifi) + problem: intent and entity alignment (wifi) + ACCEPTED: grounded evidence,apple_004754,wifi_connectivity,True,"@AppleSupport nah ): 
i dont have Wi-fi ):",@339643 We'll be glad to help get those apps installed. Is this happening with all apps or any particular ones?,0
7,152892,apple_008217,@AppleSupport (2) recall to be the thing that caused it. I also downloaded the Anomal Crossing app but i dont think that was it. After the video my phone's message app has been acting up and nothing seems to fix it. I have not tried with wifi yet as I dont have wifi today. Tomorrow I will.,app_problems,wifi_connectivity,1.0,2,0.45105888444626074,0.14705517792895634,0.14705517792895634,0.45105888444626074,1.0,troubleshooting guidance + diagnostic questions,True,False,0.6468,0.7,intent and entity alignment (wifi),['wifi'],False,['wifi'],False,True,intent agreement + entity overlap (wifi) + problem: intent and entity alignment (wifi) + ACCEPTED: grounded evidence,apple_053586,wifi_connectivity,True,"@AppleSupport Its an iphone x, I dont have a different wifi! Safari seems to work","@684190 We can help you set up your new iPhone! Which iPhone is it? Also, have you tried a different Wi-Fi network?",0
7,152892,apple_008217,@AppleSupport (2) recall to be the thing that caused it. I also downloaded the Anomal Crossing app but i dont think that was it. After the video my phone's message app has been acting up and nothing seems to fix it. I have not tried with wifi yet as I dont have wifi today. Tomorrow I will.,app_problems,wifi_connectivity,1.0,3,0.448586790567454,0.1411823221158628,0.1411823221158628,0.448586790567454,1.0,troubleshooting guidance + diagnostic questions,True,False,0.6453,0.7,intent and entity alignment (wifi),['wifi'],False,['wifi'],False,True,intent agreement + entity overlap (wifi) + problem: intent and entity alignment (wifi) + ACCEPTED: grounded evidence,apple_072609,wifi_connectivity,True,"@AppleSupport Well I haven’t tried all of them, but have tried a lot...they’re downloaded so shouldn’t need WiFi, but have tried with no data/WiFi and with WiFi",@126564 Hey there. Thanks for reaching out to us. Does this happen with every song from your library? Are you able to play these songs or albums while connected to Wi-Fi?,0
7,152892,apple_008217,@AppleSupport (2) recall to be the thing that caused it. I also downloaded the Anomal Crossing app but i dont think that was it. After the video my phone's message app has been acting up and nothing seems to fix it. I have not tried with wifi yet as I dont have wifi today. Tomorrow I will.,app_problems,wifi_connectivity,1.0,4,0.4432653702890863,0.08540970682707927,0.08540970682707927,0.4432653702890863,1.0,troubleshooting guidance + diagnostic questions,True,False,0.6714,0.7,intent and entity alignment (wifi),['wifi'],False,['wifi'],False,True,intent agreement + entity overlap (wifi) + problem: intent and entity alignment (wifi) + ACCEPTED: grounded evidence,apple_008066,wifi_connectivity,True,@AppleSupport Wi-Fi i haven’t tried on cellular data,"@210024 We know it's important to keep apps up-to-date, and we can help. Does this happen on Wi-Fi, cellular data, or both?",0
7,152892,apple_008217,@AppleSupport (2) recall to be the thing that caused it. I also downloaded the Anomal Crossing app but i dont think that was it. After the video my phone's message app has been acting up and nothing seems to fix it. I have not tried with wifi yet as I dont have wifi today. Tomorrow I will.,app_problems,wifi_connectivity,1.0,5,0.4355122419364664,0.10992562724335445,0.10992562724335445,0.4355122419364664,1.0,troubleshooting guidance + diagnostic questions,True,False,0.6375,0.7,intent and entity alignment (wifi),['wifi'],False,['wifi'],False,True,intent agreement + entity overlap (wifi) + problem: intent and entity alignment (wifi) + ACCEPTED: grounded evidence,apple_008484,wifi_connectivity,True,@AppleSupport my  2 iPhones  will not connect to the internet via WiFi yet my iPad will??,@695383 Let's look into this together. What happens when you attempt to connect to Wi-Fi? How long have you been experiencing it?,0
8,1773204,apple_063425,@AppleSupport @532936 Yeah that work around doesn’t work anymore!!,other_unclear,other_unclear,0.14154330509861354,1,0.5267241348292749,0.4782601222079822,0.4782601222079822,0.5267241348292749,0.93,troubleshooting guidance + link provided,True,False,0.6276,0.5,intent alignment without specific issue keywords,[],False,[],False,True,intent agreement + problem: intent alignment without specific issue keywords + ACCEPTED: grounded evidence,apple_000715,other_unclear,True,@AppleSupport Yeah that didn’t work,@533398 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,2
8,1773204,apple_063425,@AppleSupport @532936 Yeah that work around doesn’t work anymore!!,other_unclear,other_unclear,0.14154330509861354,2,0.5159427596289117,0.45116757764530413,0.45116757764530413,0.5159427596289117,0.93,troubleshooting guidance + link provided,True,False,0.6208,0.5,intent alignment without specific issue keywords,[],False,[],False,True,intent agreement + problem: intent alignment without specific issue keywords + ACCEPTED: grounded evidence,apple_025360,other_unclear,True,@AppleSupport i️t doesn’t work,@518548 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,2
8,1773204,apple_063425,@AppleSupport @532936 Yeah that work around doesn’t work anymore!!,other_unclear,other_unclear,0.14154330509861354,3,0.5159406490645402,0.5168443826825972,0.5168443826825972,0.5159406490645402,0.75,support resource link,False,False,0.6192,0.5,intent alignment without specific issue keywords,[],False,[],False,True,intent agreement + problem: intent alignment without specific issue keywords + ACCEPTED: grounded evidence,apple_038466,other_unclear,True,@AppleSupport why doesn’t I️ work anymore?,@595826 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,2
8,1773204,apple_063425,@AppleSupport @532936 Yeah that work around doesn’t work anymore!!,other_unclear,other_unclear,0.14154330509861354,4,0.49947266671536683,0.3891753814227673,0.3891753814227673,0.49947266671536683,0.93,troubleshooting guidance + link provided,True,False,0.6053,0.5,intent alignment without specific issue keywords,[],False,[],False,True,intent agreement + problem: intent alignment without specific issue keywords + ACCEPTED: grounded evidence,apple_029305,other_unclear,True,@AppleSupport Yeah that doesn’t work. I️ still get the wonky autocorrect.,@532771 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,2
8,1773204,apple_063425,@AppleSupport @532936 Yeah that work around doesn’t work anymore!!,other_unclear,other_unclear,0.14154330509861354,5,0.4941009014658107,0.3763264753784662,0.3763264753784662,0.4941009014658107,0.93,troubleshooting guidance + link provided,True,False,0.6021,0.5,intent alignment without specific issue keywords,[],False,[],False,True,intent agreement + problem: intent alignment without specific issue keywords + ACCEPTED: grounded evidence,apple_054455,other_unclear,True,@AppleSupport The letter i doesn’t work anymore lol,@509370 Hello! Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/uQeXsrrlXJ,2
