id,tweet_id,category,reason,gold,pred,customer,generated
eval_12,2299407,A,Retrieval selected a generic historical reply ('work around the issue until it is fixed in a future update'),app_store_downloads,app_store_downloads,@AppleSupport my son is being exposed to inappropriate ads in ad supported kid's games we download from the Apple Store. How can I prevent this?,Could you provide a little more detail about the issue you're experiencing?
eval_13,1804005,B,Retrieval selected wrong historical resolution: WhatsApp update for iOS downgrade request,ios_update,ios_software_update,I wish @AppleSupport would let me download the previous iOS so that my phone can actually work normal again #SteveJobsWouldntAllowThis,Could you provide a little more detail about the issue you're experiencing?
eval_14,1651994,B,Retrieval selected wrong historical resolution: activation error alert for iOS downgrade request,ios_update,ios_software_update,"@AppleSupport 2 weeks have passed and no update to fix the lag yet . Please allow old phones to revert back to iOS 10.3.3
#returntoiOS10.3.3","Could you tell us what is happening with the software update, such as downloading, installing, or failing?"
eval_15,152892,I,"Intent misclassification: message app issue after video is app_problems, predicted=wifi_connectivity",app_problems,wifi_connectivity,@AppleSupport (2) recall to be the thing that caused it. I also downloaded the Anomal Crossing app but i dont think that was it. After the video my phone's message app has been acting up and nothing seems to fix it. I have not tried with wifi yet as,Could you tell us whether the issue is with downloading or installing an app?
eval_16,1773204,D,Customer message is ambiguous without prior conversational context ('that work around doesn’t work anymore'),other_unclear,other_unclear,@AppleSupport @532936 Yeah that work around doesn’t work anymore!!,Could you provide a little more detail about the issue you're experiencing?
eval_17,1643279,H,Clarification was unnecessary: customer asked a specific App Store password settings question,app_store_downloads,app_store_downloads,@AppleSupport How do I allow no password for already purchased apps but require a password for any new apps (even free) in the App Store?,Could you tell us whether the issue is with downloading or installing an app?
eval_19,1745514,C,Evidence gate accepted evidence that was only intent-related (general update for screen box artifact),screen_display,screen_display,Yo @AppleSupport what the hell is this box on my screen https://t.co/WcHl8uyBaT,"Could you tell us what is happening with the screen, such as a black display, touch issue, or flickering?"
eval_20,1978681,A,Retrieval selected a generic historical reply asking for iOS version,other_unclear,other_unclear,"@115858 @applesupport There is no damn way, my storage is full. I barely have anything on my phone.",Could you provide a little more detail about the issue you're experiencing?
eval_21,1583811,B,Retrieval selected wrong historical resolution: battery advice for general iOS update,ios_update,ios_software_update,Hey @AppleSupport. When are you going to update the software so my iPhone doesn’t do this - I️ every time I try to type an I?,"Could you tell us what is happening with the software update, such as downloading, installing, or failing?"
eval_22,1795402,B,Retrieval selected wrong historical resolution: general iOS version question,battery_charging,battery_charging,Hi @AppleSupport - why does my phone no longer charge since updating to #iOS11 ? Presume you will fund a new device for me?!,"Could you tell us what is happening with the battery or charging, such as fast draining or not charging?"
eval_24,2593234,A,Retrieval selected a generic historical reply with DM redirection,app_problems,app_problems,@AppleSupport I don’t understand why my phones keeps freezing EVERY 20 minutes and I’m not exaggerating 😕😕,Could you tell us which app is affected and what happens when you try to use it?
eval_25,293819,B,Retrieval selected wrong historical resolution: account troubleshooting for speaker issue,app_problems,app_problems,"@AppleSupport why I can’t download my videos from the links, I don’t need download from YouTube 
I stop watching my movie and drama ☹️💔","Could you tell us whether YouTube is crashing, not opening, or showing another issue?"
eval_27,944328,B,Retrieval selected wrong historical resolution: battery advice for Wi-Fi,device_hardware,device_hardware,@AppleSupport @115850 7/n the person asked me to deposit my device for 4-5days to service the device on heating issue. This is 2017 AD and not BC.,Could you provide a little more detail about the issue you're experiencing?
eval_29,2965414,A,Retrieval selected a generic historical reply with DM redirection,other_unclear,other_unclear,"Dear @115858, 

I am still patiently waiting for the day I can delete these apps I've #never used. 

Sincerely, me. https://t.co/9P2vBfYiHU",Could you provide a little more detail about the issue you're experiencing?
eval_31,810174,I,"Intent misclassification: account verification issue is apple_id_icloud, predicted=app_store_downloads",apple_id_icloud,app_store_downloads,@AppleSupport unable to download music/install apps on iPad for months. Asks for me to use verification code from iPhone but doesn't work?,Could you tell us what is happening with Apple Music or iTunes?
eval_32,2296245,I,"Intent misclassification: camera settings resetting is app_problems, predicted=device_hardware",app_problems,device_hardware,"Hi @AppleSupport, for a month now my camera settings keep resetting to whatever they want, even though my ‘Preserve Settings’ are all on. 🙄 https://t.co/oRa4rLmYuN","Could you tell us what is happening with the camera, such as not opening or not taking photos?"
eval_34,1123670,B,Retrieval selected wrong historical resolution: account steps for speaker hardware smoke alarm sound,audio_speaker,audio_speaker,Is anyone else’s iPhone making a high pitched alarm noise? It sounds like a smoke detector but from the speaker of my phone? @AppleSupport,"Could you tell us whether the issue is with the speaker, microphone, or overall audio?"
eval_35,188375,D,Customer message is ambiguous brief observation without an explicit problem statement or request,other_unclear,other_unclear,@AppleSupport I have not touched my phone to summon Siri nor anybody spoke hey Siri around.,Could you provide a little more detail about the issue you're experiencing?
eval_36,2261521,B,Retrieval selected wrong historical resolution: restart computer advice for USB car music playback,apple_music_itunes,apple_music_itunes,"@116333 @AppleSupport @144811 Every time I️ connect my phone via USB this song starts, this is getting really old! Why can’t iOS remember what I was listening to last and start there? Any car, any iPhone, any iOS, Please fix this, it’s killing me! ht","Could you tell us what is happening with Wi-Fi, such as not connecting or frequently disconnecting?"
eval_37,1977405,I,"Intent misclassification: battery indicator after update is ios_update, predicted=audio_speaker",ios_update,audio_speaker,@AppleSupport after updating to iOS 11.1 battery indicator for Bluetooth speakers or headphones are not shown!,"Could you tell us what is happening with the battery or charging, such as fast draining or not charging?"
eval_38,1216323,D,Customer message is ambiguous and cut off ('It pops up... Global s'),ios_update,ios_software_update,@AppleSupport It pops up every time I look at my phone after I come out of the subway. Global setting? I just installed iOS and haven’t looked at new features yet but I wish default wasn’t to bother me repeatedly,Could you provide a little more detail about the issue you're experiencing?
eval_39,1027597,H,Clarification was unnecessary: customer already reported system freeze after update,device_hardware,device_hardware,"So @115858 when are yall gunna fix this update, because if my phone freezes for 2 mins while im in traffic ONE MORE TIME !!!!!!",Could you tell us which app is affected and what happens when you try to use it?
eval_40,2072245,I,"Intent misclassification: music stops when opening another app is other_unclear, predicted=apple_music_itunes",other_unclear,apple_music_itunes,When listening to music on my @115858 phone why does it stop when I go into @917 🤔,Could you tell us what is happening with Apple Music or iTunes?
eval_41,1340829,H,Clarification was unnecessary: customer already explained the carrier restriction scenario,calls_cellular,calls_cellular,@AppleSupport secured #iPhoneX at launch but ONLY w/a select carrier. Yet was told by Apple #Retail I could buy SIM-free like iPhone8. How? https://t.co/l4TpVlz0dE,Are you trying to use an iPhone with a SIM from another carrier?
eval_42,2562363,D,"Customer message is completely ambiguous: complains about 'this bug' without naming device, app, or behavior",app_problems,app_problems,@115858 when are you going to fix this bug because am getting really annoyed. About to leave apple and return to droid.,Could you provide a little more detail about the issue you're experiencing?
eval_43,1338119,G,Customer found their own answer ('I think I found the answer: I can't pre-order iPhone X SIM-free'),calls_cellular,calls_cellular,@AppleSupport I think I found the answer: I can't pre-order iPhone X SIM-free at this time. I'm not sure when Apple will allow it. Thanks tho https://t.co/SICYUgzEPL,You're welcome! Glad to hear that helped.
eval_44,2237178,H,Clarification was unnecessary: customer explicitly specified apps stuck in 'waiting' state,app_problems,app_problems,"My phone isn't downloading apps its always says ""waiting"" ben that way for days anyone know what I can do? @AppleSupport",Could you provide a little more detail about the issue you're experiencing?
eval_46,215819,A,Retrieval selected a generic historical reply asking for iPhone and iOS version,ios_update,ios_software_update,@167325 @AppleSupport It’s the worst....wish I could downgrade 😂,Could you provide a little more detail about the issue you're experiencing?
eval_47,2863559,B,Retrieval selected wrong historical resolution: Hey Siri steps for app crash issue,ios_update,ios_software_update,@AppleSupport my iPhone 6s Plus keeps crashing since new IOS. Tried re installing etc but no luck...,Could you tell us which app is affected and what happens when you try to use it?
eval_48,1752110,D,"Customer message is an ambiguous fragment ('iPhone 7, still not downloading...')",apple_id_icloud,apple_id_icloud,"@AppleSupport iPhone 7, still not downloading, no issues with my account etc",Could you provide a little more detail about the issue you're experiencing?
eval_49,500083,H,"Clarification was unnecessary: customer wants carrier unlocking, asking about physical SIM tray was wrong",calls_cellular,calls_cellular,@O2 after 11 year as a loyal customer I get treated like this. All I want is my iPhone unlocking so I can use a @122326 sim. @115858 they have blamed you for the hold up as they need to get a code from you is this true?,"Could you tell us what is happening with the SIM card, tray, or SIM slot?"
eval_50,1798495,C,Evidence gate accepted evidence that was only intent-related (Spanish support link for battery drain),battery_charging,battery_charging,"@AppleSupport my phone dies so quickly, now. Not sure if it’s due to the update or another problem... 😞",Could you provide a little more detail about the issue you're experiencing?
