evaluation_id,tweet_id,customer_message,gold_intent,predicted_intent,generated_reply,evidence_text,system_escalation,judge_correctness,judge_groundedness,judge_relevance,judge_completeness,judge_tone,judge_unsupported_claims,judge_overall,primary_failure_category,all_failure_categories,failure_reason,recommended_fix,judge_status
eval_33,1636580,@AppleSupport I think that did it- thank you!,other_unclear,other_unclear,You're welcome! Glad to hear that helped.,@200233 We want to help you with this. What exactly happens when you're using the YouTube app? Which iOS version are you running on your iPhone? You can check here: Settings &gt; General &gt; About &gt; Version.,AUTO_HANDLE,5.0,5.0,5.0,5.0,5.0,5.0,5.0,H,H+J,Customer indicated resolved; reply is appropriate acknowledgement,No fix needed — correctly handled resolved message,success
eval_34,1123670,Is anyone else’s iPhone making a high pitched alarm noise? It sounds like a smoke detector but from the speaker of my phone? @AppleSupport,audio_speaker,audio_speaker,"Could you tell us whether the issue is with the speaker, microphone, or overall audio?",@451763 Let's help troubleshoot the account itself.  Please check out the steps here: https://t.co/Jpr0POLgCg and keep us posted.,AUTO_HANDLE,1.0,1.0,1.0,1.0,4.0,5.0,2.17,G,A+G,Safety/security issue detected but system chose AUTO_HANDLE,Extend check_sensitive_topic() keyword list to catch this pattern,success
eval_35,188375,@AppleSupport I have not touched my phone to summon Siri nor anybody spoke hey Siri around.,other_unclear,other_unclear,Could you provide a little more detail about the issue you're experiencing?,@592401 There can be many factors which affect the performance of your iPhone battery. We're happy to look into this with you. DM us. https://t.co/GDrqU22YpT,AUTO_HANDLE,1.0,1.0,1.0,1.0,4.0,5.0,2.17,A,A,Reply addresses the wrong sub-problem (generic response passed evidence filter),Add specificity bonus/penalty in score_evidence_candidate(); tighten minimum specificity threshold,success
eval_36,2261521,"@116333 @AppleSupport @144811 Every time I️ connect my phone via USB this song starts, this is getting really old! Why can’t iOS remember what I was listening to last and start there? Any car, any iPhone, any iOS, Please fix this, it’s killing me! ht",apple_music_itunes,apple_music_itunes,"Could you tell us what is happening with Wi-Fi, such as not connecting or frequently disconnecting?",@776021 Thanks for bringing this to our attention. Have you tried restarting your computer to see if the issue persists? https://t.co/GDrqU22YpT,AUTO_HANDLE,1.0,1.0,1.0,1.0,3.0,1.0,1.33,D,A+D,Unsupported claims detected (judge score=1.0),Improve grounding check or evidence quality to prevent hallucinated facts,success
eval_37,1977405,@AppleSupport after updating to iOS 11.1 battery indicator for Bluetooth speakers or headphones are not shown!,ios_update,audio_speaker,"Could you tell us what is happening with the battery or charging, such as fast draining or not charging?",@482983 We are here to help. Let's try the steps listed in this article. https://t.co/xU1AGHStV6,AUTO_HANDLE,1.0,1.0,1.0,1.0,3.0,5.0,2.0,B,B,"Intent misclassification: gold=ios_update, pred=audio_speaker",Investigate classifier boundary between ios_update and audio_speaker,success
eval_38,1216323,@AppleSupport It pops up every time I look at my phone after I come out of the subway. Global setting? I just installed iOS and haven’t looked at new features yet but I wish default wasn’t to bother me repeatedly,ios_update,ios_software_update,Could you provide a little more detail about the issue you're experiencing?,@566656 Let's help take a closer look and get this resolved. DM us the version of iOS you're using and we can go from there together. https://t.co/GDrqU22YpT,AUTO_HANDLE,1.0,5.0,1.0,1.0,4.0,5.0,2.83,B,B,"Intent misclassification: gold=ios_update, pred=ios_software_update",Investigate classifier boundary between ios_update and ios_software_update,success
eval_39,1027597,"So @115858 when are yall gunna fix this update, because if my phone freezes for 2 mins while im in traffic ONE MORE TIME !!!!!!",device_hardware,device_hardware,Could you tell us which app is affected and what happens when you try to use it?,"@141075 Thanks for reaching out. You may need to try another appropriately sized  SIM card. Your carrier may be able to help. Check out this article for more details: 

https://t.co/Mhw9pFAK08",AUTO_HANDLE,1.0,1.0,1.0,1.0,3.0,5.0,2.0,E,A+E,Unnecessary clarification — customer already described the specific problem in enough detail,Improve specificity scoring to rank direct actionable replies above generic clarification questions,success
eval_40,2072245,When listening to music on my @115858 phone why does it stop when I go into @917 🤔,other_unclear,apple_music_itunes,Could you tell us what is happening with Apple Music or iTunes?,@223543 We'd like to help find the best solution for issues you are having. DM us what iOS 11 version you're on. https://t.co/GDrqU22YpT,AUTO_HANDLE,1.0,1.0,1.0,1.0,3.0,5.0,2.0,B,B,"Intent misclassification: gold=other_unclear, pred=apple_music_itunes",Investigate classifier boundary between other_unclear and apple_music_itunes,success
eval_41,1340829,@AppleSupport secured #iPhoneX at launch but ONLY w/a select carrier. Yet was told by Apple #Retail I could buy SIM-free like iPhone8. How? https://t.co/l4TpVlz0dE,calls_cellular,calls_cellular,Are you trying to use an iPhone with a SIM from another carrier?,"@150201 We'd love to help with this. First, we need some details: does the speaker work when listening to music or watching a video? What about while using speakerphone? Let us know more in DM, including which version of the operating system, and we'",AUTO_HANDLE,1.0,1.0,1.0,1.0,3.0,5.0,2.0,A,A,Reply addresses the wrong sub-problem (generic response passed evidence filter),Add specificity bonus/penalty in score_evidence_candidate(); tighten minimum specificity threshold,success
eval_42,2562363,@115858 when are you going to fix this bug because am getting really annoyed. About to leave apple and return to droid.,app_problems,app_problems,Could you provide a little more detail about the issue you're experiencing?,@605787 We'd like to help you with that battery drain. Let us know which device you're using and the version of iOS 11 installed via DM. https://t.co/GDrqU22YpT,AUTO_HANDLE,1.0,5.0,2.0,1.0,5.0,5.0,3.17,J,J,Grounded and polite but correctness=1.0; may reflect judge strictness on clarification replies,Review manually; judge may penalize warranted clarifications,success
eval_43,1338119,@AppleSupport I think I found the answer: I can't pre-order iPhone X SIM-free at this time. I'm not sure when Apple will allow it. Thanks tho https://t.co/SICYUgzEPL,calls_cellular,calls_cellular,You're welcome! Glad to hear that helped.,"@481404 Great question. What country are you in? Meet up with us in a DM, we'll continue there. https://t.co/GDrqU22YpT",AUTO_HANDLE,1.0,1.0,1.0,1.0,4.0,1.0,1.5,D,A+D,Unsupported claims detected (judge score=1.0),Improve grounding check or evidence quality to prevent hallucinated facts,success
eval_44,2237178,"My phone isn't downloading apps its always says ""waiting"" ben that way for days anyone know what I can do? @AppleSupport",app_problems,app_problems,Could you provide a little more detail about the issue you're experiencing?,@271163 Thanks for reaching out. This email is not from us. You can learn more about these and other suspicious messages here: https://t.co/LNMCdqt6fD,AUTO_HANDLE,1.0,1.0,1.0,1.0,5.0,5.0,2.33,A,A,Reply addresses the wrong sub-problem (generic response passed evidence filter),Add specificity bonus/penalty in score_evidence_candidate(); tighten minimum specificity threshold,success
eval_45,747792,@AppleSupport Done!,other_unclear,other_unclear,Could you provide a little more detail about the issue you're experiencing?,"@450137 We're here for you. Please DM us and let us know exactly what occurs, and if it's happening only in specific apps. https://t.co/GDrqU22YpT",AUTO_HANDLE,4.0,1.0,5.0,2.0,5.0,5.0,3.67,H,H+J,Customer indicated issue is resolved but reply asks diagnostic questions instead of acknowledging,Ensure is_message_resolved() triggers acknowledgement reply path,success
eval_46,215819,@167325 @AppleSupport It’s the worst....wish I could downgrade 😂,ios_update,ios_software_update,Could you provide a little more detail about the issue you're experiencing?,@671521 We're here for you. Which iPhone are you using and what version of the iOS? You can check from Settings &gt; General &gt; About.,AUTO_HANDLE,1.0,5.0,3.0,2.0,5.0,5.0,3.5,B,B,"Intent misclassification: gold=ios_update, pred=ios_software_update",Investigate classifier boundary between ios_update and ios_software_update,success
eval_47,2863559,@AppleSupport my iPhone 6s Plus keeps crashing since new IOS. Tried re installing etc but no luck...,ios_update,ios_software_update,Could you tell us which app is affected and what happens when you try to use it?,@467963 Let's check out the steps here: https://t.co/xOrdgHyyiA under 'If Hey Siri doesn't work'. Let us know how it goes.,AUTO_HANDLE,1.0,1.0,1.0,1.0,4.0,5.0,2.17,B,B+E,"Intent misclassification: gold=ios_update, pred=ios_software_update",Investigate classifier boundary between ios_update and ios_software_update,success
eval_48,1752110,"@AppleSupport iPhone 7, still not downloading, no issues with my account etc",apple_id_icloud,apple_id_icloud,Could you provide a little more detail about the issue you're experiencing?,@462507 Have you tried any troubleshooting steps so far? Which country are you located within? Please DM us here: https://t.co/GDrqU22YpT,AUTO_HANDLE,1.0,5.0,3.0,1.0,5.0,5.0,3.33,J,J,Grounded and polite but correctness=1.0; may reflect judge strictness on clarification replies,Review manually; judge may penalize warranted clarifications,success
eval_49,500083,@O2 after 11 year as a loyal customer I get treated like this. All I want is my iPhone unlocking so I can use a @122326 sim. @115858 they have blamed you for the hold up as they need to get a code from you is this true?,calls_cellular,calls_cellular,"Could you tell us what is happening with the SIM card, tray, or SIM slot?",@700484 We know how important it is to have your battery last. DM us using the link below. We'll look into things from there. https://t.co/GDrqU22YpT,AUTO_HANDLE,1.0,1.0,1.0,1.0,4.0,1.0,1.5,D,A+D,Unsupported claims detected (judge score=1.0),Improve grounding check or evidence quality to prevent hallucinated facts,success
eval_50,1798495,"@AppleSupport my phone dies so quickly, now. Not sure if it’s due to the update or another problem... 😞",battery_charging,battery_charging,Could you provide a little more detail about the issue you're experiencing?,@530038 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,AUTO_HANDLE,1.0,5.0,2.0,1.0,5.0,5.0,3.17,J,J,Grounded and polite but correctness=1.0; may reflect judge strictness on clarification replies,Review manually; judge may penalize warranted clarifications,success
