query,query_intent,predicted_intent,historical_customer_message,historical_response,similarity,evidence_quality_score,problem_match_score,problem_match_reason,entity_overlap,entity_mismatch,issue_mismatch,evidence_relevance_score,final_score,accepted,relevance_reason
"My phone isn't downloading apps its always says ""waiting"" ben that way for days anyone know what I can do? @AppleSupport",app_problems,app_problems,"Been trying to update an app for 2 days. Says ""waiting"". Tried to do an update. Says there's not one. Wth is going on?! @115858",@701341 We want to be sure that you get the latest updates from your apps. Are there updates for other apps?,0.19640090901356796,0.6,0.5,intent alignment without specific issue keywords,[],False,False,0.5091,0.3641936781581518,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
@AppleSupport Other applications are the same. Horizontal position is problematic.,screen_display,screen_display,@AppleSupport seeing it on posts in twitter. haven’t noticed it in other applications yet.,"@125150 We can help. Is this happening with the keyboard on your device, or only being seen by other posts in an application?",0.19846653868882905,0.6,0.5,intent alignment without specific issue keywords,[],False,False,0.5096,0.36505076083878174,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
"@AppleSupport No I’ve had it over a year, just randomly stopped sending iMessages and when I went to settings I saw that message",apple_id_icloud,apple_id_icloud,@AppleSupport why is my phone not sending iMessages to my friend who also has an iPhone ?! I’ve done all the troubleshooting,@295702 We can help you. Can you please confirm you tried all the steps in this support article? https://t.co/2hgNQH8Vvq,0.14092841803522296,0.75,0.5,intent alignment without specific issue keywords,[],False,False,0.5102,0.36271409591877823,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
"@AppleSupport ""Connections to host https://t.co/UE9wL6EXSQ on the default ports failed.""",wifi_connectivity,wifi_connectivity,@AppleSupport I'm on 11.2 (15C5107a) and it does it on other wifi connections and data,"@742183 Let's look into this together. To get started, how long have you been experiencing this? Does this happen every time you do a search? Does restarting resolve the issue?",0.1012525054752258,0.85,0.5,intent alignment without specific issue keywords,[],False,False,0.5103,0.36061826667541913,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
@AppleSupport my son is being exposed to inappropriate ads in ad supported kid's games we download from the Apple Store. How can I prevent this?,app_store_downloads,app_store_downloads,@AppleSupport nothing seems to want to download from the app store even after entering my password 😐,"@814255 We can help get you back up and going with downloading apps. 

Since you noticed this issue, have you powered your device off fully, and then back on? Let us know if that resolves the issue. 

If not, let us know what device you're using and the OS version.",0.11631538523083378,0.85,0.5,intent alignment without specific issue keywords,[],False,False,0.5141,0.36693750788063517,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
"My phone isn't downloading apps its always says ""waiting"" ben that way for days anyone know what I can do? @AppleSupport",app_problems,app_problems,Anyone know why my phone keeps doing this?????? https://t.co/twMT0Af6Bj,@249099 Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together. https://t.co/GDrqU22YpT,0.15692859299821613,0.75,0.5,intent alignment without specific issue keywords,[],False,False,0.5142,0.36941014945745415,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
Literally every single photo I have is gone. Thanks @AppleSupport,app_problems,app_problems,@AppleSupport literally every time I play pandora through my air pods for more than 15 minutes the iPhone shuts down and reloads. Every. Single. Time.,@735163 We listen to a lot of music ourselves and want to get your devices working as expected. Send us a DM and let us know if the same thing happens with the AirPods disconnected. https://t.co/GDrqU22YpT,0.18936593052251438,0.68,0.5,intent alignment without specific issue keywords,[],False,False,0.5153,0.3728309747398894,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
"@AppleSupport No I’ve had it over a year, just randomly stopped sending iMessages and when I went to settings I saw that message",apple_id_icloud,apple_id_icloud,@AppleSupport my safari froze earlier so I restarted my phone and when I went back to safari all my bookmarks were gone??,@490973 We'd like to look into this. Could you please DM us with what iOS version you're running? https://t.co/GDrqU22YpT,0.11169431917664113,0.88,0.5,intent alignment without specific issue keywords,[],False,False,0.5159,0.36933346166805225,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
@AppleSupport Other applications are the same. Horizontal position is problematic.,screen_display,screen_display,"@AppleSupport It seems to be updating, but the screen is still that same problematic display",@232665 Thanks for reaching out. We can definitely look into this with you. Is your Mac still in the process of updating or has it stopped?,0.1299625579626017,0.85,0.5,intent alignment without specific issue keywords,[],False,False,0.5175,0.37264354273655614,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
Literally every single photo I have is gone. Thanks @AppleSupport,app_problems,app_problems,@AppleSupport I’m running on version 11.0.2 and every single application I have crushes also the note app,@201083 We're happy to help in any way possible. What's the exact iOS version on your device? Check here: Settings &gt; General &gt; About.,0.13300136773310325,0.85,0.5,intent alignment without specific issue keywords,[],False,False,0.5183,0.3739334185263296,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
@AppleSupport Other applications are the same. Horizontal position is problematic.,screen_display,screen_display,@115858 why are the letter eye autocorrecting to this bullshit https://t.co/rlamB6rvVw,@490329 Let's check out the steps here to work around this issue: https://t.co/xU1AGHStV6,0.11313730705040745,0.9,0.5,intent alignment without specific issue keywords,[],False,False,0.5183,0.3728550159574247,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
"@115858 @AppleSupport worst service ever! 3000+ pictures/videoes of my son from a baby, Christmas, birthday GONE!! No answer as to why or anything. Will definitely be getting rid of my phone now and won’t be using Apple products again🙂 #ios1111",ios_software_update,ios_software_update,@AppleSupport updated to the latest iOS and shortly thereafter my phone shows no service contacted carrier they found no reason as to why,"@476151 We want to help you. DM us, and we'll look into this deeper. https://t.co/GDrqU22YpT",0.12151945752924845,0.75,0.5,intent alignment without specific issue keywords,[],False,False,0.5204,0.36136495400395,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
For instance @115858 when are you gunna fix my fuckin I button I️ refuse to change it in my shortcuts it shouldn’t come down to this,screen_display,screen_display,yo @115858 when are you gonna fix my I️ from turning into that weird A ? box thing,@695752 We've recently released an update to fix this. We do recommend creating a current backup of the data on your device before updating. Here's more about the new update: https://t.co/xU1AGHStV6 Let us know if this helps. https://t.co/GDrqU22YpT,0.1107197884828943,0.93,0.5,intent alignment without specific issue keywords,[],False,False,0.5207,0.3761952552757657,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
Literally every single photo I have is gone. Thanks @AppleSupport,app_problems,app_problems,Any reason behind @129941 cutting out randomly? Complete app crash. @AppleSupport it’s been doing it every single time I use it.,@388146 We'd like to help. Have you tried the steps here for your issue: https://t.co/fUZ0NRJxcn Let us know. https://t.co/GDrqU22YpT,0.10555786145325907,0.95,0.5,intent alignment without specific issue keywords,[],False,False,0.5214,0.3769307056046973,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
For instance @115858 when are you gunna fix my fuckin I button I️ refuse to change it in my shortcuts it shouldn’t come down to this,screen_display,screen_display,@115858 when are you planning on fixing I️?,@532773 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/uQeXsrrlXJ,0.11794922655462806,0.93,0.5,intent alignment without specific issue keywords,[],False,False,0.5225,0.376740529568069,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
For instance @115858 when are you gunna fix my fuckin I button I️ refuse to change it in my shortcuts it shouldn’t come down to this,screen_display,screen_display,Yo @115858 when are you fixing I️ this ???,@513270 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,0.132927520051972,0.93,0.5,intent alignment without specific issue keywords,[],False,False,0.5262,0.3826743432148121,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
@AppleSupport Thanks! I don’t connect to anything else so just my car. Did it with my previous car too.,audio_speaker,audio_speaker,@AppleSupport Why does my phone no longer connect to my cars bluetooth? It’s playing on the car screen but audio from my phone. Please fix!,@723513 Let's update to 11.1.2 and see if the issue persists. This article can help with how to first back up your iPhone and then update: https://t.co/6p9Tcj51N4,0.10892612856846623,1.0,0.5,intent alignment without specific issue keywords,[],False,False,0.5272,0.38557139534195073,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
"@115858 @AppleSupport worst service ever! 3000+ pictures/videoes of my son from a baby, Christmas, birthday GONE!! No answer as to why or anything. Will definitely be getting rid of my phone now and won’t be using Apple products again🙂 #ios1111",ios_software_update,ios_software_update,iPhone's new software update is so slow and annoying that it's getting rid of my phone addiction. Thanks @115858. #anotherYahoo in the making,@386799 We want to help. Meet us in DM and we'll work towards a solution together. https://t.co/GDrqU22YpT,0.1499114511556195,0.75,0.5,intent alignment without specific issue keywords,[],False,False,0.5275,0.3732479040536196,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
This thing is the bane of my life. @115858 when will you make things that don't break after a couple of months? This is the second one starts to pause and skip songs. 🙄 https://t.co/eJDJuuI7fo,audio_speaker,apple_music_itunes,So my Apple Music is not working. Im not able to search for music. I don't pay for things that don't work. What's going?  @AppleSupport,@813668 Let's get that Apple Music working for you again. What's happening when you try searching for music? Are you connected to cellular data or Wi-Fi when it fails to work correctly?,0.12125323521090962,0.85,0.5,intent alignment without specific issue keywords,[],False,False,0.5303,0.3757384899745384,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
"@AppleSupport Well, hum, after a day with the latest version, there is not much progress. Unplugged the phone at 9 AM, it is now 4:30 PM https://t.co/YpURUCwaQZ",battery_charging,battery_charging,"@AppleSupport It is 11.02, updated to the latest version. https://t.co/Lq5ljInSgE","@350157 We can help. To start, let us know which version of iOS 11 your iPhone is on, and we’ll take it from there.",0.2029490883909733,0.8,0.5,intent alignment without specific issue keywords,[],False,False,0.5307,0.39591742104763783,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
This thing is the bane of my life. @115858 when will you make things that don't break after a couple of months? This is the second one starts to pause and skip songs. 🙄 https://t.co/eJDJuuI7fo,audio_speaker,apple_music_itunes,@AppleSupport Any contacts. Spotify will stop and start songs and also skip songs randomly when your phone is locked or unlocked,"@801105 We're here for you. Do you drop calls with specific contacts or randomly? When you say it starts and stops, do you mean restarting or apps closing unexpectedly? Are you using the Music app or another third-party app? Let us know and we'll take it from there.",0.12305136090363494,0.85,0.5,intent alignment without specific issue keywords,[],False,False,0.5308,0.3765137164365123,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
@AppleSupport It pops up every time I look at my phone after I come out of the subway. Global setting? I just installed iOS and haven’t looked at new features yet but I wish default wasn’t to bother me repeatedly,ios_software_update,ios_software_update,Hey. @115858 plz tell what new features come will iOS 11.0.2 update,@189767 Hey there. Information about the iOS 11.0.2 update can be found here: https://t.co/kb5hXMmG9X,0.11576549671404276,0.93,0.5,intent alignment without specific issue keywords,[],False,False,0.5369,0.3850292419944971,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
@AppleSupport It pops up every time I look at my phone after I come out of the subway. Global setting? I just installed iOS and haven’t looked at new features yet but I wish default wasn’t to bother me repeatedly,ios_software_update,ios_software_update,@AppleSupport I have the iPhone 7 Plus and yes I just installed the iOS 11.1.1,@680402 We want to help! What model of iOS device are you using? Do you have the most recent version of iOS 11.1.1 downloaded? https://t.co/GDrqU22YpT,0.10788480781745216,0.95,0.5,intent alignment without specific issue keywords,[],False,False,0.537,0.38466275119214044,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
@643972 @643973 @119459 @119460 @13100 @115858 La guinda! Me ha desaparecido la hora de la pantalla bloqueada! #IOS @115858 @AppleSupport https://t.co/hd53g1kSAA,screen_display,ios_software_update,Señores de @AppleSupport me dura más una erección que la carga de la batería. Muy mal iOS 11.,@372326 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,0.19269260312486503,0.75,0.5,intent alignment without specific issue keywords,[],False,False,0.5382,0.3911539365562087,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
Literally every single photo I have is gone. Thanks @AppleSupport,app_problems,app_problems,@115858 yoU BETTER FUCKING TELL ME WHERE EVERY SINGLE PHOTO FROM MY FIRST TIME SEEING DEMI A FRIEND TOOK ON MY PHONE HAVE GONE FROM MYICLOUD,"@341658 We'll help however we can. Send us a DM, and we'll go from there. https://t.co/GDrqU22YpT",0.25816614781449504,0.75,0.5,intent alignment without specific issue keywords,[],False,False,0.5395,0.4117738412312355,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
just witnessed my phone go from 37% to 23% lol fuck y’all @115858,battery_charging,battery_charging,@AppleSupport why did my phone go from 19% to 7% in one second,@752831 We'd love to help. Were you using a specific app when this occurred? Were you connected to Wi-Fi?,0.22141614618770045,0.85,0.5,intent alignment without specific issue keywords,[],False,False,0.5404,0.4109333407334364,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
This thing is the bane of my life. @115858 when will you make things that don't break after a couple of months? This is the second one starts to pause and skip songs. 🙄 https://t.co/eJDJuuI7fo,audio_speaker,apple_music_itunes,@AppleSupport some songs won’t let me play but if I select the track before and skip it does. I don’t want to have to delete and re download my whole library how can I fix this https://t.co/4ov2irtwYA,@817567 We want to help. Which version of iOS are you using? You can check in Settings &gt; General &gt; About.,0.1057871051118197,1.0,0.5,intent alignment without specific issue keywords,[],False,False,0.5414,0.3910008541642168,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
@AppleSupport It pops up every time I look at my phone after I come out of the subway. Global setting? I just installed iOS and haven’t looked at new features yet but I wish default wasn’t to bother me repeatedly,ios_software_update,ios_software_update,@AppleSupport I just installed the latest iOS today - 11.0.3,@369071 Let's look into this. Which version of iOS is installed? Please check in Settings &gt; General &gt; About.,0.10674111319715546,1.0,0.5,intent alignment without specific issue keywords,[],False,False,0.5417,0.3914277806383296,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
@AppleSupport Thanks! I don’t connect to anything else so just my car. Did it with my previous car too.,audio_speaker,audio_speaker,@AppleSupport It says unable to connect. Headphones connect to my 6s and laptop fine. I’ve also been having problems connecting to my car stereo too,"@374869 If you are having trouble with your Bluetooth connection, we're here to help! Let us know what happens when you try to connect.",0.1677007102276719,1.0,0.5,intent alignment without specific issue keywords,[],False,False,0.5419,0.41017141732966766,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
This thing is the bane of my life. @115858 when will you make things that don't break after a couple of months? This is the second one starts to pause and skip songs. 🙄 https://t.co/eJDJuuI7fo,audio_speaker,apple_music_itunes,"@AppleSupport Aha, this should make things more interesting. If the OBS application is open when the iPad is connected (as a video source), it causes iTunes to open. What do you make of that?",@664434 Thanks for reaching out. Does this happen with all devices or just this one? Was the iPad needing to update when it happened this time?,0.11113509059157589,1.0,0.5,intent alignment without specific issue keywords,[],False,False,0.5428,0.3932673377210222,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
"Dear Apple, pls fix this problem. What’s the point of having a shortcut when it doesn’t even work? @115858 #OffWifi #Offbluetooth https://t.co/o7Yj8G8DDh",wifi_connectivity,wifi_connectivity,@AppleSupport what’s the point of Apple Pay if it’s not going to work ?,"@417356 We'd like to help! Please send us a DM letting us know exactly what is going on with Apple Pay, and we can help! https://t.co/GDrqU22YpT",0.2716290015820523,0.75,0.5,intent alignment without specific issue keywords,[],False,False,0.5429,0.41742347448410805,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
@115858 stop waiting around &amp; fix the “I️” big issue because to programmers who don’t work for you- it’s aggravating &amp; insulting.,ios_software_update,ios_software_update,@115858 fix the I️ I️ I️ I️ I️,@598580 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9 https://t.co/GDrqU22YpT,0.1418082858166281,0.93,0.5,intent alignment without specific issue keywords,[],False,False,0.5435,0.392990361457739,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
"@115858 @AppleSupport worst service ever! 3000+ pictures/videoes of my son from a baby, Christmas, birthday GONE!! No answer as to why or anything. Will definitely be getting rid of my phone now and won’t be using Apple products again🙂 #ios1111",ios_software_update,ios_software_update,@AppleSupport this iOS update SUCKS!!!!!!!! Phone freezes literally every 5 minutes. Seriously considering getting rid of my iPhone.,@232092 That's not the experience we want you to have.  We want to help you.  Send us a DM letting us know the exact version of iOS on your phone. https://t.co/GDrqU22YpT,0.13467202184957627,0.95,0.5,intent alignment without specific issue keywords,[],False,False,0.5437,0.3958746386859704,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
@115858 stop waiting around &amp; fix the “I️” big issue because to programmers who don’t work for you- it’s aggravating &amp; insulting.,ios_software_update,ios_software_update,@AppleSupport Didn’t work. Fix the issue,@502694 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,0.14407724120012755,0.93,0.5,intent alignment without specific issue keywords,[],False,False,0.544,0.3938620137420364,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
all the pictures on my phone magically deleted. what the fuck @115858,apple_id_icloud,apple_id_icloud,IMA BEAT UR FUCKING ASS BRO @115858 @AppleSupport ALL MY FUCKING PICTURES JUST GOT DELETED WHAT THE FUCK HOW DO I GET THEM BSCK OMG,@498633 We know your photos are important. We have a team of Photos specialists who can help by phone. Go to: https://t.co/IBIY3vMgPj,0.27779278297429044,0.75,0.5,intent alignment without specific issue keywords,[],False,False,0.5444,0.4199845915901329,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
@115858 stop waiting around &amp; fix the “I️” big issue because to programmers who don’t work for you- it’s aggravating &amp; insulting.,ios_software_update,ios_software_update,"I️ paid enough for this POS @115858, fix the bug yourself. Take your “work-around” and shove it.","@262364 Please do a backup of your device. Here, are the steps: https://t.co/tHicJHB57O Once that is complete, please feel free to go to Settings &gt; General &gt; Software Updates, and update your iOS software to 11.1.1. DM if we can be any further assistance. https://t.co/GDrqU22YpT",0.11746026467630151,1.0,0.5,intent alignment without specific issue keywords,[],False,False,0.5444,0.3959228409909483,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
@643972 @643973 @119459 @119460 @13100 @115858 La guinda! Me ha desaparecido la hora de la pantalla bloqueada! #IOS @115858 @AppleSupport https://t.co/hd53g1kSAA,screen_display,ios_software_update,"@AppleSupport con la ultima actualización de iOS he detectado muchos fallos con el funcionamiento de mi iPhone. Fallos en la pantalla,etc",@410448 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3w3RGR or join https://t.co/OczyRxpjG0,0.22206323015349883,0.75,0.5,intent alignment without specific issue keywords,[],False,False,0.5455,0.40342634842697067,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
@643972 @643973 @119459 @119460 @13100 @115858 La guinda! Me ha desaparecido la hora de la pantalla bloqueada! #IOS @115858 @AppleSupport https://t.co/hd53g1kSAA,screen_display,ios_software_update,¿Tienes iPhone 6S y al instalar IOS 11.0.3 la batería aguanta la mitad o menos? Pues eso me ha pasado... llevo 2 días... HELP @115858,@422762 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,0.22372080972495662,0.75,0.5,intent alignment without specific issue keywords,[],False,False,0.5459,0.4041135677758368,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
"Bought the new @34587 album on @118721 , songs were out of order. Deleted and re-downloaded now 2 songs are missing. #help @115858",apple_music_itunes,apple_music_itunes,@AppleSupport how do I fix my songs being out of order and an album? https://t.co/PwqhixFAts,@206973 We'd like to help. Are these songs purchased from iTunes or downloaded from Apple Music? Let us know via DM to get started. https://t.co/GDrqU22YpT,0.22357041494145216,0.75,0.5,intent alignment without specific issue keywords,[],False,False,0.5459,0.4040675469720844,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
@115858 stop waiting around &amp; fix the “I️” big issue because to programmers who don’t work for you- it’s aggravating &amp; insulting.,ios_software_update,ios_software_update,@AppleSupport @723513 How about you stop insulting everyone’s intelligence by trying to act like this is a user/usage issue &amp; acknowledge iOS 11 is a giant turd that doesn’t work? Just a thought,@723513 Let's update to 11.1.2 and see if the issue persists. This article can help with how to first back up your iPhone and then update: https://t.co/6p9Tcj51N4,0.12358309376110535,1.0,0.5,intent alignment without specific issue keywords,[],False,False,0.5459,0.3984714266908983,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
@115858 stop waiting around &amp; fix the “I️” big issue because to programmers who don’t work for you- it’s aggravating &amp; insulting.,ios_software_update,ios_software_update,Hey @115858 I'm waiting for you to fix this heinous UX bug https://t.co/Iu8Y9pJU93,"@292477  That is a feature in iOS 11. Wi-Fi and Bluetooth disconnect from the network or device but don't turn off.
https://t.co/G7BHuQnDS6",0.15327364364475793,0.93,0.5,intent alignment without specific issue keywords,[],False,False,0.5463,0.400736734955296,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
