case_id,tweet_id,customer_message,system_intent,system_decision,system_escalation_reason,system_reply,evidence_text,judge_provider,judge_model,judge_success,judge_status,judge_error,correctness_score,correctness_reason,groundedness_score,groundedness_reason,relevance_score,relevance_reason,completeness_score,completeness_reason,tone_score,tone_reason,unsupported_claims_score,unsupported_claims_reason,unsupported_claims_found,escalation_appropriateness_score,escalation_appropriateness_reason,overall_score,overall_reason
case_11,1123670,Is anyone else’s iPhone making a high pitched alarm noise? It sounds like a smoke detector but from the speaker of my phone? @AppleSupport,audio_speaker,AUTO_HANDLE,,"Could you tell us whether the issue is with the speaker, microphone, or overall audio?","Customer: Historical case for audio_speaker
Response: @150201 We'd love to help with this. First, we need some details: does the speaker work when listening to music or watching a video? What about while using speakerphone? Let us know more in DM, including which version of the operating system, and we'll get started. https://t.co/GDrqU22YpT",groq,openai/gpt-oss-20b,True,success,,4.0,"The reply appropriately asks for clarification about the audio issue, which is a valid diagnostic step for the reported high‑pitched noise.",2.0,"The response is not directly supported by the provided evidence, which only requested speaker functionality details, not microphone or overall audio.",4.0,"The question is relevant to diagnosing the high‑pitched noise, though it does not directly address the specific symptom.",2.0,"The reply only asks a question and provides no guidance or next steps, leaving the issue unresolved.",5.0,"The reply is polite, concise, and professional.",5.0,No unsupported claims or instructions are present.,False,5.0,A diagnostic question is appropriate for an auto‑handle scenario.,3.67,"The reply is partially correct and relevant but lacks grounding and completeness, resulting in an overall moderate score."
case_12,188375,@AppleSupport I have not touched my phone to summon Siri nor anybody spoke hey Siri around.,other_unclear,AUTO_HANDLE,,"Based on a similar Apple Support case, Great question! Check out this article to help with using ""Hey Siri"" on your iPhone X: If you have any further questions, feel free to reach out to us and we'll be happy to help!","Customer: Historical case for other_unclear
Response: @467963 Let's check out the steps here: https://t.co/xOrdgHyyiA under 'If Hey Siri doesn't work'. Let us know how it goes.",groq,openai/gpt-oss-20b,True,success,,4.0,"The reply suggests checking an article about ""Hey Siri"", which is a correct approach to the issue of accidental activation. However, it does not provide specific troubleshooting steps, so it is only partially complete.",3.0,"The reply references a similar Apple Support case, which is supported by the evidence. However, it claims an article for iPhone X and does not provide the exact link from the evidence, so some claims are not directly supported.",5.0,The response directly addresses the customer’s problem of Siri activating without being summoned.,3.0,"The reply only points to an article and does not give detailed steps or troubleshooting guidance, making it incomplete.",5.0,"The reply is polite, professional, and concise, fitting official Apple support style.",3.0,"The reply includes a claim about an iPhone X article that is not present in the evidence, which is an unsupported claim.",True,5.0,Auto handling is appropriate for this routine issue; no escalation is needed.,3.83,"The response is generally correct and relevant, but lacks completeness and contains one unsupported claim, resulting in an overall score of 4.0."
case_13,2261521,"@116333 @AppleSupport @144811 Every time I️ connect my phone via USB this song starts, this is getting really old! Why can’t iOS remember what I was listening to last and start there? Any car, any iPhone, any iOS, Please fix this, it’s killing me! https://t.co/yxtLKBdYpn",apple_music_itunes,AUTO_HANDLE,,"Based on a similar Apple Support case, We’re investigating and will update our System Status page as more info becomes available:","Customer: Historical case for apple_music_itunes
Response: @258640 We'd love to help you with making a backup. So that we're sure to be on the right path, please tell us which device you're trying to back up, and which iOS version is installed on it currently. Also, is this device connected via Wi-Fi, or via USB?",groq,openai/gpt-oss-20b,True,success,,1.0,The reply does not address the customer’s issue of music playback starting automatically when connecting via USB.,1.0,"The reply references a similar Apple Support case, but the provided evidence is about backing up a device, not about music playback. No evidence supports the claim that the system is investigating this specific issue.",1.0,The response is unrelated to the customer’s problem and provides no actionable guidance.,1.0,"The reply offers no steps, clarification, or solution, leaving the customer without assistance.",2.0,"The reply is concise and polite but lacks helpfulness, making it only partially appropriate.",1.0,"The reply contains claims not supported by the evidence: ""Based on a similar Apple Support case"" and ""We’re investigating and will update our System Status page as more info becomes available.""",True,1.0,The response is insufficient for an auto-handle scenario; escalation or more detailed assistance would be appropriate.,1.17,"The reply fails to address the issue, lacks grounding, relevance, and completeness, and contains unsupported claims, resulting in a low overall score."
case_14,1216323,@AppleSupport It pops up every time I look at my phone after I come out of the subway. Global setting? I just installed iOS and haven’t looked at new features yet but I wish default wasn’t to bother me repeatedly,ios_update,AUTO_HANDLE,,"Based on a similar Apple Support case, We are here to help. Let's try the steps listed in this article.","Customer: Historical case for ios_update
Response: @482983 We are here to help. Let's try the steps listed in this article. https://t.co/xU1AGHStV6",groq,openai/gpt-oss-20b,True,success,,2.0,The reply does not address the specific pop‑up issue after coming out of the subway; it only references a generic article.,4.0,"The reply is based on the historical evidence and references the same article, but it omits the link and specific steps, so it is partially grounded.",2.0,"The response does not mention the subway pop‑up or the customer’s specific concern, making it largely irrelevant.",2.0,"It lacks the link to the article and any concrete steps, so it is incomplete.",5.0,"The reply is professional, polite, and concise.",5.0,All claims are supported by the evidence; no unsupported claims are present.,False,5.0,The issue is routine and can be handled automatically; escalation is unnecessary.,3.33,"The reply is partially grounded but lacks relevance, completeness, and specific guidance, resulting in an overall moderate score."
case_15,1027597,"So @115858 when are yall gunna fix this update, because if my phone freezes for 2 mins while im in traffic ONE MORE TIME !!!!!!",device_hardware,AUTO_HANDLE,,"Could you provide more details about the hardware issue, including what happens when you use the device?","Customer: Historical case for device_hardware
Response: @564630 We'd like to see how we can help. Let us know which iOS version you're on and we'll go from there.",groq,openai/gpt-oss-20b,True,success,,1.0,"The reply does not address the customer’s complaint about the phone freezing for two minutes after an update, nor does it offer any solution or relevant guidance.",1.0,"The response is not supported by the provided historical evidence, which suggests asking for the iOS version, not a generic hardware detail request.",2.0,"While the reply touches on a hardware issue, it fails to directly address the specific freeze problem or the update context mentioned by the customer.",1.0,"The reply offers only a single, vague request for more details and provides no actionable steps or clarification.",4.0,"The tone is polite, concise, and professional, appropriate for Apple support.",1.0,"The reply includes an instruction to provide hardware details that is not supported by the evidence, constituting an unsupported claim.",True,5.0,"Given the AUTO_HANDLE decision, a diagnostic question is an acceptable approach and does not warrant escalation.",1.67,"The response is largely unhelpful and unsupported by evidence, resulting in a low overall score."
case_16,1340829,@AppleSupport secured #iPhoneX at launch but ONLY w/a select carrier. Yet was told by Apple #Retail I could buy SIM-free like iPhone8. How? https://t.co/l4TpVlz0dE,calls_cellular,AUTO_HANDLE,,"Could you tell us whether the issue is with making calls, cellular data, or getting a signal?","Customer: Historical case for calls_cellular
Response: @481404 Great question. What country are you in? Meet up with us in a DM, we'll continue there. https://t.co/GDrqU22YpT",groq,openai/gpt-oss-20b,True,success,,1.0,The reply does not address the customer's request to purchase a SIM‑free iPhone X; it asks about call/data/signal issues instead.,1.0,No historical evidence was provided to support the reply; it is not grounded in any prior case.,1.0,The response is unrelated to the customer's question about buying a SIM‑free iPhone X.,1.0,"The reply offers no guidance or solution, merely a diagnostic question.",4.0,"The reply is polite, concise, and professional.",5.0,The reply contains no unsupported claims; it only asks a question.,False,2.0,"Auto‑handle was chosen, but the reply fails to address the issue, so escalation would be more appropriate.",2.17,"The response is largely irrelevant and unsupported, with only the tone being acceptable; overall performance is poor."
case_17,2562363,@115858 when are you going to fix this bug because am getting really annoyed. About to leave apple and return to droid.,app_problems,AUTO_HANDLE,,"Based on a similar Apple Support case, We want to help. Use the link below to reach out via DM. Let us know if this happens when you receive notifications for other apps or just this one. We'll also want to verify the version of iOS you currently have installed.","Customer: Historical case for app_problems
Response: @679751 We want to help. Use the link below to reach out via DM. Let us know if this happens when you receive notifications for other apps or just this one. We'll also want to verify the version of iOS you currently have installed. https://t.co/GDrqU22YpT",groq,openai/gpt-oss-20b,True,success,,2.0,The reply does not address the customer’s request for a timeline on bug fixes or provide any solution to the reported issue. It only offers generic troubleshooting steps.,4.0,"The reply is largely based on the supplied historical evidence, repeating the same content. The only deviation is the omission of the link, which does not introduce unsupported claims.",2.0,"While the reply references troubleshooting steps, it does not directly respond to the customer’s frustration or question about fixing the bug.",2.0,"The reply omits the link and fails to provide any actionable next steps or timeline, leaving the customer without a clear path forward.",4.0,"The response is polite, professional, and concise, consistent with Apple Support style.",5.0,All statements are supported by the historical evidence; no unsupported claims are present.,False,5.0,The issue is a general app bug that can be handled automatically; escalation is not necessary.,3.17,"The reply is grounded in evidence but fails to address the customer’s specific request for a fix timeline, resulting in low correctness, relevance, and completeness. The tone is appropriate and no unsupported claims are present."
case_18,1338119,@AppleSupport I think I found the answer: I can't pre-order iPhone X SIM-free at this time. I'm not sure when Apple will allow it. Thanks tho https://t.co/SICYUgzEPL,calls_cellular,AUTO_HANDLE,,You're welcome! Glad to hear that helped. Let us know if you need anything else.,"Customer: Historical case for calls_cellular
Response: @141075 Thanks for reaching out. You may need to try another appropriately sized  SIM card. Your carrier may be able to help. Check out this article for more details: 

https://t.co/Mhw9pFAK08",groq,openai/gpt-oss-20b,True,success,,2.0,The reply does not address the customer’s statement that they found the answer about pre‑ordering the iPhone X SIM‑free; it merely offers a generic acknowledgement.,1.0,No evidence was cited or used to support the reply; it contains no claims grounded in the provided historical evidence.,2.0,"The reply is somewhat relevant as a polite response, but it fails to address the specific issue raised by the customer.",1.0,The reply offers no additional guidance or clarification beyond a generic thank‑you.,5.0,"The reply is professional, polite, and concise, matching Apple Support tone guidelines.",5.0,"The reply contains no unsupported claims, promises, or facts beyond the generic acknowledgement.",False,2.0,"The reply is auto‑handled but does not adequately address the customer’s issue, making it less appropriate than a more helpful response.",2.67,"The response is polite but lacks relevance, completeness, and grounding, resulting in a low overall effectiveness."
case_19,215819,@167325 @AppleSupport It’s the worst....wish I could downgrade 😂,ios_update,AUTO_HANDLE,,"Could you tell us what is happening with the iOS update, such as downloading, installing, or failing?","Customer: Historical case for ios_update
Response: @606530 We can help. Check out this article on the Accessibility feature called Reachability: https://t.co/MWyrI4JKD1

Let us know if you need any further assistance.",groq,openai/gpt-oss-20b,True,success,,1.0,"The reply does not address the customer's request to downgrade iOS, instead asking about update status.",1.0,The question about update status is not supported by any provided evidence.,1.0,The response is unrelated to the customer's expressed desire to downgrade.,1.0,No guidance or clarification about downgrading is provided.,4.0,"The reply is polite and concise, but lacks helpful content.",1.0,The reply contains an unsupported claim: asking about iOS update status without evidence.,True,2.0,"Auto-handle is inappropriate; the issue involves a feature (downgrading) that Apple support cannot provide, so escalation or a proper response is needed.",1.5,"The reply fails to address the customer's intent, lacks grounding, relevance, and completeness, though it maintains a polite tone. The escalation decision is also inappropriate."
case_20,40519,@AppleSupport hi so I got an email my account was locked. But I’m pretty sure it was a fake.,apple_id_icloud,ESCALATE,account_security,This may involve account security or sensitive information. Please contact official Apple Support directly so a specialist can assist you.,"Customer: Historical case for apple_id_icloud
Response: @271163 Thanks for reaching out. This email is not from us. You can learn more about these and other suspicious messages here: https://t.co/LNMCdqt6fD",groq,openai/gpt-oss-20b,True,success,,2.0,"The reply does not directly address the customer’s claim that the email is fake; it only suggests contacting Apple Support, which is incomplete.",1.0,No evidence was cited or used to support the reply; it does not reference the provided historical evidence.,1.0,The reply does not specifically address the customer’s concern about a potentially fake email.,1.0,The reply omits key guidance such as confirming the email is not from Apple and providing a link to Apple’s phishing information.,5.0,"The reply is professional, polite, and concise.",5.0,No claims or instructions are made that are unsupported by the evidence.,False,5.0,"The reply appropriately directs the customer to contact official Apple Support, aligning with the escalation decision.",2.5,"The response is partially correct but lacks evidence-based guidance, relevance, and completeness, resulting in a moderate overall score."
case_21,1924839,Is anybody looking into the mail and messages apps syncing issues with @133941 accounts or are we doomed? @115858,app_problems,AUTO_HANDLE,,Could you tell us which app is affected and what happens when you try to use it?,,groq,openai/gpt-oss-20b,True,success,,2.0,The reply does not address the customer’s concern about whether Apple is investigating mail and messages sync issues; it merely asks for more information.,5.0,"The reply contains no claims or instructions beyond a generic diagnostic question, which is fully supported by the lack of evidence.",3.0,"The question is somewhat relevant as it seeks details about the issue, but it does not directly respond to the customer’s request for reassurance.",2.0,"The reply offers only a single diagnostic question and no guidance or next steps, leaving the customer without actionable information.",5.0,"The response is polite, concise, and professional.",5.0,No unsupported claims are present.,False,5.0,A diagnostic question is appropriate for an auto‑handle scenario.,3.67,"The reply is polite and grounded but lacks direct relevance and completeness, resulting in an overall moderate score."
case_22,2237309,"@AppleSupport Well, hum, after a day with the latest version, there is not much progress. Unplugged the phone at 9 AM, it is now 4:30 PM https://t.co/YpURUCwaQZ",battery_charging,AUTO_HANDLE,,"Based on a similar Apple Support case, We'd love to partner together and get to the bottom of what you're experiencing on your iPhone. Which iOS version is installed? You'll find that in Settings &gt; General &gt; About.","Customer: Historical case for battery_charging
Response: We'd love to partner together and get to the bottom of what you're experiencing on your iPhone. Which iOS version is installed? You'll find that in Settings &gt; General &gt; About.",groq,openai/gpt-oss-20b,False,provider_rate_limit,GROQ rate limit (HTTP 429) exceeded after 3 attempts.,,GROQ rate limit (HTTP 429) exceeded after 3 attempts.,,GROQ rate limit (HTTP 429) exceeded after 3 attempts.,,GROQ rate limit (HTTP 429) exceeded after 3 attempts.,,GROQ rate limit (HTTP 429) exceeded after 3 attempts.,,GROQ rate limit (HTTP 429) exceeded after 3 attempts.,,GROQ rate limit (HTTP 429) exceeded after 3 attempts.,False,,GROQ rate limit (HTTP 429) exceeded after 3 attempts.,,GROQ rate limit (HTTP 429) exceeded after 3 attempts.
case_23,1861583,@115858 what should I do now that your shitty headphones broke in my phone ? https://t.co/iF0pvfveRp,audio_speaker,AUTO_HANDLE,,"Based on a similar Apple Support case, We want to help. Let's force re-start it. This article explains how:","Customer: Historical case for audio_speaker
Response: @821249 We're happy to help. Let's take a look at this further for you. Reach out to us in DM. https://t.co/GDrqU22YpT",groq,openai/gpt-oss-20b,False,provider_rate_limit,GROQ rate limit (HTTP 429) exceeded after 3 attempts.,,GROQ rate limit (HTTP 429) exceeded after 3 attempts.,,GROQ rate limit (HTTP 429) exceeded after 3 attempts.,,GROQ rate limit (HTTP 429) exceeded after 3 attempts.,,GROQ rate limit (HTTP 429) exceeded after 3 attempts.,,GROQ rate limit (HTTP 429) exceeded after 3 attempts.,,GROQ rate limit (HTTP 429) exceeded after 3 attempts.,False,,GROQ rate limit (HTTP 429) exceeded after 3 attempts.,,GROQ rate limit (HTTP 429) exceeded after 3 attempts.
case_24,1202042,@115858 can u plz help me my phone keep saying it has headphones in but there’s no headphones in!!!!,audio_speaker,AUTO_HANDLE,,"Based on a similar Apple Support case, We're here to help. We have steps to resolve this. Check out this article and let us know if it works.","Customer: Historical case for audio_speaker
Response: We're here to help. We have steps to resolve this. Check out this article and let us know if it works.",groq,openai/gpt-oss-20b,False,provider_rate_limit,GROQ rate limit (HTTP 429) exceeded after 3 attempts.,,GROQ rate limit (HTTP 429) exceeded after 3 attempts.,,GROQ rate limit (HTTP 429) exceeded after 3 attempts.,,GROQ rate limit (HTTP 429) exceeded after 3 attempts.,,GROQ rate limit (HTTP 429) exceeded after 3 attempts.,,GROQ rate limit (HTTP 429) exceeded after 3 attempts.,,GROQ rate limit (HTTP 429) exceeded after 3 attempts.,False,,GROQ rate limit (HTTP 429) exceeded after 3 attempts.,,GROQ rate limit (HTTP 429) exceeded after 3 attempts.
case_25,2519374,@717638 @115858 My phone doesn't even ring anymore. It just pops up that I've missed a call,calls_cellular,AUTO_HANDLE,,"To narrow this down, Okay. Let's work together to get that resolved. Have you tried to clear your call list completely?",,groq,openai/gpt-oss-20b,False,provider_rate_limit,GROQ rate limit (HTTP 429) exceeded after 3 attempts.,,GROQ rate limit (HTTP 429) exceeded after 3 attempts.,,GROQ rate limit (HTTP 429) exceeded after 3 attempts.,,GROQ rate limit (HTTP 429) exceeded after 3 attempts.,,GROQ rate limit (HTTP 429) exceeded after 3 attempts.,,GROQ rate limit (HTTP 429) exceeded after 3 attempts.,,GROQ rate limit (HTTP 429) exceeded after 3 attempts.,False,,GROQ rate limit (HTTP 429) exceeded after 3 attempts.,,GROQ rate limit (HTTP 429) exceeded after 3 attempts.
case_26,1925111,@AppleSupport why do you keep taking my money!!!! Apple hold keeps taking $1 every other week from me!!!!!!,other_unclear,AUTO_HANDLE,,"Based on a similar Apple Support case, Here’s what you can do to work around the issue until it’s fixed in a future software update:","Customer: Historical case for other_unclear
Response: Here’s what you can do to work around the issue until it’s fixed in a future software update:",groq,openai/gpt-oss-20b,True,success,,1.0,"The reply does not explain why the $1 charges occur or how to stop them, so it fails to address the customer’s problem.",5.0,"The reply directly mirrors the historical evidence, which states ""Here’s what you can do to work around the issue until it’s fixed in a future software update."" No additional claims are made.",1.0,"The response does not provide any guidance related to the recurring $1 charges, making it irrelevant to the customer’s request.",1.0,"The reply offers no actionable steps or details, leaving the customer without any useful information.",3.0,"The tone is neutral and polite, but the lack of helpful content reduces its overall effectiveness.",5.0,The reply contains no claims or instructions that are unsupported by the evidence.,False,2.0,"Given the incomplete and unhelpful nature of the reply, an automatic handling decision is inappropriate; escalation would be more suitable.",2.67,"The response is largely unhelpful, lacking actionable guidance, and does not resolve the customer’s issue, resulting in a low overall score."
