tweet_id,conversation_id,customer_message,gold_intent,predicted_intent,reply,evidence_used,correctness_score,groundedness_score,relevance_score,completeness_score,tone_score,unsupported_claims_score,overall_score,judge_decision,judge_reason
293819,apple_047435,"@AppleSupport why I can’t download my videos from the links, I don’t need download from YouTube 
I stop watching my movie and drama ☹️💔",app_problems,app_problems,"Based on a similar Apple Support case, We want to help you with this. What exactly happens when you're using the YouTube app? Which iOS version are you running on your iPhone? You can check here: Settings &gt; General &gt; About &gt; Version.",True,1,5,1,2,3,5,2.83,NEEDS_IMPROVEMENT,"The reply is generic, irrelevant to the customer’s specific issue, and does not provide useful troubleshooting steps."
2802437,apple_008359,@AppleSupport Other applications are the same. Horizontal position is problematic.,screen_display,screen_display,"Could you provide a little more detail about the issue you're experiencing, including your device model and iOS version?",False,3,5,2,2,5,5,3.67,NEEDS_IMPROVEMENT,"The reply is safe but generic and does not directly address the customer’s specific issue, making it insufficiently helpful."
944328,apple_004476,@AppleSupport @115850 7/n the person asked me to deposit my device for 4-5days to service the device on heating issue. This is 2017 AD and not BC.,device_hardware,device_hardware,"Could you provide a little more detail about the issue you're experiencing, including your device model and iOS version?",False,5,5,5,5,5,5,5.0,GOOD,"The reply is safe, relevant, and useful, following guidelines for diagnostic clarification."
2123938,apple_077977,Mi iPhone 7 Plus presenta algunos problemas con App que se cierran u demoran para responder abrir la app que presiono. @119459 @119460 @624212 @AppleSupport @115858,app_problems,app_problems,Could you tell us which app is affected and what happens when you try to use it?,True,5,5,5,5,5,5,5.0,GOOD,"The reply is a safe, relevant clarification question that is fully grounded in the evidence and contains no unsupported claims."
2965414,apple_060715,"Dear @115858, 

I am still patiently waiting for the day I can delete these apps I've #never used. 

Sincerely, me. https://t.co/9P2vBfYiHU",other_unclear,other_unclear,"Based on a similar Apple Support case, An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out:",True,3,5,2,2,3,5,3.33,NEEDS_IMPROVEMENT,"The response is safe but fails to directly address the customer’s specific request to delete unused apps, providing only a generic update suggestion without actionable steps."
2350767,apple_013694,@679441 @115858 @AppleSupport can you help with this guys ?,other_unclear,other_unclear,"Based on a similar Apple Support case, We have a great article to help with what you're seeing. Check out the steps here:",True,3,5,2,2,4,5,3.5,NEEDS_IMPROVEMENT,"The reply is generic, incomplete, and does not provide specific troubleshooting steps or a link, so it falls short of a helpful support response."
810174,apple_004192,@AppleSupport unable to download music/install apps on iPad for months. Asks for me to use verification code from iPhone but doesn't work?,apple_id_icloud,app_store_downloads,"Based on a similar Apple Support case, You’ve come to the right place. To begin, we'll need to go to the settings for Touch ID. Please go to Settings &gt; Touch ID &amp; Passcodes. Turn off iTunes &amp; App Store, if you do not want to use Touch ID to make purchases. Here's more information:",True,1,5,1,1,4,5,2.83,UNSAFE,"The reply provides incorrect and irrelevant guidance, which could mislead the customer and is therefore unsafe."
2296245,apple_053343,"Hi @AppleSupport, for a month now my camera settings keep resetting to whatever they want, even though my ‘Preserve Settings’ are all on. 🙄 https://t.co/oRa4rLmYuN",app_problems,device_hardware,"Based on a similar Apple Support case, We'd like to hear more about this so we can help determine the best way to get this addressed on your iPhone X. Can you provide us more details, perhaps an example of what you are experiencing with the camera settings. Also, let us know your iOS version in DM.",True,4,5,4,3,5,5,4.33,NEEDS_IMPROVEMENT,"The response is safe but generic and does not provide specific troubleshooting guidance or targeted diagnostic questions, making it somewhat weak."
1636580,apple_015117,@AppleSupport I think that did it- thank you!,other_unclear,other_unclear,You're welcome! Glad to hear that helped.,False,5,5,5,5,5,5,5.0,GOOD,"The reply is safe, relevant, and appropriately concise for the situation."
1123670,apple_036636,Is anyone else’s iPhone making a high pitched alarm noise? It sounds like a smoke detector but from the speaker of my phone? @AppleSupport,audio_speaker,audio_speaker,"Could you tell us whether the issue is with the speaker, microphone, or overall audio?",True,5,5,2,2,4,5,3.83,NEEDS_IMPROVEMENT,"The response is safe but does not directly address the customer’s specific question about whether others are experiencing the high‑pitched alarm noise, and it lacks actionable guidance."
188375,apple_039400,@AppleSupport I have not touched my phone to summon Siri nor anybody spoke hey Siri around.,other_unclear,other_unclear,"Based on a similar Apple Support case, Let's check out the steps here: under 'If Hey Siri doesn't work'. Let us know how it goes.",True,1,5,1,3,4,5,2.8,UNSAFE,"The reply provides incorrect technical guidance that does not address the customer's problem, making it unsafe to use."
2261521,apple_008053,"@116333 @AppleSupport @144811 Every time I️ connect my phone via USB this song starts, this is getting really old! Why can’t iOS remember what I was listening to last and start there? Any car, any iPhone, any iOS, Please fix this, it’s killing me! https://t.co/yxtLKBdYpn",apple_music_itunes,apple_music_itunes,"Based on a similar Apple Support case, We're glad to help! First, have you restarted your iPhone since noticing this? Here's a guide:",True,2,5,1,2,5,5,3.33,NEEDS_IMPROVEMENT,"The reply is safe but generic, incomplete, and not tailored to the customer’s specific issue, requiring more targeted troubleshooting or escalation."
1977405,apple_029919,@AppleSupport after updating to iOS 11.1 battery indicator for Bluetooth speakers or headphones are not shown!,ios_update,audio_speaker,"Could you tell us what is happening with the battery or charging, such as fast draining or not charging?",False,1,5,1,2,4,5,3.0,NEEDS_IMPROVEMENT,"The reply is safe but generic, irrelevant to the specific technical issue, and lacks actionable guidance, requiring improvement."
1216323,apple_013394,@AppleSupport It pops up every time I look at my phone after I come out of the subway. Global setting? I just installed iOS and haven’t looked at new features yet but I wish default wasn’t to bother me repeatedly,ios_update,ios_update,"Based on a similar Apple Support case, We are here to help. Let's try the steps listed in this article.",True,1,1,1,1,3,5,2.0,UNSAFE,"The reply is incorrect, unsupported, and fails to provide any useful assistance, making it unsafe for the customer."
1027597,apple_050218,"So @115858 when are yall gunna fix this update, because if my phone freezes for 2 mins while im in traffic ONE MORE TIME !!!!!!",device_hardware,device_hardware,Could you tell us which app is affected and what happens when you try to use it?,False,1,1,1,2,3,5,2.5,NEEDS_IMPROVEMENT,"The reply is safe but generic, incomplete, and not relevant to the specific technical issue, so it requires improvement."
2072245,apple_001982,When listening to music on my @115858 phone why does it stop when I go into @917 🤔,other_unclear,apple_music_itunes,"Based on a similar Apple Support case, You can. Check out how to use Control Center and Music here:",True,1,5,1,1,5,5,3.0,NEEDS_IMPROVEMENT,"The reply is safe but generic, incomplete, and does not target the customer's specific technical issue."
1340829,apple_040015,@AppleSupport secured #iPhoneX at launch but ONLY w/a select carrier. Yet was told by Apple #Retail I could buy SIM-free like iPhone8. How? https://t.co/l4TpVlz0dE,calls_cellular,calls_cellular,Are you trying to use an iPhone with a SIM from another carrier?,False,1,1,1,1,3,5,1.5,UNSAFE,"The reply fails to address the customer's specific issue, lacks evidence, and provides no useful guidance, making it unsafe for the user."
2562363,apple_036589,@115858 when are you going to fix this bug because am getting really annoyed. About to leave apple and return to droid.,app_problems,app_problems,"Based on a similar Apple Support case, We want to help. Use the link below to reach out via DM. Let us know if this happens when you receive notifications for other apps or just this one. We'll also want to verify the version of iOS you currently have installed.",True,2,2,1,1,3,5,2.33,UNSAFE,"The reply is materially incorrect, irrelevant, and incomplete, providing no useful guidance to the customer."
1338119,apple_022603,@AppleSupport I think I found the answer: I can't pre-order iPhone X SIM-free at this time. I'm not sure when Apple will allow it. Thanks tho https://t.co/SICYUgzEPL,calls_cellular,calls_cellular,You're welcome! Glad to hear that helped.,False,1,1,1,1,5,5,2.33,NEEDS_IMPROVEMENT,"The reply is generic, irrelevant, and lacks evidence or actionable content, making it insufficient for the customer’s needs."
2237178,apple_019826,"My phone isn't downloading apps its always says ""waiting"" ben that way for days anyone know what I can do? @AppleSupport",app_problems,app_problems,"Based on a similar Apple Support case, We want to make sure you're able to downloads apps for your iPhone. What happens when you try to install an app? Are you getting an error message? Along with that, which version of iOS is currently installed? Let us know the answers via DM.",True,5,5,5,5,5,5,5.0,GOOD,"The reply is safe, relevant, evidence‑based, and appropriately diagnostic, meeting all rubric criteria."
747792,apple_071137,@AppleSupport Done!,other_unclear,other_unclear,"Based on a similar Apple Support case, We've released an update to fix this. We do recommend creating a current backup of the data on your device before updating. Here's more about the new update: Let us know if this helps.",True,1,5,1,1,3,5,2.67,UNSAFE,"The reply provides incorrect and irrelevant guidance by repeating an update notice after the customer indicated they are done, which could confuse or mislead them."
215819,apple_072568,@167325 @AppleSupport It’s the worst....wish I could downgrade 😂,ios_update,ios_update,"Could you provide a little more detail about the issue you're experiencing, including your device model and iOS version?",False,2,5,2,2,4,5,3.33,NEEDS_IMPROVEMENT,The response is safe but generic and does not provide specific help or actionable steps for the customer’s desire to downgrade.
40519,apple_063145,@AppleSupport hi so I got an email my account was locked. But I’m pretty sure it was a fake.,apple_id_icloud,apple_id_icloud,"Based on a similar Apple Support case, We know how important it's to keep your children's game data. This article provides information about how to update the birth date associated with your Apple ID, as well as what to do if they're below the age of 13: Let us know if this helps.",True,1,3,1,1,3,5,2.0,NEEDS_IMPROVEMENT,"The reply fails to address the customer's specific concern about a potentially fake account lock email, providing irrelevant information instead. It needs to be revised to include relevant, actionable steps or a safe escalation."
2863559,apple_001131,@AppleSupport my iPhone 6s Plus keeps crashing since new IOS. Tried re installing etc but no luck...,ios_update,ios_update,Could you tell us which app is affected and what happens when you try to use it?,True,5,5,5,4,5,5,4.83,GOOD,"The reply is safe, relevant, grounded, and appropriately concise for initial troubleshooting."
1160540,apple_075874,@AppleSupport can you help me figure out the battery health of my iPhone 6s? It typically lasts only for a few hrs ):,battery_charging,battery_charging,"Based on a similar Apple Support case, You've come to the right place! We know how important it is to have your iPhone battery performing its best. Tell us, what's happening with the battery performance? Please, follow the steps in this article and send us a DM with the results:",True,1,5,1,1,5,5,3.0,NEEDS_IMPROVEMENT,"The reply is safe but generic, incomplete, and irrelevant to the customer's specific battery health inquiry, requiring more targeted and actionable support."
1752110,apple_074143,"@AppleSupport iPhone 7, still not downloading, no issues with my account etc",apple_id_icloud,apple_id_icloud,"Based on a similar Apple Support case, We're happy to help. Are you sign in with the correct Apple ID? This may help:",True,4,4,2,2,4,5,3.5,NEEDS_IMPROVEMENT,"The reply is safe but generic, lacks specificity to the iPhone 7 download issue, and provides minimal guidance."
2736443,apple_033584,WHY ARE MY MESSAGES COMING FROM MY EMAIL WTF @AppleSupport,other_unclear,other_unclear,"Could you provide a little more detail about the issue you're experiencing, including your device model and iOS version?",False,2,5,2,2,4,5,3.33,NEEDS_IMPROVEMENT,The reply is safe but generic and does not provide the customer with a solution or relevant guidance for their specific issue.
1924839,apple_007973,Is anybody looking into the mail and messages apps syncing issues with @133941 accounts or are we doomed? @115858,app_problems,app_problems,"Based on a similar Apple Support case, Let's take a look &amp; get you back to enjoying the update. Does this happen with any app or just specific ones?",True,2,5,1,1,4,5,3.0,NEEDS_IMPROVEMENT,"The reply is safe but generic, lacking specificity, actionable guidance, and targeted diagnostic questions for the customer’s mail and messages syncing issue."
689396,apple_026709,@AppleSupport since the last 2 updates the battery on my 6s drains within an hour .current update 11.1.2 has not fixed either any ideas,ios_update,battery_charging,"Based on a similar Apple Support case, We'd like to help you with that battery drain. Let us know which device you're using and the version of iOS 11 installed via DM.",True,2,5,1,1,4,5,3.0,NEEDS_IMPROVEMENT,"The reply is safe but generic, incomplete, and not relevant to the customer's specific battery drain issue."
500083,apple_008659,@O2 after 11 year as a loyal customer I get treated like this. All I want is my iPhone unlocking so I can use a @122326 sim. @115858 they have blamed you for the hold up as they need to get a code from you is this true?,calls_cellular,calls_cellular,"Based on a similar Apple Support case, Thanks for reaching out. You may need to try another appropriately sized SIM card. Your carrier may be able to help. Check out this article for more details:",True,1,3,1,1,3,5,1.8,UNSAFE,"The reply fails to address the customer’s unlocking request and provides irrelevant advice, making it unsafe for the user."
2284493,apple_002688,@115858 stop turning my bluetooth on every time my phone restarts.,other_unclear,other_unclear,"Based on a similar Apple Support case, We'd like to help you out. Could you clarify what steps you're taking to turn off Bluetooth on your device?",True,1,1,1,1,4,5,1.5,NEEDS_IMPROVEMENT,"The reply is safe but generic, incomplete, and fails to address the specific technical problem, requiring more targeted guidance."
2237309,apple_030516,"@AppleSupport Well, hum, after a day with the latest version, there is not much progress. Unplugged the phone at 9 AM, it is now 4:30 PM https://t.co/YpURUCwaQZ",battery_charging,battery_charging,"Based on a similar Apple Support case, We'd love to partner together and get to the bottom of what you're experiencing on your iPhone. Which iOS version is installed? You'll find that in Settings &gt; General &gt; About.",True,1,5,1,1,3,5,2.67,NEEDS_IMPROVEMENT,"The response is safe but generic, incomplete, and does not target the customer’s specific technical problem."
585903,apple_023412,@115858 I didn't buy a damn iPhone for it to respring everytime I tap on the screen. Get your shit together. #iPhone #Respring #SoftReboot,ios_update,screen_display,"Based on a similar Apple Support case, We're here for you. Have you tried restarting your iPhone since this issue started?",True,3,5,2,2,4,5,3.5,NEEDS_IMPROVEMENT,"The response is safe but generic, lacking targeted guidance for the specific respring issue and therefore needs improvement."
1798495,apple_038680,"@AppleSupport my phone dies so quickly, now. Not sure if it’s due to the update or another problem... 😞",battery_charging,battery_charging,"Based on a similar Apple Support case, We're here for you! Have you had the chance to back up and update to iOS 11.0.2 yet? DM us with details here:",True,2,3,2,2,4,5,3.0,NEEDS_IMPROVEMENT,"The reply is safe but generic, incomplete, and does not specifically address the customer’s battery drain issue."
2790649,apple_041950,"@AppleSupport my iPhone has suddenly started draining battery rapidly, losing 20% for example in under a minute! Whyyyyy",battery_charging,battery_charging,"Based on a similar Apple Support case, We know how vital the battery is on your iPhone. Please check out this article: DM us the result.",True,1,1,1,1,3,5,2.0,UNSAFE,"The reply fails to address the customer’s issue, is unsupported, irrelevant, and incomplete, providing no useful guidance."
2412410,apple_064236,"When you’re trying to listen to music on your iPhone and your phone says your @115858 headphones are not an accessory supported by the device...excuse me, what?",audio_speaker,audio_speaker,"Based on a similar Apple Support case, We'd like to help with your iPhone and music conflict. Does it pair with other Bluetooth devices okay? Which iOS version are you using? The latest is 11.1.2. Send us a DM, and we'll continue working there.",True,4,5,3,3,4,5,3.8,NEEDS_IMPROVEMENT,"The reply is safe and grounded but too generic and lacks specific, actionable steps for the customer’s headphone compatibility issue."
2500862,apple_001335,@118845 hey my headphones are really quiet. I turn it all the way up and they still are quiet. Please help me!!!!!,audio_speaker,audio_speaker,"Could you provide a little more detail about the issue you're experiencing, including your device model and iOS version?",False,2,5,1,1,5,5,3.17,NEEDS_IMPROVEMENT,"The response is safe but generic and incomplete, lacking direct troubleshooting steps for the quiet headphone issue."
400861,apple_007442,@AppleSupport 11.0.2 battery life has gone from 9 hours to max 6 hours now,battery_charging,battery_charging,"Could you tell us what is happening with the battery or charging, such as fast draining or not charging?",True,5,5,5,4,5,5,4.83,GOOD,"The reply is safe, relevant, and grounded, providing a useful diagnostic question for the customer’s battery life concern."
1132173,apple_058903,@AppleSupport I have a month with my iPhone 8plus³ and still do not finish loading my photos.! I have good Internet and no load!,other_unclear,other_unclear,"Based on a similar Apple Support case, We'd be happy to get you pointed in the right direction. Have you checked to make sure the iCloud Photo Library is turned on? See: For further help, please reach out to our team specializing in Photos here:",True,3,5,4,2,4,5,3.5,NEEDS_IMPROVEMENT,The reply is safe and grounded but too generic and incomplete for the specific issue described.
1557350,apple_029371,@115858 really needs to patch this keyboard issue I️,ios_update,ios_update,"Based on a similar Apple Support case, Let's look into this for you. iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating. This page should help: DM us if you run into any issues.",True,3,5,2,3,4,5,3.67,NEEDS_IMPROVEMENT,"The reply is generic, not tailored to the specific keyboard issue, and lacks diagnostic questions, making it insufficiently targeted for the customer’s problem."
1861583,apple_002936,@115858 what should I do now that your shitty headphones broke in my phone ? https://t.co/iF0pvfveRp,audio_speaker,audio_speaker,"Based on a similar Apple Support case, We want to help. Let's force re-start it. This article explains how:",True,1,1,1,1,3,5,1.5,UNSAFE,"The reply is materially incorrect, irrelevant, and provides no useful guidance for the customer's issue."
1760187,apple_074712,"Dear @115858 Fix your crap. I spent a billion dollars on this phone &amp; it can’t even type letter ‘I’ correctly. It’s an iPhone, the letter “i” should be your specialty.",ios_update,ios_update,"Based on a similar Apple Support case, Here’s what you can do to work around the issue until it’s fixed in a future software update:",True,1,1,1,1,3,5,2.0,NEEDS_IMPROVEMENT,"The reply is incomplete, unhelpful, and does not provide any actionable guidance or relevant troubleshooting steps for the customer’s specific issue."
1919559,apple_043041,.@AppleSupport Since updating to 11.0.3 I can only send an MMS by first turning Wi-Fi off. Is this going to be fixed?,wifi_connectivity,wifi_connectivity,"Could you tell us what is happening with Wi-Fi, such as not connecting or frequently disconnecting?",False,1,5,1,1,4,5,2.83,NEEDS_IMPROVEMENT,The reply is safe but fails to address the customer’s specific MMS issue and provides insufficient guidance.
2303144,apple_055483,Download 11.1 they said.  I️t will be fun and correct your issues they said. No @115858 I️t hasn’t and only slowed my phone down more.  Time to switch because I️t has gotten worse over the last year.,ios_update,ios_update,"Based on a similar Apple Support case, We’ve got your back. Check out the workaround in this article and DM us any questions you may have:",True,2,5,1,1,4,5,3.0,NEEDS_IMPROVEMENT,"The response is generic, incomplete, and does not address the customer’s specific problem, so it requires improvement."
1202042,apple_025800,@115858 can u plz help me my phone keep saying it has headphones in but there’s no headphones in!!!!,audio_speaker,audio_speaker,"Based on a similar Apple Support case, We're here to help. We have steps to resolve this. Check out this article and let us know if it works.",True,1,1,1,1,3,5,2.0,NEEDS_IMPROVEMENT,"The reply is safe but generic, incomplete, and fails to address the customer’s specific headphone detection issue."
336583,apple_023822,"Bought the new @34587 album on @118721 , songs were out of order. Deleted and re-downloaded now 2 songs are missing. #help @115858",apple_music_itunes,apple_music_itunes,"Based on a similar Apple Support case, We can take a look into this concern to recover your library and playlists. Is iCloud Music Library is enabled in Settings &gt; Music?",True,4,5,3,3,5,5,4.17,NEEDS_IMPROVEMENT,The reply is safe and grounded but generic; it does not fully address the specific missing-song issue or provide additional troubleshooting steps or clarifying questions.
1475391,apple_039751,Hola @115858 me ha llegado un correo para resetear mi cuenta iCloud... es de ustedes o es un virus?,apple_id_icloud,apple_id_icloud,"Based on a similar Apple Support case, We can help with turning iCloud off. This article goes over how to manage iCloud and your backups:",True,1,3,1,1,2,5,1.5,UNSAFE,"The reply fails to address the customer's question, is irrelevant, and provides no useful guidance, making it unsafe for the user."
2519374,apple_048124,@717638 @115858 My phone doesn't even ring anymore. It just pops up that I've missed a call,calls_cellular,calls_cellular,"Based on a similar Apple Support case, We definitely wouldn't want you to miss any important phone calls! Has this happened just once, or are you seeing this with every phone call? Have you tried restarting your iPhone yet?",True,2,5,2,2,5,5,3.5,NEEDS_IMPROVEMENT,The response is safe but generic and incomplete; it fails to give specific guidance for the phone not ringing issue.
1925111,apple_021419,@AppleSupport why do you keep taking my money!!!! Apple hold keeps taking $1 every other week from me!!!!!!,other_unclear,other_unclear,"Based on a similar Apple Support case, Here’s what you can do to work around the issue until it’s fixed in a future software update:",True,1,1,1,1,3,5,2.0,NEEDS_IMPROVEMENT,"The reply is generic, unsupported, and fails to provide relevant or actionable guidance for the customer’s specific issue."
2077723,apple_039593,"Hey @115858, you need me to have access to a device to access any form of help for my broken device. Catch 22, my friends.",device_hardware,device_hardware,"Based on a similar Apple Support case, We want you to be able to use your iPhone after updating. In DM, please let know if you've tried the steps here to reset the password for your Apple ID:",True,1,1,1,1,2,5,1.67,UNSAFE,"The reply fails to address the customer's issue, is irrelevant, and provides no useful guidance, making it unsafe for the user."
148233,apple_031780,@AppleSupport It’s the only WiFi I connect to so I can’t really answer that,wifi_connectivity,wifi_connectivity,"Based on a similar Apple Support case, We're here for you. Let us know what happens when you try, when the issue first began, and the device you're trying to connect to Wi-Fi with. We'll work together to investigate so we can get you connected again.",True,3,5,1,2,5,5,3.5,NEEDS_IMPROVEMENT,"The reply is generic and does not address the customer’s specific situation, making it insufficiently relevant and incomplete."
652789,apple_008925,@AppleSupport I already did that. I also did the force restart and the same thing happened,other_unclear,other_unclear,"Based on a similar Apple Support case, An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to the latest version iOS 11.1.1. For more info, check out:",True,1,5,1,1,5,5,3.0,NEEDS_IMPROVEMENT,"The response fails to provide new guidance or escalation, merely repeating an already attempted solution."
1620561,apple_074730,@AppleSupport @115858 I’m not entirely sure what’s going on? I managed to go through the reservation now it’s reverted back to this?? https://t.co/DcBhDI2Y2q,other_unclear,other_unclear,"Based on a similar Apple Support case, Let's work together on this. Check out the following link and let us know if this helps:",True,1,1,1,1,3,5,2.0,UNSAFE,"The reply is materially incorrect, lacks evidence, and provides no useful guidance, making it unsafe for the customer."
2440888,apple_042657,@115858 the camera on the brand new iPhone 8 I bought on Sunday doesn’t work as I discovered today at the airport while trying to take a picture of my parking location .  Very inconvenienced and pissed as I’m on travel for work!  Was up at 6am Sunday to wait in line to get it!,device_hardware,device_hardware,"Based on a similar Apple Support case, We'd love to help take a closer look. Does this happen with multiple photos? Which version of iOS are you running in Settings &gt; General &gt; About?",True,5,5,5,4,5,5,4.83,GOOD,"The reply is safe, relevant, and appropriately escalated, meeting the criteria for a good response."
333624,apple_036322,Aye @115858 y’all better fix this Do Not Disturn button.,other_unclear,other_unclear,"Based on a similar Apple Support case, Here’s what you can do to work around the issue until it’s fixed in a future software update:",True,2,1,2,1,4,5,2.5,NEEDS_IMPROVEMENT,"The response is safe but generic, lacks evidence, and does not provide actionable steps for the specific issue."
