evaluation_id,tweet_id,customer_message,generated_reply,evidence_used,human_correctness,llm_judge_correctness,human_groundedness,llm_judge_groundedness,human_relevance,llm_judge_relevance,human_completeness,llm_judge_completeness,human_tone,llm_judge_tone,human_unsupported_claims,llm_judge_unsupported_claims,status
eval_11,1651994,"@AppleSupport 2 weeks have passed and no update to fix the lag yet . Please allow old phones to revert back to iOS 10.3.3
#returntoiOS10.3.3","Could you tell us what is happening with the software update, such as downloading, installing, or failing?",True,,2,,5,,2,,2,,5,,5,AWAITING_HUMAN_ANNOTATION
eval_12,1804005,I wish @AppleSupport would let me download the previous iOS so that my phone can actually work normal again #SteveJobsWouldntAllowThis,"Could you tell us what is happening with the software update, such as downloading, installing, or failing?",True,,2,,5,,2,,2,,5,,5,AWAITING_HUMAN_ANNOTATION
eval_13,2802437,@AppleSupport Other applications are the same. Horizontal position is problematic.,"Could you provide a little more detail about the issue you're experiencing, including your device model and iOS version?",False,,3,,5,,2,,2,,5,,5,AWAITING_HUMAN_ANNOTATION
eval_14,2914628,@AppleSupport It’s saying can’t connect to iMessage server. Try again,"Based on a similar Apple Support case, We've checked out server status here, and everything looks good on our end. Send us a DM.",True,,5,,5,,5,,4,,5,,5,AWAITING_HUMAN_ANNOTATION
eval_15,2299407,@AppleSupport my son is being exposed to inappropriate ads in ad supported kid's games we download from the Apple Store. How can I prevent this?,Could you tell us whether the issue is with downloading or installing an app?,False,,1,,1,,1,,1,,3,,5,AWAITING_HUMAN_ANNOTATION
eval_16,1745514,Yo @AppleSupport what the hell is this box on my screen https://t.co/WcHl8uyBaT,"Could you tell us what is happening with the screen, such as a black display, touch issue, or flickering?",False,,5,,5,,5,,4,,5,,5,AWAITING_HUMAN_ANNOTATION
eval_17,1636580,@AppleSupport I think that did it- thank you!,You're welcome! Glad to hear that helped.,False,,5,,5,,5,,5,,5,,5,AWAITING_HUMAN_ANNOTATION
eval_18,2237178,"My phone isn't downloading apps its always says ""waiting"" ben that way for days anyone know what I can do? @AppleSupport","Based on a similar Apple Support case, We want to make sure you're able to downloads apps for your iPhone. What happens when you try to install an app? Are you getting an error message? Along with that, which version of iOS is currently installed? Let us know the answers via DM.",True,,5,,5,,5,,5,,5,,5,AWAITING_HUMAN_ANNOTATION
eval_19,747792,@AppleSupport Done!,"Based on a similar Apple Support case, We've released an update to fix this. We do recommend creating a current backup of the data on your device before updating. Here's more about the new update: Let us know if this helps.",True,,1,,5,,1,,1,,3,,5,AWAITING_HUMAN_ANNOTATION
eval_20,2296245,"Hi @AppleSupport, for a month now my camera settings keep resetting to whatever they want, even though my ‘Preserve Settings’ are all on. 🙄 https://t.co/oRa4rLmYuN","Based on a similar Apple Support case, We'd like to hear more about this so we can help determine the best way to get this addressed on your iPhone X. Can you provide us more details, perhaps an example of what you are experiencing with the camera settings. Also, let us know your iOS version in DM.",True,,4,,5,,4,,3,,5,,5,AWAITING_HUMAN_ANNOTATION
eval_21,944328,@AppleSupport @115850 7/n the person asked me to deposit my device for 4-5days to service the device on heating issue. This is 2017 AD and not BC.,"Could you provide a little more detail about the issue you're experiencing, including your device model and iOS version?",False,,5,,5,,5,,5,,5,,5,AWAITING_HUMAN_ANNOTATION
eval_22,1977405,@AppleSupport after updating to iOS 11.1 battery indicator for Bluetooth speakers or headphones are not shown!,"Could you tell us what is happening with the battery or charging, such as fast draining or not charging?",False,,1,,5,,1,,2,,4,,5,AWAITING_HUMAN_ANNOTATION
eval_23,585903,@115858 I didn't buy a damn iPhone for it to respring everytime I tap on the screen. Get your shit together. #iPhone #Respring #SoftReboot,"Based on a similar Apple Support case, We're here for you. Have you tried restarting your iPhone since this issue started?",True,,3,,5,,2,,2,,4,,5,AWAITING_HUMAN_ANNOTATION
eval_24,1583811,Hey @AppleSupport. When are you going to update the software so my iPhone doesn’t do this - I️ every time I try to type an I?,"Based on a similar Apple Support case, We'd like to help you with that update. Let us know which iPhone you're attempting to update via DM. We'll go from there.",True,,2,,4,,1,,2,,4,,4,AWAITING_HUMAN_ANNOTATION
eval_25,1773204,@AppleSupport @532936 Yeah that work around doesn’t work anymore!!,"Based on a similar Apple Support case, Here’s what you can do to work around the issue until it’s fixed in a future software update:",True,,1,,5,,1,,1,,3,,5,AWAITING_HUMAN_ANNOTATION
eval_26,2343831,Got my new Three SIM card yay... and now the sim drawer won’t open on my phone... so O2 still have me! @AppleSupport can you help me with this? Looks like the sim isn’t fitting in the slot preventing it from opening! Do I come to your store to get it sorted?,"Based on a similar Apple Support case, We'll help out. Let's start with the instructions here to try to resolve that No SIM message.",True,,1,,5,,1,,1,,4,,5,AWAITING_HUMAN_ANNOTATION
eval_27,1027597,"So @115858 when are yall gunna fix this update, because if my phone freezes for 2 mins while im in traffic ONE MORE TIME !!!!!!",Could you tell us which app is affected and what happens when you try to use it?,False,,1,,1,,1,,2,,3,,5,AWAITING_HUMAN_ANNOTATION
eval_28,2500862,@118845 hey my headphones are really quiet. I turn it all the way up and they still are quiet. Please help me!!!!!,"Could you provide a little more detail about the issue you're experiencing, including your device model and iOS version?",False,,2,,5,,1,,1,,5,,5,AWAITING_HUMAN_ANNOTATION
eval_29,1978681,"@115858 @applesupport There is no damn way, my storage is full. I barely have anything on my phone.","To narrow this down, Having the storage space you need is our goal. So we can get started looking into this, could you join us in DM and let us know which device you're seeing this with?",True,,2,,5,,2,,2,,3,,5,AWAITING_HUMAN_ANNOTATION
eval_30,152892,@AppleSupport (2) recall to be the thing that caused it. I also downloaded the Anomal Crossing app but i dont think that was it. After the video my phone's message app has been acting up and nothing seems to fix it. I have not tried with wifi yet as I dont have wifi today. Tomorrow I will.,"Based on a similar Apple Support case, We know updating is important, we're happy to help. To clarify, are you attempting to install the public beta or iOS 11.1.2? Also, are you using a home, business, or public Wi-Fi network?",True,,2,,4,,1,,2,,4,,5,AWAITING_HUMAN_ANNOTATION
eval_31,1861583,@115858 what should I do now that your shitty headphones broke in my phone ? https://t.co/iF0pvfveRp,"Based on a similar Apple Support case, We want to help. Let's force re-start it. This article explains how:",True,,1,,1,,1,,1,,3,,5,AWAITING_HUMAN_ANNOTATION
eval_32,2261521,"@116333 @AppleSupport @144811 Every time I️ connect my phone via USB this song starts, this is getting really old! Why can’t iOS remember what I was listening to last and start there? Any car, any iPhone, any iOS, Please fix this, it’s killing me! https://t.co/yxtLKBdYpn","Based on a similar Apple Support case, We're glad to help! First, have you restarted your iPhone since noticing this? Here's a guide:",True,,2,,5,,1,,2,,5,,5,AWAITING_HUMAN_ANNOTATION
eval_33,293819,"@AppleSupport why I can’t download my videos from the links, I don’t need download from YouTube 
I stop watching my movie and drama ☹️💔","Based on a similar Apple Support case, We want to help you with this. What exactly happens when you're using the YouTube app? Which iOS version are you running on your iPhone? You can check here: Settings &gt; General &gt; About &gt; Version.",True,,1,,5,,1,,2,,3,,5,AWAITING_HUMAN_ANNOTATION
eval_34,2958698,@AppleSupport I have restarted my phone and it is working now. Must be a bug?,You're welcome! Glad to hear that helped.,False,,2,,5,,1,,2,,5,,5,AWAITING_HUMAN_ANNOTATION
eval_35,1160540,@AppleSupport can you help me figure out the battery health of my iPhone 6s? It typically lasts only for a few hrs ):,"Based on a similar Apple Support case, You've come to the right place! We know how important it is to have your iPhone battery performing its best. Tell us, what's happening with the battery performance? Please, follow the steps in this article and send us a DM with the results:",True,,1,,5,,1,,1,,5,,5,AWAITING_HUMAN_ANNOTATION
eval_36,2837178,"@AppleSupport Hi, I have an issue where I have set my Calendar app on Mac to start week on Monday but it randomly changes to start week on Sunday and I have to keep changing it back, can you please advise a fix?","To narrow this down, We’d like to help with your Calendar app. When did this start? Which device are you using?",True,,5,,5,,5,,5,,5,,5,AWAITING_HUMAN_ANNOTATION
eval_37,1216323,@AppleSupport It pops up every time I look at my phone after I come out of the subway. Global setting? I just installed iOS and haven’t looked at new features yet but I wish default wasn’t to bother me repeatedly,"Based on a similar Apple Support case, We are here to help. Let's try the steps listed in this article.",True,,1,,1,,1,,1,,3,,5,AWAITING_HUMAN_ANNOTATION
eval_38,2593234,@AppleSupport I don’t understand why my phones keeps freezing EVERY 20 minutes and I’m not exaggerating 😕😕,Could you tell us which app is affected and what happens when you try to use it?,False,,4,,5,,2,,3,,5,,5,AWAITING_HUMAN_ANNOTATION
eval_39,500083,@O2 after 11 year as a loyal customer I get treated like this. All I want is my iPhone unlocking so I can use a @122326 sim. @115858 they have blamed you for the hold up as they need to get a code from you is this true?,"Based on a similar Apple Support case, Thanks for reaching out. You may need to try another appropriately sized SIM card. Your carrier may be able to help. Check out this article for more details:",True,,1,,3,,1,,1,,3,,5,AWAITING_HUMAN_ANNOTATION
eval_40,2350767,@679441 @115858 @AppleSupport can you help with this guys ?,"Based on a similar Apple Support case, We have a great article to help with what you're seeing. Check out the steps here:",True,,3,,5,,2,,2,,4,,5,AWAITING_HUMAN_ANNOTATION
eval_41,1123670,Is anyone else’s iPhone making a high pitched alarm noise? It sounds like a smoke detector but from the speaker of my phone? @AppleSupport,"Could you tell us whether the issue is with the speaker, microphone, or overall audio?",True,,5,,5,,2,,2,,4,,5,AWAITING_HUMAN_ANNOTATION
eval_42,689396,@AppleSupport since the last 2 updates the battery on my 6s drains within an hour .current update 11.1.2 has not fixed either any ideas,"Based on a similar Apple Support case, We'd like to help you with that battery drain. Let us know which device you're using and the version of iOS 11 installed via DM.",True,,2,,5,,1,,1,,4,,5,AWAITING_HUMAN_ANNOTATION
eval_43,1340829,@AppleSupport secured #iPhoneX at launch but ONLY w/a select carrier. Yet was told by Apple #Retail I could buy SIM-free like iPhone8. How? https://t.co/l4TpVlz0dE,Are you trying to use an iPhone with a SIM from another carrier?,False,,1,,1,,1,,1,,3,,5,AWAITING_HUMAN_ANNOTATION
eval_44,40519,@AppleSupport hi so I got an email my account was locked. But I’m pretty sure it was a fake.,"Based on a similar Apple Support case, We know how important it's to keep your children's game data. This article provides information about how to update the birth date associated with your Apple ID, as well as what to do if they're below the age of 13: Let us know if this helps.",True,,1,,3,,1,,1,,3,,5,AWAITING_HUMAN_ANNOTATION
eval_45,2863559,@AppleSupport my iPhone 6s Plus keeps crashing since new IOS. Tried re installing etc but no luck...,Could you tell us which app is affected and what happens when you try to use it?,True,,5,,5,,5,,4,,5,,5,AWAITING_HUMAN_ANNOTATION
eval_46,1795402,Hi @AppleSupport - why does my phone no longer charge since updating to #iOS11 ? Presume you will fund a new device for me?!,"Based on a similar Apple Support case, We can help with battery life. Do you know what version of the iOS is on the device? If not, you can check under Settings &gt; General &gt; About &gt; Version.",True,,2,,5,,2,,2,,4,,5,AWAITING_HUMAN_ANNOTATION
eval_47,188375,@AppleSupport I have not touched my phone to summon Siri nor anybody spoke hey Siri around.,"Based on a similar Apple Support case, Let's check out the steps here: under 'If Hey Siri doesn't work'. Let us know how it goes.",True,,1,,5,,1,,3,,4,,5,AWAITING_HUMAN_ANNOTATION
eval_48,810174,@AppleSupport unable to download music/install apps on iPad for months. Asks for me to use verification code from iPhone but doesn't work?,"Based on a similar Apple Support case, You’ve come to the right place. To begin, we'll need to go to the settings for Touch ID. Please go to Settings &gt; Touch ID &amp; Passcodes. Turn off iTunes &amp; App Store, if you do not want to use Touch ID to make purchases. Here's more information:",True,,1,,5,,1,,1,,4,,5,AWAITING_HUMAN_ANNOTATION
eval_49,400861,@AppleSupport 11.0.2 battery life has gone from 9 hours to max 6 hours now,"Could you tell us what is happening with the battery or charging, such as fast draining or not charging?",True,,5,,5,,5,,4,,5,,5,AWAITING_HUMAN_ANNOTATION
eval_50,2123938,Mi iPhone 7 Plus presenta algunos problemas con App que se cierran u demoran para responder abrir la app que presiono. @119459 @119460 @624212 @AppleSupport @115858,Could you tell us which app is affected and what happens when you try to use it?,True,,5,,5,,5,,5,,5,,5,AWAITING_HUMAN_ANNOTATION
