query_number,query_tweet_id,query_conversation_id,query_text,true_intent,predicted_intent,prediction_confidence,rank,similarity,historical_conversation_id,historical_intent,historical_customer,historical_response,automatic_relevance
3,2837178,apple_072786,"@AppleSupport Hi, I have an issue where I have set my Calendar app on Mac to start week on Monday but it randomly changes to start week on Sunday and I have to keep changing it back, can you please advise a fix?",app_problems,app_problems,0.19949343355020493,1,0.19344403900368612,apple_025172,app_problems,"@AppleSupport Hi, I have an iPhone 6","@525877 Thanks for those details. Have you had a chance to try to verify the apps on both cellular data, and Wi-Fi?",1
3,2837178,apple_072786,"@AppleSupport Hi, I have an issue where I have set my Calendar app on Mac to start week on Monday but it randomly changes to start week on Sunday and I have to keep changing it back, can you please advise a fix?",app_problems,app_problems,0.19949343355020493,2,0.18343380964311393,apple_012387,app_problems,@AppleSupport 11.1.   I had to start it back myself.,@502549 Are there any app updates available on the device?,1
3,2837178,apple_072786,"@AppleSupport Hi, I have an issue where I have set my Calendar app on Mac to start week on Monday but it randomly changes to start week on Sunday and I have to keep changing it back, can you please advise a fix?",app_problems,app_problems,0.19949343355020493,3,0.15617759839399914,apple_066009,app_problems,I I️ I️ @115858 @AppleSupport please advise ugh.,"@728197 Hi there. We recently released iOS 11.1.1 to address this issue. If you haven't updated yet, you can learn how here: https://t.co/80YRnjDFDk

If the issue persists, send us a DM so we can help there. https://t.co/GDrqU22YpT",1
3,2837178,apple_072786,"@AppleSupport Hi, I have an issue where I have set my Calendar app on Mac to start week on Monday but it randomly changes to start week on Sunday and I have to keep changing it back, can you please advise a fix?",app_problems,app_problems,0.19949343355020493,4,0.1552472584196648,apple_060629,app_problems,@AppleSupport why does autocorrect keep changing it to I.T !,"@686596 Let's see if we can find out. To start, which device and OS version do you have?",1
3,2837178,apple_072786,"@AppleSupport Hi, I have an issue where I have set my Calendar app on Mac to start week on Monday but it randomly changes to start week on Sunday and I have to keep changing it back, can you please advise a fix?",app_problems,app_problems,0.19949343355020493,5,0.14804234059126434,apple_057131,app_problems,@AppleSupport No.  Wouldn’t know where to start!,"@513092 Let's try a restart first: https://t.co/OWRDHWSt4h Also, do you have a recent backup?",1
4,2299407,apple_021948,@AppleSupport my son is being exposed to inappropriate ads in ad supported kid's games we download from the Apple Store. How can I prevent this?,app_store_downloads,app_store_downloads,0.5552975756774815,1,0.20340083811208548,apple_020137,app_store_downloads,@AppleSupport Apple store,@315992 You will want to check with our Sales Support or the Apple Store you purchased it from on your refund and return options.,1
4,2299407,apple_021948,@AppleSupport my son is being exposed to inappropriate ads in ad supported kid's games we download from the Apple Store. How can I prevent this?,app_store_downloads,app_store_downloads,0.5552975756774815,2,0.20340083811208548,apple_023249,app_store_downloads,@AppleSupport Apple store,@444561 Thank you for clarifying that. Please send us a DM including which country you're located in. https://t.co/GDrqU22YpT,1
4,2299407,apple_021948,@AppleSupport my son is being exposed to inappropriate ads in ad supported kid's games we download from the Apple Store. How can I prevent this?,app_store_downloads,app_store_downloads,0.5552975756774815,3,0.20340083811208548,apple_028193,app_store_downloads,@AppleSupport Apple store!,@359404 We want to get to the bottom of this for you. Have you called the Apple Store you purchased this from? What did they say?,1
4,2299407,apple_021948,@AppleSupport my son is being exposed to inappropriate ads in ad supported kid's games we download from the Apple Store. How can I prevent this?,app_store_downloads,app_store_downloads,0.5552975756774815,4,0.1972352103425759,apple_074482,app_store_downloads,@AppleSupport How could I prevent this from happening again?,"@805460 This shouldn't happen again. Purchases are hidden on the user end. If you believe that this is happening without your consent, we ask that you reach out to our iTunes Store team for assistance. Here's how: https://t.co/SDIe7UiyJN",1
4,2299407,apple_021948,@AppleSupport my son is being exposed to inappropriate ads in ad supported kid's games we download from the Apple Store. How can I prevent this?,app_store_downloads,app_store_downloads,0.5552975756774815,5,0.18191462876270115,apple_012828,app_store_downloads,"@AppleSupport iPhone 7 Plus is getting hot, how do I prevent this?",@275246 We've got your back. Let's check out what could be causing this. How are you using your iPhone when you notice that increase in temperature? Based on that we can provide further info.,1
5,1804005,apple_053579,I wish @AppleSupport would let me download the previous iOS so that my phone can actually work normal again #SteveJobsWouldntAllowThis,ios_software_update,ios_software_update,0.1351487823675811,1,0.2515852067838037,apple_034533,ios_software_update,I️ wish @115858 would fix this.,@470289 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,1
5,1804005,apple_053579,I wish @AppleSupport would let me download the previous iOS so that my phone can actually work normal again #SteveJobsWouldntAllowThis,ios_software_update,ios_software_update,0.1351487823675811,2,0.23466953576688,apple_008658,ios_software_update,So annoying!!! I️ wish @115858 would fix this! https://t.co/y3fCel89sb,@603630 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9 https://t.co/GDrqU22YpT,1
5,1804005,apple_053579,I wish @AppleSupport would let me download the previous iOS so that my phone can actually work normal again #SteveJobsWouldntAllowThis,ios_software_update,ios_software_update,0.1351487823675811,3,0.23121214842402937,apple_054567,ios_software_update,I wish @115858 would fix this shit. https://t.co/RBNwSH6ChI,"@790128 Thanks for reaching out to us for support. iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwT5to6",1
5,1804005,apple_053579,I wish @AppleSupport would let me download the previous iOS so that my phone can actually work normal again #SteveJobsWouldntAllowThis,ios_software_update,ios_software_update,0.1351487823675811,4,0.2280311618056392,apple_077492,ios_software_update,Wish @115858 would fix this problem 🙄 https://t.co/RHXLeHoJXW,@588515 We’re glad you reached out! Let us know which version of iOS you’re running in DM so we can better assist. https://t.co/GDrqU22YpT,1
5,1804005,apple_053579,I wish @AppleSupport would let me download the previous iOS so that my phone can actually work normal again #SteveJobsWouldntAllowThis,ios_software_update,ios_software_update,0.1351487823675811,5,0.2242106162407645,apple_057340,ios_software_update,@AppleSupport Nope looks normal again!,"@134117 Great! We're happy to see that. Feel free to reach out again if you need us. We're here for you. 
Enjoy your day!",1
6,1651994,apple_041365,"@AppleSupport 2 weeks have passed and no update to fix the lag yet . Please allow old phones to revert back to iOS 10.3.3
#returntoiOS10.3.3",ios_software_update,ios_software_update,0.14578515962720703,1,0.2682339389431543,apple_020039,ios_software_update,@AppleSupport tell me how to revert back to IOS 10. IOS 11 has made me want to get an android,"@821954 We'll be happy to help with what you're experiencing with the current iOS software you're using. Send us a DM, we'll continue there. https://t.co/GDrqU22YpT",1
6,1651994,apple_041365,"@AppleSupport 2 weeks have passed and no update to fix the lag yet . Please allow old phones to revert back to iOS 10.3.3
#returntoiOS10.3.3",ios_software_update,ios_software_update,0.14578515962720703,2,0.26026400027897445,apple_031874,ios_software_update,@AppleSupport since upgrading to iOS 11 my iPhone is useless... How do I revert back to iOS 10?,@292030 We want to make sure your iPhone works the way you expect it to. Let's get paired up in DM to get started. https://t.co/GDrqU22YpT,1
6,1651994,apple_041365,"@AppleSupport 2 weeks have passed and no update to fix the lag yet . Please allow old phones to revert back to iOS 10.3.3
#returntoiOS10.3.3",ios_software_update,ios_software_update,0.14578515962720703,3,0.24391321014933126,apple_063479,ios_software_update,There’s no update to fix the letter after H? @115858,"@740329 iOS 11.1.2 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwT5to6",1
6,1651994,apple_041365,"@AppleSupport 2 weeks have passed and no update to fix the lag yet . Please allow old phones to revert back to iOS 10.3.3
#returntoiOS10.3.3",ios_software_update,ios_software_update,0.14578515962720703,4,0.22030047292981086,apple_056149,ios_software_update,"@AppleSupport About 2 weeks, I have IOS 11.1.2","@141071 Thanks for that info. Let's try a few things in this article to see if it helps. Try steps 4 through 6:
https://t.co/UTP2qBi1Is",1
6,1651994,apple_041365,"@AppleSupport 2 weeks have passed and no update to fix the lag yet . Please allow old phones to revert back to iOS 10.3.3
#returntoiOS10.3.3",ios_software_update,ios_software_update,0.14578515962720703,5,0.208873182954813,apple_048061,ios_software_update,@AppleSupport i hope you release an update to fix this or if there’s a way to revert to iOS 10.3.3 it would be better.,@541828 We rely on our iPhones too and we know how important having a good battery life is! Which version of iOS 11 do you have? https://t.co/GDrqU22YpT,1
7,152892,apple_008217,@AppleSupport (2) recall to be the thing that caused it. I also downloaded the Anomal Crossing app but i dont think that was it. After the video my phone's message app has been acting up and nothing seems to fix it. I have not tried with wifi yet as I dont have wifi today. Tomorrow I will.,app_problems,app_problems,0.2005657944891952,1,0.1848092988929497,apple_019351,app_problems,@AppleSupport I dont,@232667 Are you able to send messages from within the Contacts app?,1
7,152892,apple_008217,@AppleSupport (2) recall to be the thing that caused it. I also downloaded the Anomal Crossing app but i dont think that was it. After the video my phone's message app has been acting up and nothing seems to fix it. I have not tried with wifi yet as I dont have wifi today. Tomorrow I will.,app_problems,app_problems,0.2005657944891952,2,0.18444580290654586,apple_060259,app_problems,@AppleSupport i have both tried with a wifi connection or using cellular data and tried typing the password myself but nothing seems to work,"@669928 After submitting your fingerprint, do you hear the chime, and see it say  ""Done"" to indicate it was successfully accepted?",1
7,152892,apple_008217,@AppleSupport (2) recall to be the thing that caused it. I also downloaded the Anomal Crossing app but i dont think that was it. After the video my phone's message app has been acting up and nothing seems to fix it. I have not tried with wifi yet as I dont have wifi today. Tomorrow I will.,app_problems,app_problems,0.2005657944891952,3,0.17617898278170896,apple_049169,app_problems,@AppleSupport i️ don’t have wifi.,"@669739 Thank you. You can also back-up, and update your device with a computer that has iTunes installed.",1
7,152892,apple_008217,@AppleSupport (2) recall to be the thing that caused it. I also downloaded the Anomal Crossing app but i dont think that was it. After the video my phone's message app has been acting up and nothing seems to fix it. I have not tried with wifi yet as I dont have wifi today. Tomorrow I will.,app_problems,app_problems,0.2005657944891952,4,0.16005309318841573,apple_046225,app_problems,"@AppleSupport @31871 And nothing, I have tried a lot of things but nothing seems to work.","@196201 Let's see how we can help. What happens when you try to use it? DM us with more details, and we'll get started working together. https://t.co/GDrqU22YpT",1
7,152892,apple_008217,@AppleSupport (2) recall to be the thing that caused it. I also downloaded the Anomal Crossing app but i dont think that was it. After the video my phone's message app has been acting up and nothing seems to fix it. I have not tried with wifi yet as I dont have wifi today. Tomorrow I will.,app_problems,app_problems,0.2005657944891952,5,0.159023023742806,apple_013858,app_problems,@AppleSupport The I️ thing,@542865 Got it. We released an update that addresses this issue. Back up your iPhone and update following these steps: https://t.co/80YRnjDFDk,1
8,1773204,apple_063425,@AppleSupport @532936 Yeah that work around doesn’t work anymore!!,other_unclear,other_unclear,0.14154330509861354,1,0.4163251769279722,apple_000715,other_unclear,@AppleSupport Yeah that didn’t work,@533398 Okay. Let us look into this together. Join us in DM so we may better assist you: https://t.co/GDrqU22YpT,2
8,1773204,apple_063425,@AppleSupport @532936 Yeah that work around doesn’t work anymore!!,other_unclear,other_unclear,0.14154330509861354,2,0.4163251769279722,apple_010717,other_unclear,@AppleSupport Yeah that didn’t work https://t.co/CThJ9lYgBk,@678672 Thanks for reaching out to let us know. Go ahead and send us a DM and we'll look into this further with you. https://t.co/GDrqU22YpT,2
8,1773204,apple_063425,@AppleSupport @532936 Yeah that work around doesn’t work anymore!!,other_unclear,other_unclear,0.14154330509861354,3,0.4163251769279722,apple_057197,other_unclear,@AppleSupport Yeah that didn’t work.,@228617 Send us a DM and we can look into this further with you. https://t.co/GDrqU22YpT,2
8,1773204,apple_063425,@AppleSupport @532936 Yeah that work around doesn’t work anymore!!,other_unclear,other_unclear,0.14154330509861354,4,0.4163251769279722,apple_075830,other_unclear,@AppleSupport Yeah that didn’t work,@470974 Let's look into that further. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,2
8,1773204,apple_063425,@AppleSupport @532936 Yeah that work around doesn’t work anymore!!,other_unclear,other_unclear,0.14154330509861354,5,0.35497794686681566,,other_unclear,@115858 Also my Siri doesn’t work anymore,@546830 We'd be happy to see how we can help. Which iPhone and iOS 11 version are you running?,2
9,1643279,apple_013282,@AppleSupport How do I allow no password for already purchased apps but require a password for any new apps (even free) in the App Store?,app_store_downloads,app_store_downloads,0.5571295226693015,1,0.26396678252113503,apple_028998,app_store_downloads,@AppleSupport In the App Store,"@262083 Alright. DM us, and we'll look into this deeper. https://t.co/GDrqU22YpT",1
9,1643279,apple_013282,@AppleSupport How do I allow no password for already purchased apps but require a password for any new apps (even free) in the App Store?,app_store_downloads,app_store_downloads,0.5571295226693015,2,0.1867152987011444,apple_004891,app_store_downloads,@AppleSupport I’m not able to hide purchased Apps in the App Store with 11.1. After swiping (r2l) &amp; reopening store the app reappears again.,@245856 We're here to help. Have you had a chance to restart the iPhone? To restart your iOS device: https://t.co/JWOTqcWcbG,1
9,1643279,apple_013282,@AppleSupport How do I allow no password for already purchased apps but require a password for any new apps (even free) in the App Store?,app_store_downloads,app_store_downloads,0.5571295226693015,3,0.18605660980083324,apple_018496,app_store_downloads,"@AppleSupport my payment information for App Store has reset for some reason and now won’t accept any details from me. Now I can’t download any apps, even free ones. Help please!",@766039 We'd like to help you get your payment information updated. Please take a look at the following article for some guidance on how to ensure all of your billing information is accurate and up to date: https://t.co/Y0YoIRcZa7,2
9,1643279,apple_013282,@AppleSupport How do I allow no password for already purchased apps but require a password for any new apps (even free) in the App Store?,app_store_downloads,app_store_downloads,0.5571295226693015,4,0.18541677094760411,apple_006114,app_store_downloads,I still have to enter my password for the App Store when I have Face ID on my iPhone X?! Thought my face was my password @116333 @115858?!,@192517 We'd be glad to look into this with you. Does this happen with every download? Let us know in DM to get started. https://t.co/GDrqU22YpT,1
9,1643279,apple_013282,@AppleSupport How do I allow no password for already purchased apps but require a password for any new apps (even free) in the App Store?,app_store_downloads,app_store_downloads,0.5571295226693015,5,0.17114228196746611,apple_073446,app_store_downloads,@AppleSupport i could pay for any apps but i couldn't pay a diamonds in game. Please help,@474660 We can help. We suggest reaching out to our iTunes Store support team for help with in-app purchases: https://t.co/SDIe7UiyJN,1
10,2519462,apple_067506,@115858 why can’t I make outbound calls on either one my phones. WHAT THE FUCK,calls_cellular,calls_cellular,0.25695881907570584,1,0.31804205524212575,apple_010793,calls_cellular,Hey @117735 &amp; @115858 - which one of you is the reason my iPhone won’t let me make outbound calls?,"@718408 We'd love to help. Let's begin by restarting your iPhone. This will refresh network connectivity as well as the iPhone's software. Restart your iPhone: https://t.co/OWRDHWSt4h
Let us know how that goes?",2
10,2519462,apple_067506,@115858 why can’t I make outbound calls on either one my phones. WHAT THE FUCK,calls_cellular,calls_cellular,0.25695881907570584,2,0.22993132900312924,apple_074569,calls_cellular,I UPDATED MY PHONE. Why the fuck can’t I make calls/answer them !? @115858,@718623 Let's work on this together! Which iOS version are we working with? You can check in Settings &gt; General &gt; About. Who is your wireless carrier? Please DM us. https://t.co/GDrqU22YpT,1
10,2519462,apple_067506,@115858 why can’t I make outbound calls on either one my phones. WHAT THE FUCK,calls_cellular,calls_cellular,0.25695881907570584,3,0.22447502567469674,apple_076300,calls_cellular,"@ATT @115858 hello! I’m in Louisville and cannot make any outbound calls and no one can call me. Help,please",@716720 Hi there. We'd be happy to help out. Let's try these steps to resolve the issue: https://t.co/U53YustlEZ Let us know how that works for you.,2
10,2519462,apple_067506,@115858 why can’t I make outbound calls on either one my phones. WHAT THE FUCK,calls_cellular,calls_cellular,0.25695881907570584,4,0.20735993481515935,apple_026544,calls_cellular,I can’t make phone calls 🙃 @AppleSupport https://t.co/aNdVFdzL1o,@675683 Let's see how we can best help you with this! Have you tried these steps here to see if this helps? https://t.co/U53YusKX3z,1
10,2519462,apple_067506,@115858 why can’t I make outbound calls on either one my phones. WHAT THE FUCK,calls_cellular,calls_cellular,0.25695881907570584,5,0.1982774840773542,apple_047290,calls_cellular,I just wanna know why I can’t make any calls on this iPhone @117735 @AppleSupport which one of y’all are to blame !?,"@543193 We're here to help and can certainly take a look into what's going on. To help get us started, we see we previously suggested an update to iOS 11.1.1. Did you have the chance to perform that update? May we also get a detailed description of what's happening?",1
11,1745514,apple_006090,Yo @AppleSupport what the hell is this box on my screen https://t.co/WcHl8uyBaT,screen_display,screen_display,0.24705960520183634,1,0.6011204038748591,apple_005302,screen_display,@AppleSupport what the hell is this?! https://t.co/jA9Upjmnve,@500868  Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,2
11,1745514,apple_006090,Yo @AppleSupport what the hell is this box on my screen https://t.co/WcHl8uyBaT,screen_display,screen_display,0.24705960520183634,2,0.6011204038748591,apple_028389,screen_display,I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️  I️ I️ I️ I️ WHAT THE HELL IS THIS!?? @AppleSupport @115858 @1714,"@692174 iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwT5to6",2
11,1745514,apple_006090,Yo @AppleSupport what the hell is this box on my screen https://t.co/WcHl8uyBaT,screen_display,screen_display,0.24705960520183634,3,0.6011204038748591,apple_054772,screen_display,@115858 @116333  @AppleSupport  What the hell is this ?? https://t.co/GwU6mHVNiS,@357246 We want to help.  Have you tried restarting your device and checking again?  Here’s how:  https://t.co/OWRDHWSt4h,2
11,1745514,apple_006090,Yo @AppleSupport what the hell is this box on my screen https://t.co/WcHl8uyBaT,screen_display,screen_display,0.24705960520183634,4,0.6011204038748591,apple_066528,screen_display,@AppleSupport what the hell is this 🤔🤔 https://t.co/B10R9Pq4N7,"@489672 Thanks for reaching out! We're glad to help, we have a guide to share with you regarding this: https://t.co/xU1AGHStV6",2
11,1745514,apple_006090,Yo @AppleSupport what the hell is this box on my screen https://t.co/WcHl8uyBaT,screen_display,screen_display,0.24705960520183634,5,0.6011204038748591,apple_069784,screen_display,@AppleSupport what the hell is this? https://t.co/wO3xeISGoY,@116832 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,2
12,1978681,apple_027819,"@115858 @applesupport There is no damn way, my storage is full. I barely have anything on my phone.",other_unclear,other_unclear,0.1443102972981846,1,0.27785809817362433,apple_018202,other_unclear,"@AppleSupport My IPhone is saying that my storage is full, when there are no apps on my phone. I reset the phone. No progress. Please help.","@586988 We’d love to help with your storage. To start, send us a DM letting us know which iPhone and software version you’re using. https://t.co/GDrqU22YpT",2
12,1978681,apple_027819,"@115858 @applesupport There is no damn way, my storage is full. I barely have anything on my phone.",other_unclear,other_unclear,0.1443102972981846,2,0.24864667834412824,apple_012278,other_unclear,@115858 I know my iCloud storage is full thank you please fix this I️ thing,@631044 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,1
12,1978681,apple_027819,"@115858 @applesupport There is no damn way, my storage is full. I barely have anything on my phone.",other_unclear,other_unclear,0.1443102972981846,3,0.24597954233354374,apple_013359,other_unclear,I hate @115858 I delete like all my videos and apps and it still says my storage is full xxxx,"@141091 Having the storage space you need is our goal. So we can get started looking into this, could you join us in DM and let us know which device you're seeing this with? https://t.co/GDrqU22YpT",1
12,1978681,apple_027819,"@115858 @applesupport There is no damn way, my storage is full. I barely have anything on my phone.",other_unclear,other_unclear,0.1443102972981846,4,0.2226518345317056,apple_076047,other_unclear,What apple I barely have any charge anymore on my phone 😠 @AppleSupport @115858,@462925 We'd be happy to look into this. Which iOS version are you using?,1
12,1978681,apple_027819,"@115858 @applesupport There is no damn way, my storage is full. I barely have anything on my phone.",other_unclear,other_unclear,0.1443102972981846,5,0.2186968166978422,apple_046863,other_unclear,@AppleSupport There is no link.,"@160247 It may appear with the words, “Send a private message”. https://t.co/GDrqU22YpT",1
13,1583811,apple_011121,Hey @AppleSupport. When are you going to update the software so my iPhone doesn’t do this - I️ every time I try to type an I?,ios_software_update,ios_software_update,0.13229453056042728,1,0.3923567292171736,apple_023500,ios_software_update,Hey @115858 when are you going to fix this I️ mess,"@480377 Try out the steps in this article: https://t.co/xU1AGHStV6
Let us know if that works for you in DM https://t.co/GDrqU22YpT",2
13,1583811,apple_011121,Hey @AppleSupport. When are you going to update the software so my iPhone doesn’t do this - I️ every time I try to type an I?,ios_software_update,ios_software_update,0.13229453056042728,2,0.3803440259187222,apple_031301,ios_software_update,Hey @115858 when are you going to fix your update mistake?,@636553 Thanks for reaching out. We'd like to know more to assist. Let us know the exact issue you're having in a DM and we'll continue. https://t.co/GDrqU22YpT,2
13,1583811,apple_011121,Hey @AppleSupport. When are you going to update the software so my iPhone doesn’t do this - I️ every time I try to type an I?,ios_software_update,ios_software_update,0.13229453056042728,3,0.3681613668684395,apple_071243,ios_software_update,me every time I️ try to type “I️” @115858 help https://t.co/EayIkpT5hy,"@498538 Thanks for reaching out! We're glad to help, we've got a guide to share with you on this issue: https://t.co/xU1AGHStV6",2
13,1583811,apple_011121,Hey @AppleSupport. When are you going to update the software so my iPhone doesn’t do this - I️ every time I try to type an I?,ios_software_update,ios_software_update,0.13229453056042728,4,0.34168062775309765,apple_058650,ios_software_update,@AppleSupport when are you going to fix the letter i️ ????,@524163 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,1
13,1583811,apple_011121,Hey @AppleSupport. When are you going to update the software so my iPhone doesn’t do this - I️ every time I try to type an I?,ios_software_update,ios_software_update,0.13229453056042728,5,0.3404478495778206,apple_058392,ios_software_update,@AppleSupport I️ have the iPhone 7+ and every time I️ try to type an I️ it looks like this.,@506047 Meet up with us in DM and we can look at both of those issues together. https://t.co/GDrqU22YpT,2
14,1795402,apple_028365,Hi @AppleSupport - why does my phone no longer charge since updating to #iOS11 ? Presume you will fund a new device for me?!,battery_charging,battery_charging,0.20642704570726852,1,0.2550973565704477,apple_005552,battery_charging,@AppleSupport why does my phone drain 10X quicker and take double the time to charge since updating??,@671521 We're here for you. Which iPhone are you using and what version of the iOS? You can check from Settings &gt; General &gt; About.,1
14,1795402,apple_028365,Hi @AppleSupport - why does my phone no longer charge since updating to #iOS11 ? Presume you will fund a new device for me?!,battery_charging,battery_charging,0.20642704570726852,2,0.24868534240431772,apple_028369,battery_charging,@AppleSupport no longer.,"@540573 We'd be happy to review this for you. Please DM us if you're experiencing this issue on the latest version of iOS, 11.0.3. https://t.co/GDrqU22YpT",1
14,1795402,apple_028365,Hi @AppleSupport - why does my phone no longer charge since updating to #iOS11 ? Presume you will fund a new device for me?!,battery_charging,battery_charging,0.20642704570726852,3,0.22043145094651506,apple_013095,battery_charging,@158636 @116333 My phone no longer rings after the update!!!,@362694 We'd like to help with this. DM us and let us know which iPhone you currently have. https://t.co/GDrqU22YpT,1
14,1795402,apple_028365,Hi @AppleSupport - why does my phone no longer charge since updating to #iOS11 ? Presume you will fund a new device for me?!,battery_charging,battery_charging,0.20642704570726852,4,0.21848090238437992,apple_054628,battery_charging,"@AppleSupport iPhone 6s battery is not holding charge, since updating to iOS 11.0.2 is this normal?",@173793 Thanks for bringing this to our attention. Click here to join us in DM: https://t.co/GDrqU22YpT,1
14,1795402,apple_028365,Hi @AppleSupport - why does my phone no longer charge since updating to #iOS11 ? Presume you will fund a new device for me?!,battery_charging,battery_charging,0.20642704570726852,5,0.20167795158538535,apple_004479,battery_charging,@AppleSupport @115858 I now have to charge my iPad Air 2 three times a day and it will no longer charge via USB. iOS 11.0.3,"@551827 Hi, can you send us a DM and tell us more about what you're experiencing? We'll look into this together there. https://t.co/GDrqU22YpT",1
