query_number,query_tweet_id,conversation_id,true_intent,predicted_intent,p_at_1,p_at_3,p_at_5,mrr,ndcg_at_5,top1_intent_match,topk_intent_match_rate,average_similarity,strongly_relevant_count,somewhat_relevant_count,irrelevant_count
17,293819,apple_047435,app_problems,app_problems,1,1.0,0.8,1.0,1.0,1,0.8,0.06369095457019763,0,4,1
18,2802437,apple_008359,screen_display,screen_display,1,1.0,1.0,1.0,1.0,1,1.0,0.1744808847694992,3,2,0
19,944328,apple_004476,device_hardware,device_hardware,1,0.6666666666666666,0.5,1.0,1.0,1,0.25,0.1503462763463622,0,2,2
20,2123938,apple_077977,app_problems,app_problems,1,1.0,1.0,1.0,1.0,1,1.0,0.22163055257705336,0,5,0
21,2965414,apple_060715,other_unclear,other_unclear,0,0.3333333333333333,0.2,0.5,1.0,1,1.0,0.26957008916712727,0,1,4
22,2350767,apple_013694,other_unclear,other_unclear,1,1.0,1.0,1.0,1.0,1,1.0,0.4965101189732849,5,0,0
23,810174,apple_004192,apple_id_icloud,app_store_downloads,0,0.3333333333333333,0.2,0.5,1.0,1,1.0,0.16585994979418367,0,1,4
24,2296245,apple_053343,app_problems,device_hardware,0,0.3333333333333333,0.2,0.5,1.0,1,1.0,0.14780246952050174,0,1,4
25,1636580,apple_015117,other_unclear,other_unclear,1,1.0,1.0,1.0,1.0,1,1.0,0.658411252593299,4,1,0
26,1123670,apple_036636,audio_speaker,audio_speaker,1,1.0,1.0,1.0,1.0,1,1.0,0.1410944096224857,0,5,0
27,188375,apple_039400,other_unclear,other_unclear,0,0.0,0.0,0.0,0.0,1,1.0,0.19725393145690479,0,0,5
28,2261521,apple_008053,apple_music_itunes,apple_music_itunes,1,1.0,1.0,1.0,1.0,1,1.0,0.1142129486799015,0,5,0
29,1977405,apple_029919,ios_software_update,audio_speaker,1,0.3333333333333333,0.2,1.0,1.0,1,1.0,0.16551387028744666,0,1,4
30,1216323,apple_013394,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,1,1.0,0.11874277207588409,0,5,0
31,1027597,apple_050218,device_hardware,device_hardware,1,1.0,1.0,1.0,1.0,1,1.0,0.27151624348131254,0,5,0
32,2072245,apple_001982,other_unclear,apple_music_itunes,1,0.6666666666666666,0.6,1.0,1.0,1,1.0,0.2771319146579783,0,3,2
33,1340829,apple_040015,calls_cellular,calls_cellular,1,1.0,1.0,1.0,1.0,1,1.0,0.1424522416950888,0,5,0
34,2562363,apple_036589,app_problems,app_problems,1,1.0,1.0,1.0,1.0,1,1.0,0.35341825190912546,5,0,0
35,1338119,apple_022603,calls_cellular,calls_cellular,1,1.0,1.0,1.0,1.0,1,1.0,0.13176162651051931,0,5,0
36,2237178,apple_019826,app_problems,app_problems,1,1.0,1.0,1.0,1.0,1,1.0,0.1414307374978641,0,5,0
37,747792,apple_071137,other_unclear,other_unclear,1,1.0,1.0,1.0,1.0,1,1.0,0.44610166066021123,1,4,0
38,215819,apple_072568,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,1,1.0,0.3877685958171308,5,0,0
39,40519,apple_063145,apple_id_icloud,apple_id_icloud,1,1.0,1.0,1.0,1.0,1,1.0,0.24128466121348485,3,2,0
40,2863559,apple_001131,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,1,1.0,0.24375763600178574,3,2,0
41,1160540,apple_075874,battery_charging,battery_charging,1,1.0,1.0,1.0,1.0,1,1.0,0.3668727514840931,5,0,0
42,1752110,apple_074143,apple_id_icloud,apple_id_icloud,1,1.0,1.0,1.0,1.0,1,1.0,0.1879114493295187,0,5,0
43,2736443,apple_033584,other_unclear,other_unclear,1,1.0,0.8,1.0,1.0,1,1.0,0.2901053541825174,0,4,1
44,1924839,apple_007973,app_problems,app_problems,1,1.0,1.0,1.0,1.0,1,1.0,0.1279848658538214,0,5,0
45,689396,apple_026709,ios_software_update,battery_charging,1,0.3333333333333333,0.2,1.0,1.0,1,1.0,0.1830970713127273,0,1,4
46,500083,apple_008659,calls_cellular,calls_cellular,1,1.0,1.0,1.0,1.0,1,1.0,0.08227650514036862,0,5,0
47,2284493,apple_002688,other_unclear,other_unclear,1,1.0,1.0,1.0,1.0,1,1.0,0.34607981634713736,0,5,0
48,2237309,apple_030516,battery_charging,battery_charging,1,1.0,1.0,1.0,1.0,1,1.0,0.12906924635058722,0,5,0
49,585903,apple_023412,ios_software_update,screen_display,1,0.6666666666666666,0.6,1.0,1.0,1,1.0,0.16066608621151976,0,3,2
50,1798495,apple_038680,battery_charging,battery_charging,1,1.0,1.0,1.0,1.0,1,1.0,0.21261776486444503,0,5,0
51,2790649,apple_041950,battery_charging,battery_charging,1,1.0,1.0,1.0,1.0,1,1.0,0.14618532615969515,0,5,0
52,2412410,apple_064236,audio_speaker,audio_speaker,1,1.0,1.0,1.0,1.0,1,1.0,0.19127142446522613,1,4,0
53,2500862,apple_001335,audio_speaker,audio_speaker,1,1.0,1.0,1.0,1.0,1,1.0,0.2139031989684351,0,5,0
54,400861,apple_007442,battery_charging,battery_charging,1,1.0,1.0,1.0,1.0,1,1.0,0.219302647617566,1,4,0
55,1132173,apple_058903,other_unclear,other_unclear,0,0.0,0.2,0.25,1.0,1,1.0,0.16432529635507057,0,1,4
56,1557350,apple_029371,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,1,1.0,0.3047221451258208,5,0,0
57,1861583,apple_002936,audio_speaker,audio_speaker,1,1.0,1.0,1.0,1.0,1,1.0,0.3013693630075974,2,3,0
58,1760187,apple_074712,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,1,1.0,0.16949112994346263,0,5,0
59,1919559,apple_043041,wifi_connectivity,wifi_connectivity,1,1.0,1.0,1.0,1.0,1,1.0,0.1580535702484494,0,5,0
60,2303144,apple_055483,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,1,1.0,0.18769813265556382,0,5,0
61,1202042,apple_025800,audio_speaker,audio_speaker,1,1.0,1.0,1.0,1.0,1,1.0,0.2317542750446319,4,1,0
62,336583,apple_023822,apple_music_itunes,apple_music_itunes,1,1.0,1.0,1.0,1.0,1,1.0,0.1879460928148209,0,5,0
63,1475391,apple_039751,apple_id_icloud,apple_id_icloud,1,1.0,1.0,1.0,1.0,1,1.0,0.18956268599075843,0,5,0
64,2519374,apple_048124,calls_cellular,calls_cellular,1,1.0,1.0,1.0,1.0,1,1.0,0.16987364238223052,1,4,0
65,1925111,apple_021419,other_unclear,other_unclear,1,0.3333333333333333,0.2,1.0,1.0,1,1.0,0.20046542941285175,0,1,4
66,2077723,apple_039593,device_hardware,device_hardware,1,1.0,1.0,1.0,1.0,1,1.0,0.08504855993405547,0,5,0
67,148233,apple_031780,wifi_connectivity,wifi_connectivity,1,1.0,1.0,1.0,1.0,1,1.0,0.13467980929354595,3,2,0
68,652789,apple_008925,other_unclear,other_unclear,1,0.6666666666666666,0.4,1.0,1.0,1,1.0,0.32752617244038873,0,2,3
69,1620561,apple_074730,other_unclear,other_unclear,0,0.6666666666666666,0.8,0.5,1.0,1,1.0,0.22865212724924938,0,4,1
70,2440888,apple_042657,device_hardware,device_hardware,1,1.0,1.0,1.0,1.0,1,1.0,0.11222451206108434,0,5,0
71,333624,apple_036322,other_unclear,other_unclear,1,1.0,1.0,1.0,1.0,1,1.0,0.524381358019711,4,1,0
72,2482434,apple_016952,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,1,1.0,0.13111958523969625,0,5,0
73,199307,apple_012401,device_hardware,device_hardware,1,1.0,1.0,1.0,1.0,1,1.0,0.32584582643554855,3,2,0
74,1725665,apple_035485,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,1,1.0,0.13604050581978408,1,4,0
75,1192069,apple_026786,apple_id_icloud,apple_music_itunes,0,0.0,0.0,0.0,0.0,1,1.0,0.14342111397720175,0,0,5
76,417281,apple_033971,device_hardware,device_hardware,1,1.0,1.0,1.0,1.0,1,1.0,0.20696980303607643,0,5,0
77,1628497,apple_001975,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,1,1.0,0.26370037810166375,5,0,0
78,126398,apple_012909,other_unclear,other_unclear,0,0.0,0.0,0.0,0.0,1,1.0,0.16460038123436688,0,0,5
79,2410164,apple_069773,device_hardware,device_hardware,1,1.0,1.0,1.0,1.0,1,1.0,0.15565499242618328,0,5,0
80,2283119,apple_029392,other_unclear,other_unclear,0,0.0,0.2,0.25,1.0,1,1.0,0.19681961647459134,0,1,4
81,2276939,apple_049238,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,1,1.0,0.25226181877976067,1,4,0
82,1976581,apple_017759,other_unclear,other_unclear,1,1.0,1.0,1.0,1.0,1,1.0,1.0,5,0,0
83,1557170,apple_019283,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,1,1.0,0.1411313757323662,0,5,0
84,1740800,apple_039340,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,1,1.0,0.19412503269137002,3,2,0
85,1655492,apple_073949,wifi_connectivity,wifi_connectivity,1,1.0,1.0,1.0,1.0,1,1.0,0.13412532800657867,0,5,0
86,1645496,apple_057669,apple_id_icloud,apple_id_icloud,1,1.0,1.0,1.0,1.0,1,1.0,0.12931656843711017,1,4,0
87,411144,apple_052455,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,1,1.0,0.2937229575949267,2,3,0
88,2441813,apple_034502,other_unclear,other_unclear,0,0.0,0.0,0.0,0.0,1,1.0,0.21168959022246875,0,0,5
89,851766,apple_050272,device_hardware,battery_charging,0,0.0,0.0,0.0,0.0,1,1.0,0.14091030140168015,0,0,5
90,724937,apple_042703,battery_charging,battery_charging,1,1.0,1.0,1.0,1.0,1,1.0,0.10992271768857527,0,5,0
91,1003738,apple_014087,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,1,1.0,0.2854336970879747,1,4,0
92,84175,apple_058914,audio_speaker,audio_speaker,1,1.0,1.0,1.0,1.0,1,1.0,0.14990023768849228,0,5,0
93,2728172,apple_064240,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,1,1.0,0.20912172924759287,3,2,0
94,1707652,apple_015390,apple_id_icloud,apple_id_icloud,1,1.0,1.0,1.0,1.0,1,1.0,0.11753333679580205,0,5,0
95,2565712,apple_040891,ios_software_update,ios_software_update,1,1.0,0.6,1.0,1.0,1,0.6,0.17322077663957405,0,3,2
96,1099713,apple_012596,wifi_connectivity,wifi_connectivity,1,1.0,1.0,1.0,1.0,1,1.0,0.09262317167953242,0,5,0
97,1795222,apple_040791,audio_speaker,apple_music_itunes,0,0.0,0.0,0.0,0.0,1,1.0,0.1341301377185943,0,0,5
98,2065144,apple_002876,apple_music_itunes,apple_music_itunes,1,1.0,1.0,1.0,1.0,1,1.0,0.31743332807918734,5,0,0
99,247118,apple_014094,ios_software_update,battery_charging,1,0.6666666666666666,0.6,1.0,1.0,1,1.0,0.18626699418079137,0,3,2
100,1709996,apple_024583,other_unclear,other_unclear,1,1.0,1.0,1.0,1.0,1,1.0,0.3579342163596856,1,4,0
101,1153446,apple_025882,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,1,0.8,0.36786224238043397,4,1,0
102,2355070,apple_004342,apple_music_itunes,apple_music_itunes,1,1.0,1.0,1.0,1.0,1,1.0,0.16826535139768578,0,5,0
103,2525509,apple_028680,apple_id_icloud,apple_id_icloud,1,1.0,1.0,1.0,1.0,1,1.0,0.26425288662739427,5,0,0
104,2282663,apple_014699,other_unclear,other_unclear,0,0.3333333333333333,0.2,0.3333333333333333,1.0,1,1.0,0.262570190169724,0,1,4
105,568847,apple_043878,screen_display,ios_software_update,0,0.0,0.0,0.0,0.0,1,1.0,0.1528027679425618,0,0,5
106,1234121,apple_074333,battery_charging,battery_charging,1,1.0,1.0,1.0,1.0,1,1.0,0.2600821202217189,2,3,0
107,2552290,apple_018135,audio_speaker,audio_speaker,1,1.0,1.0,1.0,1.0,1,1.0,0.123074083839444,3,2,0
108,1698630,apple_011696,ios_software_update,apple_music_itunes,0,0.3333333333333333,0.2,0.3333333333333333,1.0,1,1.0,0.13006439462931463,0,1,4
109,701597,apple_037091,wifi_connectivity,wifi_connectivity,1,1.0,1.0,1.0,1.0,1,1.0,0.24429738657362146,4,1,0
110,2914634,apple_037245,apple_id_icloud,apple_id_icloud,1,1.0,1.0,1.0,1.0,1,1.0,0.1489132152938453,1,4,0
111,440797,apple_049130,apple_id_icloud,apple_id_icloud,1,1.0,0.8,1.0,1.0,1,0.8,0.22044063521237395,1,3,1
112,1908496,apple_004980,calls_cellular,calls_cellular,1,1.0,1.0,1.0,1.0,1,1.0,0.09205584974121812,0,5,0
113,1684426,apple_044457,screen_display,screen_display,1,1.0,1.0,1.0,1.0,1,1.0,0.11722717479966294,1,4,0
114,2353664,apple_074414,device_hardware,battery_charging,0,0.0,0.0,0.0,0.0,1,1.0,0.13525761767267208,0,0,5
115,2752724,apple_065153,other_unclear,other_unclear,1,0.3333333333333333,0.2,1.0,1.0,1,1.0,0.1790125216485688,0,1,4
116,1078402,apple_062105,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,1,1.0,0.11780534140276604,0,5,0
117,1773234,apple_009616,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,1,0.8,0.2970058246749566,3,2,0
118,2804326,apple_020374,apple_id_icloud,apple_id_icloud,1,1.0,1.0,1.0,1.0,1,1.0,0.12338625416944966,1,4,0
119,2002700,apple_053386,battery_charging,battery_charging,1,1.0,1.0,1.0,1.0,1,1.0,0.14217246877428585,1,4,0
120,249333,apple_015216,apple_id_icloud,audio_speaker,0,0.0,0.0,0.0,0.0,1,1.0,0.13232127618848805,0,0,5
121,2547281,apple_058713,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,1,1.0,0.43019346456628355,5,0,0
122,743477,apple_056930,other_unclear,other_unclear,0,0.0,0.0,0.0,0.0,1,1.0,0.16995072049300064,0,0,5
123,2105214,,other_unclear,other_unclear,1,1.0,1.0,1.0,1.0,1,1.0,0.48683673085979623,1,4,0
124,856160,apple_026299,apple_music_itunes,apple_music_itunes,1,1.0,1.0,1.0,1.0,1,1.0,0.20509043129221,0,5,0
125,2740754,apple_001329,device_hardware,device_hardware,1,1.0,1.0,1.0,1.0,1,1.0,0.10799063355130478,1,4,0
126,2169837,apple_021326,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,1,1.0,0.38455424403696165,5,0,0
127,2070482,apple_075064,screen_display,screen_display,1,1.0,1.0,1.0,1.0,1,1.0,0.13508022440734666,0,5,0
128,1814499,apple_013173,audio_speaker,audio_speaker,1,1.0,1.0,1.0,1.0,1,1.0,0.19674734170991628,0,5,0
129,2518304,apple_056660,calls_cellular,calls_cellular,1,1.0,1.0,1.0,1.0,1,1.0,0.2891273033881664,2,3,0
130,1557118,apple_050127,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,1,1.0,0.35116395193081795,4,1,0
131,2408473,apple_021786,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,1,1.0,0.13761748619624603,0,5,0
132,2001552,apple_041854,other_unclear,other_unclear,1,0.3333333333333333,0.2,1.0,1.0,1,1.0,0.3013733301266723,0,1,4
133,1772937,,other_unclear,other_unclear,1,1.0,0.8,1.0,1.0,1,1.0,0.5367606177577489,2,2,1
134,1119366,apple_049820,wifi_connectivity,wifi_connectivity,1,1.0,1.0,1.0,1.0,1,1.0,0.38477034867526994,5,0,0
135,1747438,apple_076392,apple_music_itunes,apple_music_itunes,1,1.0,1.0,1.0,1.0,1,1.0,0.33002652346488554,5,0,0
136,1002250,apple_037959,apple_id_icloud,apple_id_icloud,1,1.0,1.0,1.0,1.0,1,1.0,0.08461081178116386,0,5,0
137,756454,,calls_cellular,calls_cellular,1,1.0,1.0,1.0,1.0,1,1.0,0.32531701636461513,2,3,0
138,162872,apple_005902,apple_music_itunes,apple_music_itunes,1,1.0,1.0,1.0,1.0,1,1.0,0.1787187816512567,2,3,0
139,682004,apple_050869,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,1,1.0,0.26161897642355136,1,4,0
140,2816411,apple_066407,apple_id_icloud,apple_id_icloud,1,1.0,1.0,1.0,1.0,1,1.0,0.27638167089644217,4,1,0
141,2548137,apple_073559,audio_speaker,audio_speaker,1,1.0,1.0,1.0,1.0,1,1.0,0.127459368164548,4,1,0
142,2202134,,screen_display,ios_software_update,1,1.0,1.0,1.0,1.0,1,1.0,0.3771006910072282,1,4,0
143,1477617,apple_033202,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,1,1.0,0.9778491706170268,5,0,0
144,1773194,apple_062940,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,1,1.0,0.3961330313722653,5,0,0
145,2121061,apple_035308,app_problems,app_problems,1,1.0,1.0,1.0,1.0,1,1.0,0.16104548932153778,2,3,0
146,2436882,apple_068946,apple_id_icloud,apple_id_icloud,1,1.0,1.0,1.0,1.0,1,1.0,0.11986619388666311,0,5,0
147,1710649,apple_053225,app_problems,wifi_connectivity,0,0.0,0.0,0.0,0.0,1,1.0,0.18185031348953576,0,0,5
148,942267,apple_019847,battery_charging,battery_charging,1,1.0,1.0,1.0,1.0,1,1.0,0.19075900368168625,0,5,0
149,687925,apple_075525,wifi_connectivity,wifi_connectivity,1,1.0,0.8,1.0,1.0,1,0.8,0.1402911563641788,0,4,1
150,1588812,apple_072082,apple_music_itunes,apple_music_itunes,1,1.0,1.0,1.0,1.0,1,1.0,0.2624917552428204,4,1,0
151,2923614,apple_072898,other_unclear,other_unclear,1,0.3333333333333333,0.2,1.0,1.0,1,1.0,0.22821968175127139,0,1,4
152,2016338,apple_038864,screen_display,screen_display,1,1.0,1.0,1.0,1.0,1,1.0,0.41463376518087475,5,0,0
153,247584,apple_021398,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,1,1.0,0.24311224655447217,2,3,0
154,1223968,apple_033157,battery_charging,battery_charging,1,1.0,1.0,1.0,1.0,1,1.0,0.1409513389874673,1,4,0
155,2001733,apple_028015,app_problems,app_problems,1,1.0,1.0,1.0,1.0,1,1.0,0.34449473408064246,5,0,0
156,1641289,apple_042630,screen_display,screen_display,1,1.0,1.0,1.0,1.0,1,1.0,0.27025619377003557,4,1,0
157,2558620,apple_017059,calls_cellular,calls_cellular,1,1.0,1.0,1.0,1.0,1,1.0,0.25854420346648244,1,4,0
158,1738873,apple_056746,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,1,0.8,0.40797806863504676,5,0,0
159,807382,apple_039662,audio_speaker,audio_speaker,1,1.0,1.0,1.0,1.0,1,1.0,0.28724165325789947,3,2,0
160,2278858,apple_061815,screen_display,screen_display,1,1.0,1.0,1.0,1.0,1,1.0,0.1289891503799656,0,5,0
