case_id,tweet_id,customer_message,system_reply,system_intent,intent_correct,evidence_supported,overall_comment,judge_reason,correctness_human,correctness_llm,correctness_diff,correctness_abs_diff,groundedness_human,groundedness_llm,groundedness_diff,groundedness_abs_diff,relevance_human,relevance_llm,relevance_diff,relevance_abs_diff,completeness_human,completeness_llm,completeness_diff,completeness_abs_diff,tone_human,tone_llm,tone_diff,tone_abs_diff,unsupported_claims_human,unsupported_claims_llm,unsupported_claims_diff,unsupported_claims_abs_diff,escalation_appropriateness_human,escalation_appropriateness_llm,escalation_appropriateness_diff,escalation_appropriateness_abs_diff,max_abs_diff
case_11,,Is anyone else’s iPhone making a high pitched alarm noise? It sounds like a smoke detector but from the speaker of my phone? @AppleSupport,,,Yes,Yes,"The reply correctly identifies the relevant audio components and asks which part is affected; because the customer already specifies the speaker, the question is slightly broader than necessary.","The reply is partially correct and relevant but lacks grounding and completeness, resulting in an overall moderate score.",4.0,4.0,0.0,0.0,5.0,2.0,3.0,3.0,5.0,4.0,1.0,1.0,4.0,2.0,2.0,2.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0
case_12,,@AppleSupport I have not touched my phone to summon Siri nor anybody spoke hey Siri around.,,,No,No,"The reply discusses how to use 'Hey Siri' rather than investigating why Siri activated unexpectedly, and its reference to an article does not support the specific symptom.","The response is generally correct and relevant, but lacks completeness and contains one unsupported claim, resulting in an overall score of 4.0.",2.0,4.0,-2.0,2.0,3.0,3.0,0.0,0.0,2.0,5.0,-3.0,3.0,1.0,3.0,-2.0,2.0,4.0,5.0,-1.0,1.0,2.0,3.0,-1.0,1.0,2.0,5.0,-3.0,3.0,3.0
case_13,,"@116333 @AppleSupport @144811 Every time I️ connect my phone via USB this song starts, this is getting really old! Why can’t iOS remember what I was listening to last and start there? Any car, any iPhone, any iOS, Please fix this, it’s killing me! https://t.co/yxtLKBdYpn",,,No,No,"The system-status message does not address automatic music playback over USB, so it is neither grounded in nor relevant to the customer's problem.","The reply fails to address the issue, lacks grounding, relevance, and completeness, and contains unsupported claims, resulting in a low overall score.",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
case_14,,@AppleSupport It pops up every time I look at my phone after I come out of the subway. Global setting? I just installed iOS and haven’t looked at new features yet but I wish default wasn’t to bother me repeatedly,,,Yes,No,The reply only points to an unspecified article and does not identify or troubleshoot the recurring pop-up described by the customer.,"The reply is partially grounded but lacks relevance, completeness, and specific guidance, resulting in an overall moderate score.",2.0,2.0,0.0,0.0,2.0,4.0,-2.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,-1.0,1.0,4.0,5.0,-1.0,1.0,2.0,5.0,-3.0,3.0,2.0,5.0,-3.0,3.0,3.0
case_15,,"So @115858 when are yall gunna fix this update, because if my phone freezes for 2 mins while im in traffic ONE MORE TIME !!!!!!",,,No,Yes,"The reply asks about a hardware issue even though the customer describes freezing after an update, so the response is poorly matched to the actual software/performance complaint.","The response is largely unhelpful and unsupported by evidence, resulting in a low overall score.",2.0,1.0,1.0,1.0,5.0,1.0,4.0,4.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,5.0,1.0,4.0,4.0,2.0,5.0,-3.0,3.0,4.0
case_16,,@AppleSupport secured #iPhoneX at launch but ONLY w/a select carrier. Yet was told by Apple #Retail I could buy SIM-free like iPhone8. How? https://t.co/l4TpVlz0dE,,,No,Yes,"The response treats the message as a cellular service problem involving calls, data, or signal, but the customer is asking about purchasing a SIM-free phone.","The response is largely irrelevant and unsupported, with only the tone being acceptable; overall performance is poor.",2.0,1.0,1.0,1.0,5.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,4.0,1.0,1.0,5.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0
case_17,,@115858 when are you going to fix this bug because am getting really annoyed. About to leave apple and return to droid.,,,No,No,"The reply assumes the bug concerns notifications even though the customer gives no such detail, so both the intent and troubleshooting direction are unsupported.","The reply is grounded in evidence but fails to address the customer’s specific request for a fix timeline, resulting in low correctness, relevance, and completeness. The tone is appropriate and no unsupported claims are present.",2.0,2.0,0.0,0.0,2.0,4.0,-2.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,-1.0,1.0,5.0,4.0,1.0,1.0,2.0,5.0,-3.0,3.0,2.0,5.0,-3.0,3.0,3.0
case_18,,@AppleSupport I think I found the answer: I can't pre-order iPhone X SIM-free at this time. I'm not sure when Apple will allow it. Thanks tho https://t.co/SICYUgzEPL,,,No,Yes,"The reply is an appropriate polite acknowledgment of the customer's thanks, but the predicted cellular intent does not match the customer's purpose in this message.","The response is polite but lacks relevance, completeness, and grounding, resulting in a low overall effectiveness.",5.0,2.0,3.0,3.0,5.0,1.0,4.0,4.0,5.0,2.0,3.0,3.0,5.0,1.0,4.0,4.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,2.0,3.0,3.0,4.0
case_19,,@167325 @AppleSupport It’s the worst....wish I could downgrade 😂,,,Yes,Yes,The reply recognizes the iOS-update context but asks about downloading or installing an update rather than the customer's stated desire to downgrade.,"The reply fails to address the customer's intent, lacks grounding, relevance, and completeness, though it maintains a polite tone. The escalation decision is also inappropriate.",3.0,1.0,2.0,2.0,5.0,1.0,4.0,4.0,4.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,5.0,1.0,4.0,4.0,3.0,2.0,1.0,1.0,4.0
case_20,,@AppleSupport hi so I got an email my account was locked. But I’m pretty sure it was a fake.,,,Yes,Yes,The reply appropriately treats a suspected account-security/phishing issue cautiously and directs the customer to official support without claiming the email is genuine or fake.,"The response is partially correct but lacks evidence-based guidance, relevance, and completeness, resulting in a moderate overall score.",5.0,2.0,3.0,3.0,5.0,1.0,4.0,4.0,5.0,1.0,4.0,4.0,5.0,1.0,4.0,4.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,4.0
case_21,,Is anybody looking into the mail and messages apps syncing issues with @133941 accounts or are we doomed? @115858,,,Yes,Yes,"The response asks which app is affected and what happens, which is a sensible first troubleshooting step for the reported syncing problem.","The reply is polite and grounded but lacks direct relevance and completeness, resulting in an overall moderate score.",4.0,2.0,2.0,2.0,5.0,5.0,0.0,0.0,5.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,4.0,5.0,-1.0,1.0,2.0
case_26,,@AppleSupport why do you keep taking my money!!!! Apple hold keeps taking $1 every other week from me!!!!!!,,,No,No,"The reply gives a generic software workaround without addressing billing, recurring $1 authorization charges, or any evidence that a software update will fix the issue.","The response is largely unhelpful, lacking actionable guidance, and does not resolve the customer’s issue, resulting in a low overall score.",1.0,1.0,0.0,0.0,1.0,5.0,-4.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,3.0,1.0,1.0,1.0,5.0,-4.0,4.0,1.0,2.0,-1.0,1.0,4.0
case_35,,Everytime i refresh my tl my music stops and its really making me mad. @115858 fix this shit Deadass ya blowing my shit with all these damn issues. Before i get a samsung.,,,Yes,Yes,"The response stays on the music topic but asks how often music is deleted and whether the customer subscribes, neither of which addresses playback stopping during timeline refresh.","The response is fully grounded in evidence but fails to address the customer’s issue, providing minimal relevance and completeness, resulting in a low overall score.",2.0,1.0,1.0,1.0,5.0,5.0,0.0,0.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0
case_45,,FIX SPOTIFY IN THE MUSIC PLAYER #mygod @115858,,,No,Yes,"The response asks about Apple Music or iTunes even though the customer explicitly identifies Spotify, so it does not correctly target the reported service.","The response fails to address the customer’s Spotify issue, lacks grounding, is irrelevant, incomplete, and contains unsupported claims, making it unsuitable for auto-handling.",2.0,1.0,1.0,1.0,5.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,4.0,1.0,1.0,5.0,1.0,4.0,4.0,3.0,1.0,2.0,2.0,4.0
